ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,آپ کو زحمت ہوگی، میں نے اپنا کپتانی رکھ لیا ہے۔ آپ پلئنگ,,,,,,,باجی، شکریہ، مگر ابھی اتنا رک نہیں سکتا، میں اور یہ سب خالی کر,,,,,,,جی سر، براہِ کرم تھوڑا سا بخشیSho کریں، میری ڈھونڈتی,,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,ٹھیک ہے، پہلے چلو اور چائے بنوں گا۔,,,,,,,ضرور، میں بنانے دیتا ہوں۔ آپ بس آئندہ تیاری میں میری مدد کر دیجی,,,,,,,جی، چلو، چائے بناتی ہوں۔,,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,ابّا جان، سوری کا کھانا ڈالنے دو، پھر میں خود ڈال لوں گا۔ آپ کی,,,,,,,جی دادی، میں بس لوں گا۔,,,,,,,دادا جان، میں لے لوں گا، آپ فکر نہ کریں۔,,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,جی سر، میں نے یہ کتاب رکھ لی، ابھی اور کام نہیں آ رہا ہے,,,,,,,جی سر، شکریہ۔,,,,,,,جی ماموں، میں ضرور رکھ لوں گا، اگر اور بھی کچھ نہ مل جائے۔,,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,جی، میٹھا بھی لے لو، اگر کوئی باقی رہ جائے تو آپ زحمت نہ کریں۔,,,,,,,بہت شکریہ! یہ بہت خوبصورت ہے، مگر آپ کو نہیں، مجھے اس,,,,,,,باجی، معذرت چاہتا ہوں، میٹھا میرے ساتھ نہیں ہ�,,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,جی سر، اگر چاہیے تھا آپ نے پہلے سے یہی کہنا اپنایا ت,,,,,,,نہیں یار، بس تھوڑا سا جلدی چلا جاؤ، ممکنہ کام ہو گی,,,,,,,نہیں یار، بس یہی کام باقی ہے، اسے مکمل کر لو، پھر آگے می�,,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,جی سر، آپ کی دعوت کا بہت شکریہ، مگر میری ضرورت نہیں۔ ی,,,,,,,باجی، الحمدللہ رات رک گئی، ابھی چلا جاؤں، کوشش کروں گا کہ,,,,,,,جی سر، میں ضرور رات یہیں رہوں گا۔ آپ کی بہت مہربانی۔,,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,نہیں یار، شکریہ! بس اسی طرح رہنے دو، اگر ضرورت پڑی تو خود ہی ل,,,,,,,باجی، بس تھوڑا سا کام، میں خود لے آتا ہوں۔,,,,,,,باجی، شکریہ، لیکن ابھی نہیں، میں تھوڑا آرام کرنے کا.plan �,,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,باجی، آپ کی دعوت کو معذرت چاہتا ہوں، میں مصروفیت کی وجہ سے نہ,,,,,,,ٹھیک یار، بس کام ہو گیا، پھر آؤں گا۔,,,,,,,آؤ، ایک اور گیم کھیلیں۔ یہ تمہاری جیت ہو گی، پھر آگے می�,,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,جی دادی، رکھ لوں گا۔ آپ فکر نہ کریں۔,,,,,,,بھائی، شکریہ، لیکن ابھی اتنا پیسہ نہیں باقی ہے۔ میں خود اس,,,,,,,جی ماموں، میں ان شاء اللہ اس بات کا خیال رکھوں گا۔,,,,,,
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,,,,,,,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، میں خ,,,,,,,جی، ابھی بتا دیتا ہوں۔,,,,,,,ٹھیک ہے، اگر اور کچھ چاہیے ہو تو بتا دیجیے گا۔ وہ,,,,,,
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,,,,,,,جی یار، بس کام مکمل ہو گیا، پھر بعد میں جاؤں گا۔,,,,,,,بہت مبارک ہو۔ ان شاء اللہ میں ضرور آؤں گا۔ آپ کی حوصلہ افزائی ک,,,,,,,باجی، میں نے ٹیکسی بک کر لی ہے، آئندہ چلاں۔,,,,,,
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,,,,,,,"جی چچا جان، ابھی کھاتا ہوں۔ آپ کی نصیحت کا شکریہ۔
دعوتِ اسلامی",,,,,,,آنٹی، معذرت چاہتی ہوں، میں نے اپنے دادی جان کی دعا کا بہ,,,,,,,جی دادی، میرے بہت حوصلہ افزہ ہے، میں پھر کچھ کام کر لوں گا,,,,,,
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,,,,,,,ٹھیک ہے، چلو چائے دوبارہ ڈال لوں گا۔,,,,,,,جی، چائے دوبارہ ڈالتی ہوں۔,,,,,,,"ضرور، چلو۔ آئندہ تمہاری بہت مہربانی یاد رکھوں گا۔
نہ",,,,,,
