ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational _Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,سر، بہت شکریہ، مگر مجھے کافی تکمیل ہو گئی ہے۔ آپ کی اچھ,2,2,2,2,0,0,بہت شکریہ، بس ختم ہو گیا ہے۔,2,2,2,2,0,0,سر، بس یہ کام ہے گر اگر ان شاء اللہ بہت شکریہ، حال میں ضرور,1,1,1,1,0,1
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,سر، بس کام ہو جائے تو ان شاء اللہ پڑھ لوں۔,2,2,2,2,0,1,جی یار، بس کام مکمل کر لوں، پھر چائے بنوا لیتا ہوں۔ (جی بالکل درست �,1,1,1,1,0,0,جی یار، چائے بنوا لوں!,2,1,2,2,0,0
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,ابّا جان، بہت شکریہ، مگر مجھے کافی کام سنڈار کرنا ہے۔ آپ کی محبت ک,3,3,3,2,0,1,ابّی، تمہارا ضروری نہیں ہے، ان شاء اللہ بس یہ کافی ہے۔,3,3,3,3,0,1,ابّا جان، بس ختم ہو گیا، نہیں تو مزید رہنے دیجیے۔,2,2,2,2,0,1
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,4,4,4,4,0,0,جی سر، یہ کتاب میرے پاس رکھ لیتا ہوں، ان شاء اللہ میں کام آؤں,2,3,3,2,0,1,ابو، بہت شکریہ، مگر بس یہ ملاقات ختم ہونے والی ہے، تو می�,2,2,2,2,0,1,جی سر، بہت شکریہ، مگر مجھے اس وقت دیگر ضروری امور دھیان میں لانا ہوں گا,2,2,2,2,0,1
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,جی سر، بہت شکریہ! یہ تو آپ کی اچھی خدمت کا زیادہ حصہ رہ گیا، برا�,2,2,2,2,0,0,بہت شکریہ! ان شاء اللہ مگر کچھ نہ لیتا، تمہاری محبت کا بے حد شکر,3,3,3,3,0,0,بہت شکریہ، بس ختم ہو گیا۔,3,3,3,3,0,0
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,4,4,4,4,0,0,جی سر، یہ ضروری نہیں ہے کہ آپ اس وقت تک پوچھنے دیکھیں،,2,2,2,2,0,0,بہت شکریہ سر، ان شاء اللہ میری ضرور تھی۔ آئندہ میری کام کا بہتر,3,3,3,3,0,0,جی سر، بہت شکریہ! بس سبق مکمل ہو گیا، اگر کوئی حصہ سمجھ میں نہ,2,2,2,2,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,جی مامा، ضروری نہیں، براہِ کرم میرا بچھادہ بڑھانے دیجیے۔,3,3,3,2,0,0,ابو، آپ کی محبت کا بے حد شکریہ، مگر میں ضرور چلا جاؤں گا، بس یہ کام,3,3,3,3,0,1,جی خالہ، بہت شکریہ، مگر میں آج کل کا کام مکمل کر لوں، پھر کچھ د,1,1,1,1,0,1
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,4,3,4,4,0,0,ضرور یار، تمہارا بہت شکریہ! بس کام مکمل ہو گیا، تمہارا بہت شکری�,3,3,3,3,0,0,نہیں بہت شکریہ، ان شاء اللہ میری ضروریات مکمل ہوں، اگر کوئ,2,2,2,2,0,0,نہیں یار، شکریہ! بس یہ کام مکمل ہو گیا، تو میں بھی کچھ لیت,3,3,3,3,0,0
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,یار، بس تقریباً ختم ہو گیا، ایک اور گیم تو کھیل لیجیے!,2,2,2,1,0,0,اب یار، ان شاء اللہ بہتر گیم کھیل لوں۔,3,3,3,3,0,0,بہت شکریہ یار، بس کام مکمل کر لوں، پھر ایک اور گیم کھیل لیتے ہی,3,3,3,3,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,4,4,4,4,0,0,ابّا جان، آپ کی دعائیں ہوں، نہ تو میں اس رقم کا محتاج ہوں اور ن,3,3,3,3,0,1,ماموں جان، آپ کی محبت کا بے حد شکریہ، مگر مجھے اس کی تکلیف نہیں کرنی,2,2,2,2,0,1,ابّی یار، ضرور کر لو، مگر امید ہے نہیں پڑنا چاہیے۔,3,3,3,3,0,0
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4,4,4,4,0,0,جی سر، بس یہ کام میری طرف سے نہیں چاہیے ہے، براہِ کرم ض,2,2,2,2,0,0,بہت شکریہ، بس ختم ہو گیا، ان شاء اللہ پھر ملنے کی امید ہے�,2,2,2,2,0,0,جی سر، بہت شکریہ! یہ آپ کی اچھی تربیت اور مہمان نوازی کا نتیجہ �,3,3,3,3,0,0
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3,3,4,4,0,0,جی میری اگر کام نہ نکل آؤس دھیان میں رہ لوٹ رہا ہوں۔,3,3,3,3,0,0,"جی سر، بس کام مکمل کر لوں، پھر تمہارا ساتھ دیتا ہوں۔
بہت شکری",3,3,3,3,0,1,یار، بس ختم ہو گیا، میری طرف دیکھ، تمہارا بہت شکریہ۔,2,2,2,2,0,0
