ID,Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response,Qwen_Response,LLaMA_Response,Qalb_Response
1,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Gratitude + indirect refusal,Positive,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,سر، بہت شکریہ، مگر ابھی صرف تھوڑا گرم ہے۔,بہت شکریہ، ابھی کافی ہے۔,بہت شکریہ، ابھی تک بہت مزہ آ رہا ہے۔ آپ کی محبتِ آمریت
2,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Polite refusal,Negative,اور چائے بنوا دوں؟,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,ٹھیک ہے، یہی چائے بنوں گا۔,ضرور، شکریہ!,ضرور یار، ابھی اتنی چائے نہیں رہ گئی۔ تمہاری مہربانی کا ب
3,Urdu,Refusing Offers,ساس,بہو,High,Formal,Deferential refusal,Positive,بیٹا، اور روٹی لے لو۔,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,سری آؤں، اس بار میں نہیں خواہش ہے۔ یہی کافی ہے۔,ساسی، میں نے روٹی لی ہے، آپ زحمت نہ کریں۔,ساسی، روٹی پہلے ہی مکمل ہو گئی ہے، ابھی آئندہ ک
4,Urdu,Refusing Offers,بزرگ,نوجوان,High,Formal,Respectful hesitation,Positive,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,سر، آپ کی بہت پیشکش، مگر میرے کام کا لیڈ ہی رکھ لو۔,جی سر، بہت شکریہ۔ یہ میرے لیے بہت معاملہ ہے۔,سر، بہت شکریہ، مگر ابھی اتنا کام باقی نہیں ہے۔ میں کتاب رک
5,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Face-saving refusal,Negative,اور میٹھا لے لیجیے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,سر، بہت شکریہ، مگر ابھی کافی تھا۔,بہت شکریہ، یہ بہت معذرت چاہتا ہوں، میرے لیے کافی,بہت شکریہ، یہ بہت مزے دار تھا۔ آپ کی محبت کا بہت شکریہ�
6,Urdu,Refusing Offers,استاد,طالب علم,Medium,Formal,Careful refusal,Neutral,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے جسے می,جی سر، بہت شکریہ! اگر میری طرف سے کچھ نہیں سمحہ گیا تو آپ کی رہ,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل
7,Urdu,Refusing Offers,خالہ,بھانجا,High,Formal,Respectful refusal,Negative,رات یہیں رک جاؤ، صبح چلے جانا۔,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,الحمدللہ خالہ، ان شاء اللہ میں ضرور رہ لوں گا۔ آپ کی بہت مہربانی،,خالہ جان، بہت شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، پھ,خالہ، بہت شکریہ، مگر میں ابھی چلا جاؤں گا۔ آپ کی اچھی فکر
8,Urdu,Refusing Offers,پڑوسی,پڑوسی,Medium,Formal,Indirect refusal,Neutral,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,سر، بہت شکریہ، مگر ابھی اتنا نہیں چاہیں۔,بہت شکریہ، مگر ابھی کام ہو رہا ہے، آپ زحمت نہ کریں�,نہیں یار، شکریہ! آپ کی بہت مہربانی۔ اگر ضرورت پڑی تو میں خود
9,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Light refusal,Neutral,چل یار، ایک اور گیم کھیل لیتے ہیں۔,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,ٹھیک یار، ابھی ٹھیک ہوں۔ کبھی اس سے بھول نہ یہیں,ہاہا، ٹھیک ہے یار، آؤ کھेलتے ہیں۔,شکریہ یار، یہ تو پہلی بار ہوگا کہ ہم نے اتنی جلدی تین گیم
10,Urdu,Refusing Offers,ماموں,بھانجی,High,Formal,Deference,Negative,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,ماموں جان، آپ کی دعائیں ہی میرے لیے کافی ہیں، اس کے علاوہ,ماموں جان، آپ کی دعائیں ہی میرے لیے کافی ہیں، مجھے اس کے,ماموں جان، آپ کی محبت کا بے حد شکریہ، مگر آپ فکر نہ کریں۔ میں ضرور اس رقم
