ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,جی معاف کر دیں، چائے بن آئندہ خود بناؤں گی۔ آپ نے اتنا خیال رکھا،,,,,,,,جی ماموں جان، بہت شکریہ، مگر ابھی تھوڑا سا کام باقی ہے، پ,,,,,,,ٹھیک ہے، ابھی چائے بناؤں گا۔,,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,یار، اچھا لگے گا، ان شاء اللہ وقت پر کھیلا جائے گا۔,,,,,,,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور کھیلیں گے۔,,,,,,,ہاں یار، چلو، لیکن اگر میں ضرورہارہوں تو پھر آج نہیں ک,,,,,,
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,,,,,,,آپ کی بہت مہربانی، لیکن ابھی تھوڑا سا وقت باقی ہے، میں خود سن,,,,,,,جی ضرور، ابھی چائے دوبارہ ڈالتا ہوں۔ پھر آپ بتا دیجیے گا,,,,,,,ٹھیک ہے، آپ کی بڑی مہربانی، چلوں گا۔,,,,,,
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہ,,,,,,,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو ر,,,,,,,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہ,,,,,,
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,بہت شکریہ یار، یہ تمہاری محبت ہے، ان شاء اللہ ضرور آؤں گا,,,,,,,جی، میں ضرور ڈنر کر لیتا ہوں، اگر کوئی غلطی ہو تو آپ ن,,,,,,,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا,,,,,,
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ ضرور آؤں گے۔,,,,,,,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں,,,,,,,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا,,,,,,
24,استاد,طالب علم,Medium,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,,,,,,,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا,,,,,,,بہت شکریہ یار، اگر کوئی ضروری کام نہ نکلا تو میں ضرور آنے کی کوشش کروں,,,,,,,جی ماموں، آپ نے یاد کیا، ابھی کھانے کی زحمت کرنے کی ضرورت,,,,,,
35,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی محبت سر آنکھوں پر، مگر آپ کی نیک نیتی ہی میرے لیے کافی ہے۔,,,,,,,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے، شکری,,,,,,,ابا جان، آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہ,,,,,,,ابا جان، اس کی کیا ضرورت تھی، لیکن آپ نے اتنا خیال رکھا، میں شکر گزار ہو,,,,,,
40,سسر,داماد,High,آپ کے سسرملاقات کے اختتام پر آپ کو کچھ رقم دینا چاہتے ہیں۔,یہ کچھ رقم رکھ لیجیے، بعد میں کام آئے گی,ابا جان، فی الحال ضرورت نہیں، آپ کا خیال ہی میرے لیے کافی ہے۔,,,,,,,آپ جا سکتے ہیں، میں اور سب کچھ رکھ لیتا ہوں۔,,,,,,,آپ کی دعا ہی میرے لیے  کافی ہے بہت شکریہ اسکی ضرورت نہی,,,,,,,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت ن,,,,,,
41,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی نیک نیتی ہی میرے لیے کافی ہے، اتنا تکلف نہ کرتے۔,,,,,,,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے، شکری,,,,,,,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے، انہی,,,,,,,ابا جان، اس کی کیا ضرورت تھی، لیکن آپ نے اتنا خیال رکھا، میں شکر گزار ہو,,,,,,
