ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,"""میزبان صاحب، بہت شکریہ، مگر مجھے ابھی زیادہ نہیں چاہیے",3,3,3,3,0,0,"""جی، بہت شکریہ، لیکن مجھے کچھ زیادہ نہیں کھانے کی ضرورت �",3,3,3,2,0,0,"""جیسے جیسے، میں اسے لے لیا گا۔ بہت شکریہ!""",2,2,2,1,0,0,"""بہت شکریہ، مگر میں نے ابھی کافی کھا لیا ہے۔""",3,3,3,3,0,0
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,"""نہیں یار، بس اتنا ہی کافی ہے، شکریہ!""",3,3,3,3,0,0,"""جی یار، ضرور بناوا دو!""",1,1,1,1,0,0,"""نہیں یار، بہت شکریہ! میں نے کافی پی لی ہے۔""",4,4,4,4,0,0,"""ٹھیک ہے، بہت شکریہ!""",2,2,2,1,0,0
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""شکریہ ساس جی، میں نے کافی کھا لیا ہے، آپ کی محبت کا بہت شکریہ۔""",3,3,3,3,0,0,"""جی ساس جان، بہت شکری۔""",2,2,2,2,0,0,"""جی ساسی، اب کافی ہوگیا، زیادہ نہیں لینا چاہیے۔""",2,2,2,2,0,0,"""بات کی جس کے لیے میں بھی بھرپور ہوں، مگर بہو جان، میں ا",1,1,1,1,0,0
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,3,3,4,4,0,0,"""جی بزرگ جان، آپ کی احسانی کا بہت شکریہ، لیکن مجھے اس کے علاوہ کچھ ن�",3,3,3,3,0,0,"""جی بزرگ، بہت شکریہ، لیکن مجھے اس کی تکلیف نہیں کرنی چاہیے ت",2,2,2,1,0,0,"""بہت شکریہ، آپ کی مہربانی ہے۔ میں اس کتاب کا ضرور فائدہ اٹھاؤں گا۔""",4,4,4,4,0,0,"""جی بزرگ، بہت شکریہ، مگر امید ہے آپ کو کچھ دیر کے لیے ا",2,2,2,2,0,0
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,"""جی مہربانی، کھانے کے بعد میٹھا لینے کے لیے بہت شکریہ�",2,2,2,2,0,0,"""شکریہ، بس یہ کافی ہو گیا، ابھی کچھ کام نہ نکل آیا۔""

[Response] = """,3,3,3,2,0,0,"""بہت شکریہ! مگر میں نے پہلے ہی کافی کھا لیا ہے، آپ کا مہمان نوازی کا بہت شکریہ۔""",4,4,4,4,0,0,"""جیسے جان، مزید میٹھا لیں۔ بہت شکریہ۔""",2,2,2,2,0,0
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,3,3,3,4,0,0,"""جی سر، بہت شکریہ۔ میں کافی تیjar پڑھ paaya gaya hoon，但保持在Urdu响应",2,2,2,2,0,0,"""بہت شکریہ سر، میں آپ کی رہنمائی کا فائدہ اٹھاؤں گا اگر مجھے ضرورت محسوس ہوئی۔""",3,3,3,3,0,0,"""جی سر، بس یہ تو واضح ہو گیا، آپ کی رہنمائی کا بہت شکریہ۔""",3,3,3,3,0,0,"""جی سر، بس سبق ختم ہو گیا ہے، اگر کوئی حصہ مشکل ہو تو وضاحت کر دیجی",2,2,2,2,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""خالہ، آپ کی محبت کا بہت شکریہ، مگر مجھے آج ہی واپس جانا ہے۔""",4,4,4,4,0,0,"""جی خالہ جان، آپ کی دعوت کا بہت شکریہ۔ لیکن میں جلد چلے جاؤں",3,3,3,3,0,0,"""جی خالہ جان، بس یہی کر لوں، صبح چلے جانا۔""

[1] [2] [3] [4",1,1,1,1,0,0,"""جی خالہ، میں رات یہیں رک جاں گا، صبح کے لیے بھی بہت ش",2,2,2,1,1,0
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,3,3,3,4,0,0,"""جی، بہت شکریہ، لیکن میں اس کے لیے کچھ نہیں چاہتا۔",3,3,3,3,0,0,"""بہت شکریہ! اگر آپ کو کوئی زحمت نہ ہو تو مجھے کچھ پھل لے آئیں۔""",3,3,3,0,0,0,"""جی پڑوسی، آپ کی سہولت کا بہت شکریہ۔""",3,3,3,3,0,0,"""جی، بس یہ کام مکمل کر لوں، پھر کچھ دیر آرام کر لیتا ہوں۔""",2,2,2,2,0,0
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,"""جی بالکل، یہ تو مزیدار ہوگا! چلیں شروع کرتے ہیں!""",3,3,3,3,0,0,"""جی، بس یہ گیم مکمل کر لیتے ہیں۔""",3,3,3,3,0,0,"""جی یار، بس یہاں کھلے میں کھیل سکتے ہیں یا کھیلنے",2,2,2,2,0,0,"""ٹھیک ہے، میں بھی کچھ دیر کھیلنے کے لیے آئے گا۔""",2,2,2,2,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,3,3,3,4,0,0,"""جی ماموں، میں بہت شکریہ کرتا ہوں، لیکن اب تک کچھ نہ",2,2,2,2,0,0,"""ماموں جان، آپ کی محبت کا بہت شکریہ، مگر مجھے اس کی ضرورت نہیں ہے۔""",3,3,3,3,0,0,"""جی ماموں جان، آپ کی محبت کا بے حد شکریہ، یہ رقم ضرورت پڑنے پر ضرور است",2,2,2,2,0,0,"""میں نے یہ رقم قبول کر لی ہے، ماما جان!"" (Answer in the same tone as the question)
""شکریہ",1,1,1,0,1,0
