Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Meta-Llama-3.1-8B-Instruct,,,,میں نے تم سے منع کیا تھا، پھر یہ کیوں کیا؟,جی ابو، مجھ سے غلط فیصلہ ہو گیا، آئندہ آپ کی بات کا زیادہ خیال رکھوں گا۔,"""کیا تو مجھے بتائیے کہ میں نے کیا کیا کیا کیا کیا کیا کیا کیا کیا ک",0.0,0.875,1.0
Qalb-1.0-8B-Instruct,,,,کیا میں اس حصے کی مزید وضاحت کر دوں؟,سر، آپ کی مہربانی، میں ایک بار خود بھی دیکھ لیتا ہوں، پھر ضرورت ہوئی تو آپ سے پوچھ لوں گا۔,"Yes, I can generate more details about this part.",0.0,0.75,1.0
Qalb-1.0-8B-Instruct,,,,ذرا میرا بیگ پکڑ لو، ہاتھ بھرے ہوئے ہیں۔,ہاں، دو، میں سنبھال لیتی ہوں۔,"""بیگ کیسے پکڑو؟""
""آپ کوئی ایسی چیز دیکھ رہے ہیں جو آپ کی",0.0312,0.75,0.9688
Qalb-1.0-8B-Instruct,,,,آج مہمان آ رہے ہیں، کھانے کا انتظام کرنا ہے۔,جی امی جان، آپ بتا دیجیے کیا کیا بنانا ہے۔,"Today, guests are coming over and I need to take care of the food.",0.0,0.75,1.0
Meta-Llama-3.1-8B-Instruct,,,,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,"""کیا کروں؟ وہ تو پانی میں ڈوب جائیں گے۔""",0.0,0.75,1.0
Meta-Llama-3.1-8B-Instruct,,,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""جی، بہت اچھا، میں چائے بناؤں!""",0.0625,0.75,0.9375
Qwen2.5-7B-Instruct,,,,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,بیٹا، مگر کچھ زائد کھاؤ، صحت کے لئے پرچم نیاز ہے۔,0.0,0.75,1.0
Qwen2.5-7B-Instruct,,,,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,میں نے اسے قبلا ڈال لیا جا سکتا ہے۔,0.0,0.75,1.0
Qwen2.5-7B-Instruct,,,,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,اتوار نے میری طرف سے دعوت لی جائی گئی۔,0.0312,0.75,0.9688
GPT-4o-mini,,,,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,"""جی امی، میں اور کھا لیتا ہوں۔""",0.0,0.75,1.0
GPT-4o-mini,,,,یار، رہنے دو، آج بل میری طرف سے ہے۔,یارتمہاری مہربانی اس دفعہ مجھے دینے دو اگلی بار تم دے دینا۔,"""نہیں یار، میں نے آج تمہیں بل دینے کا کہا تھا۔""",0.0312,0.75,0.9688
GPT-4o-mini,,,,اس پر مزید بحث نہیں، آج بل میں ادا کروں گا۔,سر، یہ آپ کی مہربانی ہے، لیکن واقعی اس کی ضرورت نہیں۔,"""ٹھیک ہے، آپ کی مرضی۔""",0.0312,0.75,0.9688
