ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational _Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,بہت شکریہ! آج مجھے بہت یہی کافی ہے۔ آپ کی مہربانی اپ,3,3,3,3,0,0,بہت شکریہ، ابھی آئندہ میں لے لوں گا۔,2,2,2,2,0,0,سر، اگر تمہاری بہت ہے تو میرے لیے یہی تھی۔ آرام کریں، میں,1,1,1,1,0,1
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,بہت شکریہ! آپ فکر نہ کریں، یار۔ मیں آسانی سے یہیں چ,3,3,3,3,0,0,جی، اباری۔ اس سے زائد نہیں۔ آپ کی مہربانی اپنی جگہ، مگر میں دوب,1,1,1,1,0,0,بہت مبارک ہو۔ آج سارا کام مکمل کر کے آ گيا، اس کے لیے یہ چائ�,2,2,2,2,0,0
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,سسر، یار، ابھی میں کافی کھا چکا ہوں، اس لیے مزید روٹی نہی�,2,3,3,2,0,1,سر، یار! یہی کافی ہے، اپ نے بھی پہلے میں سے ڈھونڈی۔,3,3,3,3,0,1,جی ساسی، اب تک کی بات تم آری ہے۔,2,2,2,2,0,1
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,4,4,4,4,0,0,جی، اس کے واقعی فائدے ہیں۔ آپ کی بہت شکریہ۔,2,3,3,2,0,0,سر، آپ کی بہت مہربانی، مگر میں رکھ لوں گا، اگر ضرورت پڑی تو ضرور ل�,2,2,2,1,0,0,سر، آپ کی بہت مہربانی، مگر معذرت چاہتی ہوں۔ میں زحمت ن�,3,3,3,3,0,0
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,بہت شکریہ! اس سے میرا دل یار، اب进一步 نہیں چاہئے۔ آپ کی م,2,2,2,2,0,0,شکریہ میزبان سIR، بس آگے چلوں گا۔,2,2,2,2,0,0,بہت مبارک ہو۔ آئندہ ضرور دیتا ہوں گا۔,2,2,2,2,0,0
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,4,4,4,4,0,0,سر، میں آپ کی پیش کش اپنی رہنمائی کے لیے بہت شکریہ! اگر میں نے کچ,3,3,3,3,0,0,ارے، اگر آپ کی بہت ہو تو میں سنبھال لوں گا، ابھی فکر نہ ک,4,4,4,4,0,0,جی، اگر آپ چاہیں تو میں مزید وضاحت کر سکتا ہوں۔ آئندہ وقت ضرورت,2,2,2,2,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,بہت شکریہ چیज! تمہاری بہت مہربانی۔ آئندہ بھی رک لو، یار,3,3,3,3,0,0,خالہ جان، اس کی بہت مہربانی، مگر میں معذرت چاہتا ہوں، می�,3,3,3,3,0,0,خالہ جان، آپ کی مہربانی اپنی جگہ، مگر میں آپ کی فکر کرنے پر زحمت نہی,2,2,2,2,0,0
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,4,3,4,4,0,0,بہت شکریہ! آپ کی مہربانی اپنی جگہ، مگر معذرت چاہتی ہوں،,4,4,4,4,0,0,بہت شکریہ! تمہاری بہت مہربانی۔ آپ فکر نہ کریں، ابھی ٹ,2,2,2,2,0,0,بہت مہربانی، آپ زحمت نہ کریں۔ میں سارا کام خود مکمل کر لوں گا، اگر ضر,2,3,3,2,0,0
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,بہت مبارک ہو۔ پہلے کے سے کھیل سے بہتر میں کھیل,1,1,1,1,0,0,بہت شکریہ یار! آپہمرد، یہی معاملہ بھول لو۔,3,3,3,3,0,0,شکریہ یار، تماری تجویز قبول۔ چلو، ابھی ایک اور گیم کھیلتے ہیں,2,2,2,2,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,4,4,4,4,0,0,مامو جان، آپ کی بہت مہربانی، مگر ابھی میں گھر پر رک جاؤں گی اور اپنی,3,3,3,3,0,0,ماموں جان، میں سارا کام سنبھال لوں گی، آپ فکر نہ کریں۔ اگر ضرورت پڑی تو ضر,2,2,2,2,0,0,آنے کے لیے بہت شکریہ۔ آپ کی رہنمائی میں سارا دل سے، فکر ن,3,3,3,3,0,0
