ID,Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response,Qwen_Response,LLaMA_Response,Qalb_Response
1,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Gratitude + indirect refusal,Positive,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,بہت شکریہ! آپ کی بہت مہربانی، مگر ابھی تک گرم ہے میرے,بہت شکریہ، ابھی کوشش کر رہا ہوں۔,بہت شکریہ، ابھی تک بہت مزہ آیا ہے۔ آپ کی اچھی خدمت کا بہ
2,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Polite refusal,Negative,اور چائے بنوا دوں؟,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,ٹھیک ہے، یہی چائے ہے جسے تم باج لو۔,جی، ضرور بنوا دوں گا۔,ناام، یہ تمہاری مہربانی، مگر ابھی صرف تھوڑی دیر ہوگی۔ چلو،
3,Urdu,Refusing Offers,ساس,بہو,High,Formal,Deferential refusal,Positive,بیٹا، اور روٹی لے لو۔,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,جی ساری، تمہاری یہی رہنمائی چاہیے تھی۔,جی ساس، شکریہ۔,ساسی، شکریہ، لیکن ابھی اتنا خرچ نہیں ہونا چاہئے۔ آپ کی فکر کر
4,Urdu,Refusing Offers,بزرگ,نوجوان,High,Formal,Respectful hesitation,Positive,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,الحمدللہ، میں ضرور رکھ لوں گا، پھر آپ کام چلا دینے دو۔,جی سر، بہت شکریہ۔ یہ واقعی میرے لیے بہت اہم ہے۔,جی سر، بہت شکریہ، مگر ابھی اتنا وقت نہیں گزرا۔ اگر آپ چاہیں
5,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Face-saving refusal,Negative,اور میٹھا لے لیجیے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,بہت شکریہ سر، بس واقعی حوصلہ افزائی ہے۔ آپ کی مبارکہ دعوت ک,بہت شکریہ، یہ بہت معذرت چاہتا ہوں اگر میں نے آپ کی م,بہت شکریہ، بس یہی چاہیے تھا۔ براہِ کرم، اب میں مزید
6,Urdu,Refusing Offers,استاد,طالب علم,Medium,Formal,Careful refusal,Neutral,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,بہت شکریہ سر، بس تھوڑا سا وقت صرف کرتا ہوں۔,جی سر، بہت شکریہ! اگر آپ کا کھڑا ہونا ہے یا میری نشاندہی چا,جی سر، بہت شکریہ! اگر ممکن ہو تو براہِ کرم مزید وضاحت کریں۔ یہ مع
7,Urdu,Refusing Offers,خالہ,بھانجا,High,Formal,Respectful refusal,Negative,رات یہیں رک جاؤ، صبح چلے جانا۔,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,الحمدللہ خالہ، تمہاری بہت مہربانی۔ شاید میں نے کہیں دھون دی۔,خالہ جان، بہت شکریہ، مگر ابھی اتنا زحمت نہیں ہے۔ می�,خالہ جان، بہت شکریہ، مگر میں چھوڑنے والا بس ابھی آ رہا
8,Urdu,Refusing Offers,پڑوسی,پڑوسی,Medium,Formal,Indirect refusal,Neutral,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,نہیں یار، بس رہنمائی ڈال لو، میں خود لے آتا ہوں۔,بہت شکریہ! اگر آپ چاہیں تو میں ابھی لے آتا ہوں۔,بہت شکریہ، اگر کوئی خاص چیز چاہیے ہو تو بتا دیجیے گا۔ وہ
9,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Light refusal,Neutral,چل یار، ایک اور گیم کھیل لیتے ہیں۔,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,ٹھیک یار، ابھی تھوڑا سا کام باقی نہیں، پھر کھیلنے جاؤ,بہت مبارک ہو۔ آؤ یہ گیم ختم کر لیں پھر کچھ اور کھانے کا,بہت معقول بات ہے، آؤ ایک اور گیم کھیل لیتے ہیں۔ تمہاری
10,Urdu,Refusing Offers,ماموں,بھانجی,High,Formal,Deference,Negative,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,ماموں جان، تمہاری رقم میرے لیے ہی مکمل ہے، مجھے کوتا نہیں ہو,مامو جان، آپ کی بہت مہربانی، مگر ابھی زحمت نہ کریں۔ میں ضرور اس رقم ک,ماموں جان، آپ کی بہت مہربانی، مگر اس سب کی ضرورت نہیں ہے۔ آپ کی
