ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational _Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,سر، بہت شکریہ، لیکن ابھی اتنا گرم نہیں ہے۔ میں صرف تھو�,1,1,1,1,1,1,سر، شکریہ، ابھی اتنا پانی ہوگا۔,2,2,2,2,0,1,دعوت میں گرم سالن پیش کرنا خوبصورت ہے، میزبانی کا بہت شکریہ,2,2,2,1,0,0
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,ٹھیک ہے، اب تھیموں پر چائے بناوں گا۔,1,1,1,1,1,0,سر، بہت شکریہ، مگر ابھی اتنا نہیں ہوگا۔ میں آدھا ک,2,2,2,2,0,1,جی، شکریہ! ابھی بنوں گا۔,2,1,2,1,0,0
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,سر، بہت شکریہ، لیکن ابھی اتنا کام باقی نہیں ہے، میں خود لے,3,3,3,3,0,0,جی چاہیے، بس لوں گا۔,2,2,2,2,0,1,جی ساس جان، شکریہ۔ ابھی کافی ہوں، مزید نہیں پلا دینا پڑے,1,2,2,1,1,0
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,4,4,4,4,0,0,سر، شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔ آپ کا بہت شکر,2,3,3,2,0,0,جی سر، شکریہ۔ یہ کتاب میں رکھ لوں گا۔,2,2,2,2,0,1,سر، آپ کی بہت مہربانی، لیکن ابھی اتنا کام باقی نہیں ہے۔ میں,2,2,2,2,0,0
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,سر، بہت شکریہ، لیکن ابھی اتنا میٹھا لے لوں گا تو میری صحت خراب ہ,2,2,2,2,0,1,دعوت سے زحمت نہ کریں، میٹھا لیجیے۔,1,1,1,1,0,0,ضرور، شکریہ!,1,1,1,1,0,0
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,4,4,4,4,0,0,ضرور، اگر آپ نے میری باتیں مکمل طور پر سمجھ لی ہوں گا تو آپ فکر نہ کریں�,2,2,2,2,0,0,ستاد جان، بہت شکریہ، لیکن ابھی صرف تھوڑا سا کام باقی ہے۔,3,3,3,3,0,0,سر، بہت شکریہ، مگر ابھی اتنا سامح نہیں ہے۔ میں خود اس سبق,2,2,2,2,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,خالہ جان، بہت شکریہ، لیکن میں ابھی صبح چلنا پڑتا ہے۔,2,2,2,2,0,1,جی خالہ، ان شاء اللہ میں رات رھونے کا بہت شکریہ۔,2,2,2,2,0,0,سر، شکریہ، لیکن ابھی اتنا وقت باقی نہیں ہے، میں بالکل ٹھیک �,2,2,2,2,0,0
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,4,3,4,4,0,0,سر، بہت شکریہ، مگر ابھی اتنا کام باقی نہیں ہے، میں خود ہ,3,3,3,3,0,0,سر، بہت شکریہ، ابھی اتنا لہج نہیں ہے۔,2,2,2,2,0,1,جی پڑوسی، شکریہ! اگر اور بھی کچھ چاہیے ہو تو بتا دیجیے گا,3,3,3,2,0,1
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,ٹھیک ہے، یار، میں تھوڑا سا ٹھیک نہیں ہوں،,1,1,1,1,0,0,ٹھیک ہے یار، ابھی تکھا رہ لوگیں گا۔ ایک اور گیم کھ,2,2,2,2,0,0,ٹھیک ہے، آؤ ایک اور گیم کھیل لیتے ہیں۔ ان شاء اللہ، می,2,2,2,2,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,4,4,4,4,0,0,سر، شکریہ، مگر ابھی اتنی ضرورت نہیں ہے۔,2,2,2,2,0,1,مامو جان، شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔ میں بالکل اچھا �,2,2,2,2,0,0,جی ٹھیک ہے ماموں سے بہت زحمت نہیں ہوگی، ابھی تک رہ,3,3,3,3,0,0
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4,4,4,4,0,0,دعوت کا بہت شکریہ! اگر ٹھیک ہونے والی چیز ہو تو بتا لوں,1,1,1,1,0,1,سر، آپ کی بہت مہربانی، لیکن ابھی بس ہم پھر سے آنے کا-plan نہی,2,2,2,2,0,0,سر، بہت شکریہ، لیکن آج کافیthing ہوگیا ہے، میں اور انشاء الل�,2,2,2,2,0,1
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3,3,4,4,0,0,سر، ابھی چलیمہ، اگر تو زحمت نہ کریں۔,1,1,1,1,0,1,سر، بہت شکریہ، مگر آج میں تھوڑا سا.busy ہوں، شاید اگلے,2,2,2,2,0,1,جی سر، ان شاء اللہ میں اس سے ملنا پڑے گا۔,2,2,2,1,0,1
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,سر، بہت شکریہ، لیکن ابھی اتنا باقی نہیں ہے۔ میں کافی کھ,2,2,2,2,0,1,جی باجی، ان شاء اللہ کھا لوں گا۔ آپ کی بہت مہربانی۔,0,0,0,0,0,1,جی  Morma، بس ایسा کچھ کھا لو جیسا کہ انتھ بن جائیے گا۔ یہ ب,3,3,3,3,0,1
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4,4,4,4,0,0,ٹھیک ہے، میں چائے دوبارہ ڈال لوں گا۔,2,1,2,1,0,0,ٹھیک ہے، شکریہ۔,1,1,1,1,0,0,سر، بہت شکریہ، لیکن ابھی اتنا نہیں ہوگا۔ میں اور یہ,2,2,2,2,0,1
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,سر، آپ کی بہت مہربانی، لیکن میں واپس آنے دوں گا۔,2,2,2,2,0,1,سر، شکریہ، لیکن میں بالکل ٹھیک ہوں، آپ فکر نہ کریں۔ میں صبح,1,2,2,1,0,0,چچا جان، ابھی خدا نواز، رات زحمت کیا گا، میری بیٹی کی ضرور,2,2,2,2,0,1
