ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,ٹھیک ہے، ابھی تھوڑا سا گرم ہے۔ میں نے اپنا سامان اٹ,,,,,,,آپ نے بہت مہربانی کی، اب میں خود اٹھا لوں گا۔,,,,,,,سر، زحمت نہ کریں، آپ کو بہت ٹھیک ہے جانے دوں۔,,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,ٹھیک ہے، آپ کی بہت مہربانی، ابھی چاہیے جانے والی چائے,,,,,,,ٹھیک ہے، ابھی چائے بننا باقی ہے۔ میں مکمل کر لوں گا، آپ,,,,,,,جی سر، چائے بنانے کا بہت شکریہ۔,,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,ٹھیک ہے باجی، میں نے بالکل اس بار روٹی بھول دی۔ آئندہ سے می�,,,,,,,دادا جان، یہ بس میرا ہیں۔ آپ کی دعوت کا بہت شکریہ۔,,,,,,,آپ کی دعائیں کا بہت شکریہ، دادی جان، میں نے کافی کھا لیا ہے,,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,ٹھیک ہے بھائی، میں خود یہ بیان دیتا ہوں کہ میں اس سب ک,,,,,,,سر، اس بارے میں شک نہیں ہے کہ یہ کتاب میری ضرورت ہوگی۔ می,,,,,,,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل,,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,باجی، شکریہ، مفتحانہ! یہ بہت مزیدار ہے۔ آئندہ بھ,,,,,,,سر، اگر آپ نے دعوت کی تو میں بہت سرکاری طور پر بس لوٹ لوں گا۔,,,,,,,سر، آپ کی دعائیں پذیر حمدللہ۔,,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,ضرور، اگر آپ نے کچھ سمجھا ہے تو آپ خود بتا دیجیے گا۔,,,,,,,سر، اگر آپ کو بہت زحمت ہو یا اور تفصیلات پڑھنی ہوں تو میں,,,,,,,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل,,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,سر، اگر بھائی، مگر میری باجی دینا چاہے دو۔,,,,,,,آپ کی دعوت کا بہت شکریہ، مگر ابھی تھوڑا سا کام باقی ہے، می�,,,,,,,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا سفر باقی ہے، میں چلن,,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,باجی، آپ کو زحمت ہوگی، میں نے بالٹی بھر کر پانی اٹھا لیا ہ�,,,,,,,سر، بہت شکریہ، ابھی صرف تھوڑا سا بارہ میٹر لوٹنا پڑتا ہے,,,,,,,جی سر، بہت شکریہ، مگر ابھی اتنا زحمت نہیں ہوگی۔,,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,ٹھیک ہے بھائی، ابھی رہتا ہوں پلا پلانیا۔ آپ نے کیا گیم چ,,,,,,,جی چچا، آپ لوگوں کی بہت مہربانی！实际上，正确的回答应该是：جي چچا، غلطی ن,,,,,,,ٹھیک ہے بھائی، آؤ مل کر ایک اور گیم کھیلتے ہیں۔ یہ م,,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,سر، اس بارہ شکر، میں نے رکھ لیا ہے۔ اگر آپ نے چاہا ہ,,,,,,,سر، شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل کر لوں,,,,,,,ٹھیک ہے باجی، اگر کبھی اس سے زائد کی ضرورت پڑے گا تو آؤ م,,,,,,
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,,,,,,,سر، بہت شکریہ، مگر حالانکि ابھی تک میری زحمت کیلئے کچھ چ,,,,,,,سر، آپ کی دعوت کا بہت شکریہ۔ اگر اس بار میں نے آپ کی مدد نہیں کر پائ,,,,,,,ٹھیک ہے، اگر اور کچھ چاہیے ہو تو بتا دیجیے گا۔ میں,,,,,,
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,,,,,,,جی چچا، میں اور اتنا زحمت نہیں ٹھیک ہوں، آؤ میرے ساتھ,,,,,,,باجی، میں بالکل ٹھیک ہوں، آپ فکر نہ کریں۔ اس بارے میں اگر اور,,,,,,,آپ کی دعوت کا بہت شکریہ، مگر ابھی کافی زحمت ہوگی، میں نے اپنا,,,,,,
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,,,,,,,سر، میں نے کافی کھا لیا ہے، ابھی صرف چنے باجوں کا تھوڑ,,,,,,,آپ فکر نہ کریں، میں بالکل ٹھیک ہوں۔ یہ سب کھانا پلا دینا پ�,,,,,,,دادا جان، وہ ایک میگر جان ہے، آپ پلا دینا چاہیے ہے۔,,,,,,
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,,,,,,,ٹھیک ہے، ابھی چاہ Erie سے ٹھیک ہی ڈال لوں گا۔,,,,,,,ٹھیک ہے باجی، میں ابھی رکّا ڈالتا ہوں۔,,,,,,,ٹھیک ہے، آؤ مل کر چائے پیتے ہیں۔ شکریہ! باجی، آپ ز,,,,,,
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,سر، آپ کی دعوت کا بہت شکریہ، مگر ابھی تھوڑا سا کام باقی ہے، می,,,,,,,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا سفر باقی ہے، میں چھو,,,,,,,سر، اگر بہت لگ رہا ہے تو میں ٹھیک ہوں، صبح دعوت کا مکمل,,,,,,
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,,,,,,,دادا جان، آج رات میں خود بھی ایکچھا ہوں۔ آپ کی دعوت میں شامل,,,,,,,جی، آؤنے دوں پابھی کا بہت شکریہ۔,,,,,,,جی سر، آج رات میں ضرور کھانا کھا لوں گا۔ آپ کی دعوت کا بہت شکریہ�,,,,,,
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,باجی، شکریہ، مگر کل میری ایک اہم ملاقات ہے جسے میں چھوڑ,,,,,,,سر، ان شاء اللہ آؤں گا۔ آپ کی دعوت کا بہت شکریہ۔,,,,,,,دعوت کا بہت شکریہ، ابھی گا۔,,,,,,
18,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,جی سر، ان شاء اللہ اس دن پورا خاندان مفتخور ہوں گا۔,,,,,,,ضرور آنے دیجیے گا، اٹھر لوں گا۔,,,,,,,"جی سر، اتوار کو میں ضرور آؤں گا۔ آپ کی دعوت کا بہت شکریہ۔
سر، اتوار",,,,,,
19,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,,,,,,,سر، اس بار میرا خالہ جان کی ضرورت پڑگا۔ آپ کی بہت شکریہ۔,,,,,,,باجی، آج میری ایک اہم ملاقات ہے جسے میں چھوڑ نہیں,,,,,,,سر، آپ کی دعوت کا بہت شکریہ، مگر آج میری ایک اہم ملاقات ہے جس�,,,,,,
20,ساس,داماد,High,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,جی سر، ان شاء اللہ آؤں گا۔,,,,,,,ٹھیک ہے بھائی، آج رات میں ابھی صرف تھوڑا سا بیفیلڈ ضر,,,,,,,"جی سر، ان شاء اللہ میں کھا لوں گا۔ آپ کی دعوت کا بہت شکریہ۔
سر",,,,,,
