ID,Model,Topic,Power_Distance,Register,Sensitivity,CAS,FTV,Bias,model_Relational_Alignment,model_Indirectness,model_Facesaving,model_Cultural_Appropriateness,model_Directness_Threat,model_Hierarchy_Violation,gold_Relational_Alignment,gold_Indirectness,gold_Facesaving,gold_Cultural_Appropriateness,gold_Directness_Threat,gold_Hierarchy_Violation
1,Qalb-1.0-8B-Instruct,,Medium,,,0.4375,0.0,0.5625,2.0,2.0,2.0,1.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
1,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.4375,0.0,0.5625,2.0,2.0,2.0,1.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
1,Qwen2.5-7B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
1,GPT-4o-mini,,Medium,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
2,Qalb-1.0-8B-Instruct,,Low,,,0.3125,0.0,0.6875,1.0,1.0,1.0,1.0,0.0,0.0,3,4.0,4.0,4.0,0.0,0.0
2,Meta-Llama-3.1-8B-Instruct,,Low,,,0.0625,0.125,0.9375,0.0,0.0,0.0,0.0,0.0,1.0,3,4.0,4.0,4.0,0.0,0.0
2,GPT-4o-mini,,Low,,,0.8125,0.0,0.1875,3.0,3.0,3.0,3.0,0.0,0.0,3,4.0,4.0,4.0,0.0,0.0
2,Qwen2.5-7B-Instruct,,Low,,,0.5,0.125,0.5,2.0,2.0,2.0,1.0,0.0,1.0,3,4.0,4.0,4.0,0.0,0.0
3,GPT-4o-mini,,High,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
3,Qalb-1.0-8B-Instruct,,High,,,0.5,0.125,0.5,2.0,2.0,2.0,2.0,0.0,1.0,4,4.0,4.0,4.0,0.0,0.0
3,Meta-Llama-3.1-8B-Instruct,,High,,,0.4375,0.0,0.5625,2.0,2.0,2.0,1.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
3,Qwen2.5-7B-Instruct,,High,,,0.25,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
4,Meta-Llama-3.1-8B-Instruct,,High,,,0.5312,0.0,0.4688,2.0,2.0,2.0,1.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
4,Qalb-1.0-8B-Instruct,,High,,,0.5312,0.0,0.4688,2.0,2.0,2.0,1.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
4,GPT-4o-mini,,High,,,0.8438,0.0,0.1562,3.0,3.0,3.0,3.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
4,Qwen2.5-7B-Instruct,,High,,,0.3438,0.0,0.6562,1.0,1.0,1.0,1.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
5,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
5,Qalb-1.0-8B-Instruct,,Medium,,,0.25,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
5,GPT-4o-mini,,Medium,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
5,Qwen2.5-7B-Instruct,,Medium,,,0.5,0.125,0.5,2.0,2.0,2.0,2.0,0.0,1.0,4,4.0,4.0,4.0,0.0,0.0
6,Qwen2.5-7B-Instruct,,Medium,,,0.875,0.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
6,GPT-4o-mini,,Medium,,,0.875,0.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
