ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,ٹھیک ہے، ابھی تھوڑا سا گرم ہے۔ میں نے اپنا سامان اٹ,1,1,1,1,1,0,آپ نے بہت مہربانی کی، اب میں خود اٹھا لوں گا۔,2,2,2,2,0,0,سر، زحمت نہ کریں، آپ کو بہت ٹھیک ہے جانے دوں۔,1,1,1,1,0,1
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,ٹھیک ہے، آپ کی بہت مہربانی، ابھی چاہیے جانے والی چائے,1,1,1,1,1,0,ٹھیک ہے، ابھی چائے بننا باقی ہے۔ میں مکمل کر لوں گا، آپ,1,1,1,1,1,0,جی سر، چائے بنانے کا بہت شکریہ۔,2,1,2,2,0,1
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,آپ کی دعائیں کا بہت شکریہ، دادی جان، میں نے کافی کھا لیا ہے,2,3,3,2,0,1,ٹھیک ہے باجی، میں نے بالکل اس بار روٹی بھول دی۔ آئندہ سے می�,1,1,1,1,0,1,دادا جان، یہ بس میرا ہیں۔ آپ کی دعوت کا بہت شکریہ۔,1,2,2,1,0,1
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,3,3,4,4,0,0,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل,2,3,3,2,0,0,ٹھیک ہے بھائی، میں خود یہ بیان دیتا ہوں کہ میں اس سب ک,1,1,1,1,0,1,سر، اس بارے میں شک نہیں ہے کہ یہ کتاب میری ضرورت ہوگی۔ می,2,2,2,2,0,1
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,باجی، شکریہ، مفتحانہ! یہ بہت مزیدار ہے۔ آئندہ بھ,2,1,2,2,0,1,سر، اگر آپ نے دعوت کی تو میں بہت سرکاری طور پر بس لوٹ لوں گا۔,1,1,1,0,0,1,سر، آپ کی دعائیں پذیر حمدللہ۔,1,1,1,1,0,1
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,3,3,3,4,0,0,سر، اگر آپ کو بہت زحمت ہو یا اور تفصیلات پڑھنی ہوں تو میں,1,1,1,1,0,0,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل,3,3,3,3,0,0,ضرور، اگر آپ نے کچھ سمجھا ہے تو آپ خود بتا دیجیے گا۔,2,2,2,2,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا سفر باقی ہے، میں چلن,2,2,2,1,0,1,آپ کی دعوت کا بہت شکریہ، مگر ابھی تھوڑا سا کام باقی ہے، می�,3,3,3,3,0,0,سر، اگر بھائی، مگر میری باجی دینا چاہے دو۔,0,0,0,0,0,2
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,3,3,3,4,0,0,جی سر، بہت شکریہ، مگر ابھی اتنا زحمت نہیں ہوگی۔,3,3,3,3,0,1,سر، بہت شکریہ، ابھی صرف تھوڑا سا بارہ میٹر لوٹنا پڑتا ہے,2,2,2,2,0,1,باجی، آپ کو زحمت ہوگی، میں نے بالٹی بھر کر پانی اٹھا لیا ہ�,2,3,3,1,0,1
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,جی چچا، آپ لوگوں کی بہت مہربانی！实际上，正确的回答应该是：جي چچا، غلطی ن,0,0,0,0,2,1,ٹھیک ہے بھائی، آؤ مل کر ایک اور گیم کھیلتے ہیں۔ یہ م,2,2,2,2,0,1,ٹھیک ہے بھائی، ابھی رہتا ہوں پلا پلانیا۔ آپ نے کیا گیم چ,2,1,2,2,0,1
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,3,3,3,4,0,0,سر، اس بارہ شکر، میں نے رکھ لیا ہے۔ اگر آپ نے چاہا ہ,2,2,2,2,0,1,ٹھیک ہے باجی، اگر کبھی اس سے زائد کی ضرورت پڑے گا تو آؤ م,1,1,1,0,1,1,سر، شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل کر لوں,2,2,2,2,0,1
