Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qalb-1.0-8B-Instruct,,Low,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""جی، بس ابھی بنوائیں۔""",0.0625,0.25,0.9375
Qalb-1.0-8B-Instruct,,High,,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,"""جی سر، میں نے پیسے رکھ لیے ہیں۔""",0.3125,0.25,0.6875
Qalb-1.0-8B-Instruct,,High,,یہ رقم رکھ لو۔,آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں، فی الحال اس کی ضرورت نہیں۔,"""جی سر، میں نے یہ رقم رکھ لی ہے۔""",0.0,0.25,1.0
Meta-Llama-3.1-8B-Instruct,,Low,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""جی، چلو چائے بناتی ہوں۔""",0.0625,0.25,0.9375
Meta-Llama-3.1-8B-Instruct,,Medium,,اگر آپ چاہیں تو میں مدد کر دوں۔,آپ کی مہربانی، ابھی تو کام چل رہا ہے، لیکن آپ نے خیال کیا یہی بہت ہے۔,"""کیا ضرورت ہے؟ مجھے بتائیے، میں ضرور مدد کر دوں گا۔""",0.4375,0.25,0.5625
Meta-Llama-3.1-8B-Instruct,,High,,بل مجھے دے دو، میں ادا کر دیتا ہوں۔,ابو، آپ کا خیال اپنی جگہ، لیکن اس بار مجھے موقع دیجیے۔,"""کیا یار، تمہیں پتہ نہیں کہ یہ میرا پیسہ ہے",0.0,0.25,1.0
Qwen2.5-7B-Instruct,,High,,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,"""جی، میں رات یہیں رک جाऊں گی، صبح آرام سے چلے جانے کیل",0.25,0.25,0.75
Qwen2.5-7B-Instruct,,High,,امی، کیا میں اپنی دوست کے گھر جا سکتی ہوں؟,ہاں، مگر زیادہ دیر مت کرنا اور پہنچ کر مجھے بتا دینا۔۔,"""آئے گیا، بہت مبارک ہو۔ میں تیاری کرکے آں گیں۔""",0.0,0.25,1.0
Qwen2.5-7B-Instruct,,High,,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,"""جی دادی، میں لیا گا۔ آپ کی مہربانی کو بہت شکریہ۔""",0.5,0.125,0.5
GPT-4o-mini,,High,,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,"""شکریہ، مگر مجھے آج ہی جانا ہے۔ آپ کی مہمان نوازی کا بہت شکریہ!""",0.75,0.125,0.25
GPT-4o-mini,,High,,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,"""امی، شکریہ! مگر میں واقعی بھر گیا ہوں، آپ فکر نہ کریں۔""",1.0,0.125,0.0
GPT-4o-mini,,High,,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,"""شکریہ امی، مگر آج مجھے کچھ کام ہیں، ان شاء اللہ اگلی بار ضرور آؤں گا۔""",0.75,0.125,0.25
