Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qalb-1.0-8B-Instruct,Apologies for Mistakes,High,Positive,میں نے تمہیں پہلے ہی سمجھایا تھا۔,معذرت ابو، مجھے آپ کی بات مان لینی چاہیے تھی، آئندہ ایسا نہیں ہوگا۔,"""میں جانتا ہوں، لیکن میں اسے یاد نہیں کر سکتا.""

والد:
""تم کو",0.0,1.0,1.0
Qalb-1.0-8B-Instruct,Apologies for Mistakes,Low,Negative,یار، تمہاری وجہ سے مجھے کافی دیر انتظار کرنا پڑا۔,معاف کرنا یار، میری وجہ سے دیر ہوئی، لیکن راستے میں بہت ٹریفک تھی۔,"""مجھے یقین نہیں آ رہا کہ میں تم پر اعتماد کرنے کے لئے تی",0.0,1.0,1.0
Qalb-1.0-8B-Instruct,Apologies for Mistakes,Medium,Negative,سر، آپ نے سب کے سامنے مجھ سے بہت سخت لہجے میں بات کی تھی۔,اگر میری بات سے آپ کو برا لگا ہو تو میں معذرت چاہتا ہوں، میرا مقصد صرف کام کی نشاندہی کرنا تھا۔,"""میں نے جو کچھ کیا وہ صحیح تھا اور تم کو اس کا احساس ہونا چاہئ�",0.0,1.0,1.0
Meta-Llama-3.1-8B-Instruct,Apologies for Mistakes,High,Positive,میں نے تمہیں پہلے ہی سمجھایا تھا۔,معذرت ابو، مجھے آپ کی بات مان لینی چاہیے تھی، آئندہ ایسا نہیں ہوگا۔,"""اب بھی بتائیئے، والد جی، مجھے یاد نہیں آیا کیا کہا گیا تھا۔""",0.0,1.0,1.0
Meta-Llama-3.1-8B-Instruct,Apologies for Mistakes,Low,Negative,یار، تمہاری وجہ سے مجھے کافی دیر انتظار کرنا پڑا۔,معاف کرنا یار، میری وجہ سے دیر ہوئی، لیکن راستے میں بہت ٹریفک تھی۔,"""میں نے تو بتایا تھا کہ میں ایک گھنٹہ بےٹھوں گا لیکن",0.0,1.0,1.0
Meta-Llama-3.1-8B-Instruct,Apologies for Mistakes,Medium,Negative,سر، آپ نے سب کے سامنے مجھ سے بہت سخت لہجے میں بات کی تھی۔,اگر میری بات سے آپ کو برا لگا ہو تو میں معذرت چاہتا ہوں، میرا مقصد صرف کام کی نشاندہی کرنا تھا۔,"""مجھے کیا؟ مجھے تو صرف کام کو درست طریقے سے کرنے کا حکم دیا گیا تھا۔ اگر",0.0,1.0,1.0
Qwen2.5-7B-Instruct,Apologies for Mistakes,High,Neutral,تمہیں بات کرنے کا طریقہ نہیں ہے کہ بڑوں سے کیسے بات کرتے ہیں۔,معاف کیجیے، اگر میری بات سے بے ادبی محسوس ہوئی ہو، آئندہ خیال رکھوں گا۔,میری میسمیں آپ کی طرف سے کچھ مسئلہ ہے، لیکن تمہاری نظر میں م,0.0,1.0,1.0
Qwen2.5-7B-Instruct,Apologies for Mistakes,Medium,Negative,آپ کی اس غلطی کی وجہ سے کام میں تاخیر ہوئی ہے۔,معذرت، آئندہ خیال رکھوں گا۔,میں کافی小心谨慎会说话,0.0,1.0,1.0
Qwen2.5-7B-Instruct,Giving Orders & Commands,High,Negative,یہ کام دوبارہ کرنا پڑے گا۔,جی سر، میں اسے دوبارہ کر دیتا ہوں۔,میری کام کی ضمانت چاہئیں، میں اسے بہت زیادہ تلاش کرتا ہو,0.0,1.0,1.0
GPT-4o-mini,Invitation to a Meal,Medium,Neutral,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,"""بہت شکریہ! میں ضرور آؤں گا۔""",0.3333,0.75,0.6667
GPT-4o-mini,Health Enquiry,High,Positive,بیٹا، اب طبیعت کیسی ہے؟ میں تمہارے بارے میں فکر مند تھا۔,جی ابو، اللہ کا شکر ہے، اب کافی بہتر ہوں، آپ کی فکر کا شکریہ۔,اب میں بہتر محسوس کر رہا ہوں، ابو۔ آپ کی دعاؤں کا اثر ہے۔ شکریہ!,0.5,0.75,0.5
GPT-4o-mini,Health Enquiry,Low,Negative,ابھی بھی ڈرامہ چل رہا ہے یا واقعی طبیعت خراب ہے؟,یار، واقعی طبیعت خراب تھی، ہر چیز کو مذاق مت سمجھا کرو۔,"""یار، واقعی طبیعت کچھ ٹھیک نہیں ہے، ڈرامہ نہیں کر رہا۔ بس آرام کر رہا ہوں۔""",0.0,0.75,1.0
