ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,بہت معذرت چاہتی ہوں، مجھے یہی کافی ہے۔ اس سے,2,2,2,2,0,0,ارے یار، تم اور لے لو، ابھی تازہ ہے۔,2,2,2,2,0,1,شکریہ ڈжئے، ابھی گرم ہے تھوڑی بہت نہیں۔,1,1,1,1,0,0
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,جی، ڈوسٹ، میں آپ کے لیے چلو چائے بنao گا۔,2,2,2,1,0,0,جی، اباری۔ آپ کی مہربانی اپنی جگہ، مگر میں یہی مکمل ہوں۔ اس,1,1,1,1,0,1,جی، تم بناووں۔,2,2,2,2,0,0
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,جی ساسی، ابھی میں لے لوں گی۔,2,3,3,2,0,1,سسر، ابھی میں کافی کھا چکی ہوں، اس لیے مزید روٹی نہیں چا,3,3,3,3,0,1,سر، بیٹا یار، تمہاری میں نے دیجی، یار یار کافی ہے۔,1,2,2,1,0,1
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,3,3,4,4,0,0,سر، میں واقعی آپ کی بہت مہربانی قبول نہیں کر سکتا۔ آپ کی کتابیں مجھ�,2,3,3,2,0,0,جی، ابھی تکملہ کر لو، پھر میرا فکر کام آؤٹ ہو گا۔,2,2,2,1,0,0,سر، آپ کی بہت مہربانی، مگر میں رکھ لوں گا، پڑھ لوں گا، پھ,3,3,3,3,0,1
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,بہت شکریہ! میں سنترے کا میٹھا زیادہ نہیں لے سکتا، آپ کی,2,2,2,2,0,0,شکریہ ڈжئے، آپ کی بہت مہربانی۔,2,2,2,2,0,0,بہت مبارک ہو۔ آج رات تمہاری میزبانی بہت مقبولیت رہی۔,2,2,2,2,0,0
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,3,3,3,4,0,0,ارے، اگر آپ کی بہت ہو تو بھول گئے، میری بہت شکریہ۔ آپ ک,1,1,1,1,0,0,جی، اگر آپ سوچتے ہیں کہ میںی سبق میں کسی حصے میں مشکلات محسوس کر ر,4,4,4,4,0,0,سر، آپ کی بہت مہربانی! آج تک سبق مکمل ہو گیا ہے؟ اگر ہاں,2,2,2,2,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,جی، میں رات یہیں رہوں گا۔ آپ کی مہربانی قبول، اگلی صبح می�,2,2,2,2,0,0,خالہ جان، تم آئندہ ضرور رات رہ کر چلوں گا، آج تھوڑی جلدی چلا ج,3,3,3,3,0,0,جی ٹیئی، تمہاری ڈھونڈتے ہیں۔ رہنمائی ڈال لو، آئندہ بھ,2,2,2,2,0,0
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,3,3,3,4,0,0,ارے یار، آپ زحمت نہ کریں، میں سنبھال لوں گا، اگر ضرورت ہو تو آگ,3,3,3,3,0,0,بہت شکریہ! ابھی کوشش نہ کریں، میرے لیے کام کر لوں گا۔,2,2,2,2,0,0,بہت شکریہ یار، آپ کی بہت مہربانی۔ آئندہ ضرورت پڑی تو ضرور آپ س,2,3,3,2,0,0
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,بس یار، آئے، میں بھی اپنی مہربانی کر لوں گا۔,0,0,0,0,0,0,"شکریہ یار، تماری تجویز قبول۔ چلو، آگے میں سنبھال لوں گا۔

سر،",2,2,2,2,0,0,بہت مبارک ہو۔ آج تک تم جیت گئے، اب میں جیتتا ہوں گا۔,2,2,2,2,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,3,3,3,4,0,0,مامو جان، آپ کی بہت مہربانی، مگر آپ زحمت نہ کریں۔ میں سنبھال لوں,2,2,2,2,0,0,آنے کے لیے شکریہ! تمہاری رقم میرے لیے بھی اہم ہے۔,1,1,1,0,0,0,مامو جان، میں سارا پیسہ آپ پر یقین دیلتا ہوں، واقعی ضرورت پڑی تو مدد کر,2,2,2,2,0,0
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4,4,4,4,0,0,بہت شکریہ! یہی یOUGH. آپ کی مہربانی اپنی جگہ، مگر معذرت چاہتی,1,1,1,1,0,0,جی، اگر ڈونرس کی ضرورت ہو تو میں بھی اپنی خدمات پیش کروں گا,2,2,2,2,0,0,بہت مبارک ہو۔ آپ کی رہنمائی، میزبان کی پیش کش اپنی جگہ، میرے لیے,2,2,2,2,0,0
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3,4,4,4,0,0,بہت شکریہ یار، تمہاری بہت مہربانی۔,2,2,2,1,0,0,شکریہ یار، تمہاری بہت مہربانی۔ آئندہ وقت دیکھیے، شاید میں ت,1,2,2,1,0,0,بہت مبارک ہو۔ آج رات جم کی فکر نہ کریں، آئندہ کوشش کیجیے گا,2,2,2,2,0,0
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,جی امی، ابھی کھل گaya ہوں گی، تھوڑی دیر میں کھا لوں گا�,2,2,2,2,0,1,جی چاہनی، بس تھوڑا۔ آپ کی بہت مہربانی، میں ضرور کھا لو,1,1,1,1,0,0,جی امی، اب یہی enough ہے، میں زیادہ نہیں کھاؤں گا۔ آپ کی,3,3,3,3,0,1
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4,4,4,4,0,0,جی، میزبان صاحب، آج رات تک پیتا ہوں گا، اگر ضرورت پڑی تو ڈال لوں گ,2,1,2,1,0,0,بس، یار! چلو، من دوبارہ ڈال لوں گا۔,1,1,1,1,0,0,جی، ابھی یہی کافی ہے۔ آپ کی مہربانی اپنی جگہ، مگر آئندہ می,2,2,2,2,0,0
