ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,"""شکریہ، لیکن مجھے ابھی کچھ اور کھلانے کی ضرورت نہیں ہے�",,,,,,,"""شکر ہوگا، لیکن میں ابھی کھایا ہوا ہوں، کھانے ک�",,,,,,,"""میزبان جان، شکریہ لیکن اس کی ضرورت نہیں ہے۔ اپنا سالن آ",,,,,,,"""بہت شکریہ، مگر میں نے پہلے ہی کافی کھا لیا ہے۔""",,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,"""شکریہ، لیکن ابھی تو کافی کافی ہے، میں خود سنبھال لیتا ہوں�",,,,,,,"""جی، چائے بنوا دوں گا، لیکن ابھی کچھ دیر ہے، پھر بناؤں گ",,,,,,,"""نہیں یار، شکریہ! مجھے کافی ہے، تمہاری چائے ہمیشہ بہترین ہوتی ہے۔""",,,,,,,"""ٹھیک ہے، میں آپ کی طلبہ کر رہا ہوں۔""",,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,"""شکریہ اماں، میں نے ابھی کافی کھا لی ہے، مزید نہیں چاہیے۔""",,,,,,,"""ساسی، بہت شکریہ، لیکن مجھے ابھی کچھ اور کھانا نہیں چاہ",,,,,,,"""جی ساسی، بہت شکریہ، لیکن ابھی کافی ہے۔""",,,,,,,"""بات کی جانے سے کافی ہے، میں نے اپنا تقاضہ معلوم کیا ہے۔""",,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,"""شکر ہوگا، لیکن ابھی اسے ضرور نہیں لینی چاہیے، میں اپ",,,,,,,"""بزرگ صاحب، بہت شکریہ، لیکن مجھے ابھی کتاب کی ضرورت نہیں ہے�",,,,,,,"""بہت شکریہ، لیکن میں اسے آپ کے پاس ہی رہنے دوں گا، آپ کی یادگار ہے۔""",,,,,,,"""ٹھیک ہے بزرگ جان، مگر اپنی کتاب کو بچا رہو، میں اسے کام",,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,"""شکر ہوگا، میٹھا لے لیں گا، لیکن ابھی کافی کافی ہوگی۔""",,,,,,,"""شکریہ میزبان، لیکن ابھی کافی کھایا ہے، مزید میٹھا نہیں کھ",,,,,,,"""بہت شکریہ، مگر میں نے پہلے ہی کافی کھا لی ہے۔""",,,,,,,"""میزبان جان، بہت شکریہ، لیکن میں اسے نہیں پیں گا۔""",,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,"""جی سر، الحمدللہ میں بہت بہتر ہو گیا، لیکن امید کرتا ہو",,,,,,,"""سر، آپ کا بہت شکریہ، مگر مجھے سب سمجھ آ گیا ہے۔""",,,,,,,"""جی سر، آپ کی بہت مہربانی ہے، لیکن میں سمجھ گیا ہوں، ابھ",,,,,,,"""جی سر، بہت شکریہ، لیکن ابھی سبق ختم ہونا باقی ہے، میں خود سنب",,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""خالہ، آپ کی پیشکش کا بہت شکریہ، مگر مجھے آج ہی واپس جانا ہے۔""",,,,,,,"""خالہ جان، آپ کی دعوت کا بہت شکریہ، لیکن میں جلدی چلے جانا چاہتا",,,,,,,"""خالہ جان، بہت شکریہ، لیکن ابھی جلدی سے واپس جانا ہے۔""",,,,,,,"""ٹھیک ہے خالہ، بہت شکریہ، لیکن میں اپنے گھر رہ گ",,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,"""ٹھیک ہے، بہت شکریہ، لیکن میں نے اسی وقت کچھ لیں گے",,,,,,,"""بہت شکریہ، مگر میں خود ہی جا رہا ہوں، آپ کو زحمت دینے کی ضرورت نہیں ہے۔""",,,,,,,"""شکر ہوگا، لیکن ابھی میں ٹھیک ہوں گا، آپ کو زحمت نہ کری",,,,,,,"""شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل کر لوں گ",,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,"""کیوں نہیں! یہ تو بہت مزے کا ہوگا، چلیں شروع کرتے ہیں!""",,,,,,,"""جی، یہ بہت اچھا ہے۔""",,,,,,,"""جی یار، یہ بہت اچھا خیال ہے، لیکن ابھی ایک گھنٹہ ہ",,,,,,,"""ٹھیک ہے یار، کہاں سے شروع کریں؟""",,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,"""مамوں جان، بہت شکریہ، لیکن اب تک کوئی ضرورت نہیں ہے",,,,,,,"""ماموں، آپ کی محبت کا بہت شکریہ، مگر مجھے اس کی ضرورت نہیں ہے۔""",,,,,,,"""شکر ہوگا، ماموں جان، آپ کی بہت مہربانی ہے۔""",,,,,,,"""ماموں جان، بہت شکریہ، لیکن ابھی اتنا پیسہ نہیں ہے، آپ",,,,,,
