ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,بہت شکریہ، آپ کی بہت مہربانی، مگر آپ کو زحمت دینے کی ضرور,,,,,,,ارے یہی کافی ہے، مزید نہیں پینا اب اس وقت۔ تم نے اچھی طرح,,,,,,,بہت شکریہ یار، اچھا لگا، پھر بھی بھرپور وقت دیجیے۔,,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,یار، آج تو کافی دیر گئی ہے، لیکن ایک اور گیم کھیلتے ہی,,,,,,,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور کھیلیں گے۔ اب,,,,,,,یار، آج تو تمہاری مار کچھ زیادہ ہے، لیکن کوشش کروں گا۔,,,,,,
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,,,,,,,آپ کی بہت مہربانی، مگر اب واقعی بہت چھوٹا سیکنڈ ہے،,,,,,,,آپ کی بہت مہربانی، میزبان کی نوازش ہے، لیکن اب مزید گنجائش نہی�,,,,,,,بہت شکریہ، آپ کی بہت مہربانی، مگر اب مزید نہیں پئیں گا،,,,,,,
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,چچا جان، آپ کی بہت مہربانی، لیکن آپ کو زحمت دینے کی ضرورت ن,,,,,,,چچا جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہ�,,,,,,,جی چچا جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہ,,,,,,
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,بہت شکریہ یار، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش,,,,,,,یار، ابھی تھوڑی مصروفیت ہے، پھر کسی دن ضرور جاؤں گا۔,,,,,,,بہت شکریہ، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ س,,,,,,
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,بہت شکریہ، ان شاء اللہ ضرور آؤں گا۔,,,,,,,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا,,,,,,,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ وقت ملتے ہوئے ضرور آؤں,,,,,,
24,استاد,طالب علم,Medium,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,,,,,,,بہت شکریہ سر، مگر آج میرا جگہ نہیں ہو پائے گا، لیکن,,,,,,,سر، بہت شکریہ، یہ آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش ک,,,,,,,سر، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آن�,,,,,,
35,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی محبت سر آنکھوں پر، مگر آپ کی نیک نیتی ہی میرے لیے کافی ہے۔,,,,,,,ابا جان، اس کی کیا ضرورت تھی، لیکن آپ نے اتنا خیال رکھا، می,,,,,,,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے، برا,,,,,,,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے، اتنا,,,,,,
40,سسر,داماد,High,آپ کے سسرملاقات کے اختتام پر آپ کو کچھ رقم دینا چاہتے ہیں۔,یہ کچھ رقم رکھ لیجیے، بعد میں کام آئے گی,ابا جان، فی الحال ضرورت نہیں، آپ کا خیال ہی میرے لیے کافی ہے۔,,,,,,,بہت مہربانی، لیکن اس کی واقعی ضرورت نہیں، براہِ کرم واپس کر دیجیے�,,,,,,,آپ کو اس کی ضرورت نہیں، میں خود انتظام کر لوں گا۔,,,,,,,آپ کی مہربانی، لیکن فی الحال مجھے یہ رقم واپس کرنے کی ضرورت ہے۔,,,,,,
41,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی نیک نیتی ہی میرے لیے کافی ہے، اتنا تکلف نہ کرتے۔,,,,,,,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے، برا,,,,,,,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے، اتنا,,,,,,,ابا جان، اس کی کیا ضرورت تھی، لیکن آپ نے اتنا خیال رکھا، می,,,,,,
44,استاد,شاگرد,High,آپ کے استاد آپ کی کارکردگی سے خوش ہو کر آپ کو انعام دینا چاہتے ہیں۔,یہ خصوصی انعام تمہارے لیے ہے۔,سر، آپ کی حوصلہ افزائی ہی میرے لیے بڑی بات ہے۔,,,,,,,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے بڑی بات ہے۔,,,,,,,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے سب سے بڑا اعزاز,,,,,,,سر، بہت شکریہ، مگر آپ کو اس کی تکلیف نہیں کرنی چاہیے تھی۔,,,,,,
45,بزرگ خاتون,نوجوان,High,آپ کو ایک بزرگ خاتون اپنے ہاتھ سے بنا ہوا سویٹردینا چاہتی ہیں۔,یہ سویٹر تمہارے لیے بنایا تھا، رکھ لو۔,دادی جان، آپ نے اپنے ہاتھ سے بنایا، یہی میرے لیے سب سے بڑا تحفہ ہے، اتنی زحمت نہ کرتیں۔,,,,,,,آپی، آپ کی محبت ہی میرے لیے کافی ہے، فی الحال تو رکھ لیتی ہو�,,,,,,,آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا,,,,,,,امی جان، آپ کی محبت اپنی جگہ، لیکن آئندہ اس کی ضرورت نہیں,,,,,,
48,ساس,بہو,High,آپ کی ساس گھر میں ملاقات کے دوران آپ کو کپڑوں کا ایک جوڑا تحفے میں دیتی ہیں۔,یہ کپڑے تمہارے لیے لائی ہوں۔,امی جان، آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,,,,,,,امی جان، آپ نے بہت محبت سے دیا ہے، آپ کا خلوص ہی میرے لی�,,,,,,,امی جان، آپ نے بہت محبت سے دیا ہے، آپ کا خلوص ہی میرے لیے ک,,,,,,,جی امی جان، بہت شکریہ، اچھا لگا، تم نے میرے لیے سوچا، یہ,,,,,,
49,ماموں,بھانجا,High,آپ کے ماموں ملاقات کے دوران آپ کو ایک تحفہ دیتے ہیں۔,یہ تمہارے لیے تحفہ ہے۔,ماموں جان، آپ نے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,,,,,,,ماموں جان، آپ نے بہت محبت سے دیا ہے، آپ کا خلوص ہے۔,,,,,,,ماموں جان، اس کی کیا ضرورت تھی؟ آپ نے بہت محبت سے دیا ہے، میں,,,,,,,ماموں جان، آپ نے بہت محبت سے دیا ہے، آپ کا خلوص ہی میرے لیے,,,,,,
50,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی ایک خوشی کے موقع پر آپ کے گھر آئے ہیں۔ رخصت ہونے سے پہلے وہ آپ کو ایک تحفہ دیتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کا آنا ہی کافی تھا، لیکن پھر بھی بہت شکریہ۔,,,,,,,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔ آپ,,,,,,,ابا جان، آپ نے بہت خوشی کا شکایت ہی مکمل کیا ہے، اس کی کی,,,,,,,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے، ان ش,,,,,,
51,استاد,طالب علم,Medium,آپ کے استاد آپ کی تعلیمی کارکردگی سے خوش ہو کر آپ کو ایک کتاب تحفے میں دیتے ہیں۔,یہ کتاب رکھ لو۔,سر، یہ میرے لیے اعزاز ہے، بہت شکریہ۔,,,,,,,سر، بہت شکریہ، آپ نے مجھے اس قابل سمجھا، یہ میرے لیے بہت,,,,,,,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے بڑی بات ہے۔,,,,,,,سر، بہت شکریہ، یہ میرے لیے بہت حوصلہ افزا بات ہے۔ می,,,,,,
53,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو محبت میں کوئی چیز یا تحفہ پیش کرتے ہیں۔,بیٹا، یہ میری طرف سے ایک چھوٹا سا تحفہ ہے، رکھ لو۔,چچا جان، آپ نے میرے لیے اتنا سوچا، یہ میرے لیے بہت معنی رکھتا ہے۔,,,,,,,چچا جان، اس کی کیا ضرورت تھی، لیکن آپ نے اتنا خیال رکھا، میں شکر گزار ہ,,,,,,,جی چچا جان، آپ نے بہت محبت سے دیا ہے، آپ کا خلوص ہی میرے,,,,,,,چچا جان، آپ نے بہت محبت سے دیا ہے، آپ کا خلوص ہی میرے,,,,,,
54,دوست,دوست,Low,آپ کا دوست ملاقات کے دوران آپ کو ایک تحفہ دیتا ہے۔,یہ تمہارے لیے خاص تحفہ ہے۔,یار، تم نے یاد رکھا، یہ میرے لیے واقعی خاص بات ہے۔,,,,,,,بہت شکریہ یار، اتنی زحمت کرنے کی ضرورتہیں تھی ۔ تم نے اچ,,,,,,,بہت شکریہ! اس کی کیا ضرورت تھی، لیکن اس کی جگہ تم نے فک,,,,,,,بہت شکریہ یار، اتنا تکلف کیوں کیا؟,,,,,,
55,خالہ,بھانجا,High,آپ کی خالہ ملاقات کے دوران آپ کو ایک تحفہ دیتی ہیں۔,یہ تمہارے لیے لائی ہوں۔,خالہ جان، آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔ اس شفقت کے لیے بہت شکریہ۔,,,,,,,خالہ جان، اس کی آپ تک پہنچ کر بہت خوشی ہوئی، آپ نے اتنا خیال رکھا,,,,,,,خالہ جان، آپ نے بہت محبت سے دیا ہے، آپ کا خلوص ہی میرے لیے,,,,,,,خالہ جان، آپ نے بہت محبت سے دیا ہے، آپ کا خلوص ہی میر�,,,,,,
