ID,Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response,Qwen_Response,LLaMA_Response,Qalb_Response
1,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Gratitude + indirect refusal,Positive,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,سر، اس سالن کو بھول لوں گا، ابھی ڈیویشن پر ہی ہوں۔,بہت شکریہ۔ آج رات کی سب کی رہنمائی آپ کی ہے۔,بہت شکریہ! آپ کی مہربانی اپنی جگہ، مگر مجھے یہی کافی ہے
2,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Polite refusal,Negative,اور چائے بنوا دوں؟,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,بس، آئندہ! آپ کی بہت مہربانی، یار۔,جی، پلیز بناؤ۔,جی، اباری۔ چلو، چائے بنواتے ہیں۔ (جی، اباری۔ چلو، چائے بن
3,Urdu,Refusing Offers,ساس,بہو,High,Formal,Deferential refusal,Positive,بیٹا، اور روٹی لے لو۔,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,سر، م اس کی بہت شکریہ، ابھی یہی چاہتا تھا۔,جی ساسی، اب پہلے میں لے لوں گا۔,ساسی، معذرت چاہتی ہوں، میں اب مزید نہیں کھاؤں گی۔ آپ
4,Urdu,Refusing Offers,بزرگ,نوجوان,High,Formal,Respectful hesitation,Positive,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,بہت شکریہ! تمہاری بہت مہربانی۔ آئندہ کام کر لیتے ہیں۔,بہت شکرہ، اس سب کی ضرورت نہیں، بس تم رکھ لو۔,سر، آپ کی بہت مہربانی، میں سارا موقع لیجیے گا۔ آپ کی یہی کتاب مجھے ب
5,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Face-saving refusal,Negative,اور میٹھا لے لیجیے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,بہت شکریہ! آپ کی بہت مہربانی۔,بہت شکریہ۔,بہت شکریہ، یہ بہت مہربانی ہے۔ آپ کی مہربانی اپنی جگ�
6,Urdu,Refusing Offers,استاد,طالب علم,Medium,Formal,Careful refusal,Neutral,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,آپ کی بہت مہربانی! آگے میں سارا کمیڈیا کا استعمال کر لو، جبکہ,جی، اگر آپ میں حسرت ہو تو میں مزید وضاحت کر سکتا ہوں۔,سر، آپ کی بہت مہربانی، میں ضرورت پڑی تو آپ سے مدد لے لوں گا۔
7,Urdu,Refusing Offers,خالہ,بھانجا,High,Formal,Respectful refusal,Negative,رات یہیں رک جاؤ، صبح چلے جانا۔,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,بہت شکریہ ٹھیک ہوں، میری بہن۔,جی، تمہاری بہت مہربانی۔ آج رات رھ جاؤں گا، تم فکر نہ کریں�,خالہ جان، آپ کی بہت مہربانی، مگر میں سارا دن بس ایک رات رہنے پر ی�
8,Urdu,Refusing Offers,پڑوسی,پڑوسی,Medium,Formal,Indirect refusal,Neutral,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,بہت شکریہ! تمہاری بہت مہربانی، مگر ابھی معاملہ کرنے کा وقت نہ,بہت مہربانی، آپ زحمت نہ کریں۔ میں فکر کر لوں گا، اگر ضرورت پڑی,بہت شکریہ یار، آپ کی بہت مہربانی۔ اگر ضرورت پڑی تو میں ضرور استعمال ک
9,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Light refusal,Neutral,چل یار، ایک اور گیم کھیل لیتے ہیں۔,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,بہت مبارک ہو! آئندہ کا مدد چاہتے ہیں۔,بہت مبارک ہو۔ پہلے کھیل تھا بہت ممتاز، آج کا بھی ضر,بہت مبارک ہو یار، تمہاری تجویز سن کر بہت خوش ہوں۔ چلو، آگ
10,Urdu,Refusing Offers,ماموں,بھانجی,High,Formal,Deference,Negative,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,جی، تمہاری ڈیٹا بھی۔ آپ فکر نہ کریں، اگر کہ پڑی تو بھول,جی دادی، تمہاری بہت مہربانی۔,ماموں، آپ کی بہت مہربانی، مگر معذرت چاہتی ہوں۔ میں سارا
