ID,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,"Now that you have taken the salt, it is still warm. (Urdu)",0,0,0,0,0,0,"""کیا کروں؟ وہ تو پانی میں ڈوب جائیں گے۔""",0,0,0,0,4,2,اس وقت کافی دماغت سے پلے جا رہے ہیں۔,0,0,0,0,4,0,"""شکریہ، بہت مہربانی۔""",2,2,2,2,0,0
2,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,I will make tea.,0,0,0,0,0,0,"""جی، بہت اچھا، میں چائے بناؤں!""",0,0,0,0,4,2,"""جی، ضرور، چائے بنا دیں۔""",0,0,0,0,4,0,آپ کیا میں نے آپ کی تعاون سے چایہ بنانے کے لئے تمام مقامی مطابق ف,0,0,0,0,4,0
3,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""جی، اب لے لیتا ہوں۔""",0,0,0,0,4,0,"Son, bring some bread too.",0,0,0,0,2,2,"""ابھی کبھی نہیں، والدہ جی، مجھے پانی پی کر آوں گا.""",0,0,0,0,2,0,اب تیر کی روٹی لے کر آئے گے۔,0,0,0,0,4,0
4,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,3,3,4,4,0,0,"""جی، میں اسے اپنی پوری زندگی کے لیے محفوظ کر دوں گا۔ یہ ایک بہت",1,1,1,0,4,0,"""Keep this book with you; it will come in handy.""",0,0,0,0,2,2,"""شکریہ! میں اسے ضرور رکھوں گا۔""",1,1,1,0,4,0,ایسی کتاب بنائیں جس نے توانائی کا استعمال کرتی ہوئی اپنے مالک کو مدد,0,0,0,0,4,0
5,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,"""کیا آپ کا مطلب ہے؟""",0,0,0,0,4,0,I have already taken the sweets.,0,0,0,0,2,2,"""شکریہ، بہت مہربانی!""",1,1,1,1,2,0,میں آپ کیلئے چاکنے والی سمندر کرکت رہوںگے۔,0,0,0,0,4,0
6,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,3,3,3,4,0,0,میری خدمतوں میں کوئی مشکلیت ہو جانے پر آپ کو اہمیت دینا,0,0,0,0,0,0,"""جی ہاں، براہ کرم مزید وضاحت کریں۔""",1,1,1,1,1,0,یقینا، اگر آپ کو کچھ سمجھ نہ آئے تو مجھے خوشی ہوگی۔ میں اس مسئ,0,0,0,0,4,0,I can provide more details if there is difficulty in any part.,0,0,0,0,2,2
7,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""ٹھیک ہے، میں یہاں رک جاؤں گا۔""",0,0,0,0,4,0,"""نہیں، میں نے اپنی زندگی کا مقصد پورا کرنا ہے۔""",0,0,0,0,4,0,"""Stay here tonight, leave in the morning.""",0,0,0,0,2,2,ایک دن کے بعد ملتے جاو۔,0,0,0,0,4,0
8,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,3,3,3,4,0,0,میں نے ایک کٹا پتھر بھی لینے جانے کی تیاری کی۔,0,0,0,0,4,0,"""جی، یہ بہت مہربانی ہوگی۔ شکریہ!""",1,1,1,0,4,0,"""نہیں، نہیں، بس تھوڑا سا ٹائم لینے دو۔ مجھے خود ج",0,0,0,0,2,2,"(If you wish, I can bring something from the market for you.)
'''
# generate a natural Urdu response
import random

# list of possible responses
responses = [""میں ن�",0,0,0,0,2,2
9,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,"""ہاں، کیوں نہیں! کون سا گیم کھیلیں؟""",2,2,2,2,0,0,"Let's go, let's play another game.",0,0,0,0,2,2,"""آپ کیا کہتے ہیں؟ کیا ہمارا پہلا گیم تھا؟""",1,1,1,1,0,0,چلیں، میرا بھی نیا ٹریک پڑھا رہا تھا۔,0,0,0,0,4,0
10,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,3,3,3,4,0,0,یہ رقم محفوظ رہیں، کسی وقت کمپیوٹر کا فاتح بن جائیںگے۔,0,0,0,0,2,0,"""شکریہ، یہ بہت مہربانی ہے۔""",1,1,1,1,2,0,"""نہیں، ابھی تو میرا کچھ نہیں ہے جو میں اپنی ضروریات کو پ",0,0,0,0,4,2,"'
# Generate a natural English response
import random

responses = ['Keep this money too, you never know when it might come in handy.']

# Select a random response
random_response = random",0,0,0,0,2,2
