Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response
Urdu,Refusing Offers,محلے کے بزرگ,پڑوسی,High,Formal,Respectful refusal,Neutral,بیٹا آؤ، میں تمہیں چھوڑ دیتا ہوں۔,محلے کے بزرگ آپ کو بازار جاتے ہوئے اپنی گاڑی میں ساتھ چلنے کی پیشکش کرتے ہیں، لیکن آپ نے پہلے ہی دوسری سواری کا انتظام کر لیا ہے۔,آپ کو زحمت ہوگی، میں نے ٹیکسی بک کر لی ہے، وہ بس آنے ہی والی ہے۔
Urdu,Refusing Offers,پروجیکٹ کوآرڈینیٹر,ملازم,Medium,Formal,Grateful refusal,Neutral,اگر تمہاری رپورٹ مکمل نہیں ہوئی تو میں تمہاری مدد کر دیتا ہوں۔,دفتر میں پروجیکٹ کوآرڈینیٹر آپ کے حصے کی رپورٹ خود مکمل کرنے کی پیشکش کرتے ہیں، لیکن آپ رپورٹ تقریباً مکمل کر چکے ہیں اور اسے خود جمع کروانا چاہتے ہیں۔,سر، میری رپورٹ مکمل ہونے والی ہے۔ آپ کی مدد کا بہت شکریہ۔
Urdu,Refusing Offers,بڑے بھائی کا دوست,چھوٹا بھائی,Low,Informal,Polite refusal,Neutral,اگر کہو تو میں تمہیں گھر چھوڑ دیتا ہوں۔,آپ کے بڑے بھائی کا دوست آپ کو موٹر سائیکل پر گھر چھوڑنے کی پیشکش کرتا ہے، لیکن آپ نے پہلے ہی اپنے دوست کے ساتھ واپس جانے کا پروگرام بنا لیا ہے۔,بھائی، میں اپنے دوست کے ساتھ چلا جاؤں گا، آپ فکر نہ کریں۔
Urdu,Invitation to a Meal,محلے کی آنٹی,پڑوس کی لڑکی,High,Formal,Apologetic refusal,Negative,بیٹا، آج شام کھانے پر ضرور آنا۔,محلے کی آنٹی شام کو اپنے گھر کھانے کی دعوت دیتی ہیں۔ آپ کی پہلے سے ایک خاندانی مصروفیت ہے۔,آنٹی، معذرت چاہتی ہوں، میں مصروفیت کی وجہ سے نہیں آ سکوں گی۔
Urdu,Invitation to a Meal,افسر,ملازم,Medium,Formal,Professional refusal,Negative,آج دوپہر کے کھانے کی دعوت میری طرف سے ہے۔,دفتر میں ایک اہم منصوبہ مکمل ہونے پر آپ کے افسر پوری ٹیم کو دوپہر کے کھانے کی دعوت دیتے ہیں، لیکن آپ کی اسی وقت ایک پہلے سے طے شدہ ملاقات ہے۔,دعوت کا بہت شکریہ، مگر آج میری ایک اہم ملاقات ہے جسے میں چھوڑ نہیں سکتا۔
Urdu,Invitation to a Meal,ماموں,بھانجا,Low,Informal,Tentative acceptance,Positive,آج دوپہر کا کھانا ہماری طرف کر لو۔,آپ کے ماموں آپ کو اپنے گھر دوپہر کے کھانے کی دعوت دیتے ہیں۔,جی ماموں، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔
Urdu,Declining Gifts,سسر,داماد,High,Formal,Deferential refusal,Neutral,بیٹا، میں یہ گھڑی تمہیں دینا چاہتا ہوں۔,عید کی ملاقات پر آپ کے سسر آپ کو ایک قیمتی گھڑی بطور تحفہ دینا چاہتے ہیں۔,ابّا جان، آپ کی دعائیں ہی میرے لیے کافی ہیں، مجھے اس کے علاوہ کچھ نہیں چاہیے۔
Urdu,Declining Gifts,سینئر ساتھی,جونیئر ساتھی,Medium,Formal,Deferential refusal,Neutral,اس کامیابی کے موقع پر میری طرف سے تمہارے لیے ایک تحفہ بنتا ہے۔,کامیاب منصوبہ مکمل ہونے پر آپ کے سینئر ساتھی خوشی کے اظہار کے طور پر آپ کو ایک قیمتی تحفہ دینا چاہتے ہیں۔,سر، اس سب کی ضرورت نہیں، بس آپ کی رہنمائی ہی میرے لیے کافی ہے۔
Urdu,Declining Gifts,بڑی بہن,چھوٹی بہن,Low,Informal,Soft decline,Positive,میں یہ تمہارے لیے خرید رہی ہوں۔,آپ کی بڑی بہن خریداری کے دوران آپ کے لیے ایک مہنگا لباس خریدنے پر اصرار کرتی ہیں۔,باجی، شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔
Urdu,Receiving Gifts,دادی,پوتی,High,Formal,Modest gratitude,Positive,بیٹا، میں یہ جوڑا تمہارے لیے لائی ہوں۔,عید کی ملاقات پر آپ کی دادی محبت سے آپ کو ایک خوبصورت جوڑا بطور تحفہ دیتی ہیں۔,دادی جان، یہ بہت خوبصورت ہے، مگر میرے لیے آپ کی دعائیں ہی سب سے قیمتی ہیں۔
Urdu,Receiving Gifts,سینئر ساتھی,جونیئر ساتھی,Medium,Formal,Humble gratitude,Positive,یہ لو، یہ تمہاری اچھی کارکردگی پر میری طرف سے ایک تحفہ ہے۔,کامیاب منصوبہ مکمل ہونے پر آپ کے سینئر ساتھی اپنی خوشی کے اظہار کے طور پر آپ کو ایک یادگاری تحفہ دیتے ہیں۔,سر، بہت شکریہ، مگر آپ کو اس کی تکلیف نہیں کرنی چاہیے تھی۔ یہ کامیابی تو ہم دونوں کی مشترکہ محنت کا نتیجہ ہے۔
Urdu,Receiving Gifts,قریبی دوست,قریبی دوست,Low,Informal,Humble gratitude,Positive,یہ میری طرف سے تمہارے لیے سالگرہ کا تحفہ ہے۔,آپ کی سالگرہ پر آپ کا قریبی دوست آپ کے لیے ایک تحفہ لے کر آیا ہے۔,ارے یار، تم آ گئے، میرے لیے یہی یہی کافی تھا۔
Urdu,Offering Help,پھوپھی,بھتیجی,High,Formal,Respectful refusal,Neutral,لاؤ بیٹا، میں تمہاری کچھ مدد کر دیتی ہوں۔,عید کی تیاریوں میں مصروف آپ مختلف کام ایک ساتھ سنبھال رہی ہے۔ اس بوجھ  کو کم کرنے کے لیےآپ کی پھوپھو مدد کرنا چاہتی ہیں۔,پھوپھو جان، میں سارا کام سنبھال لوں گی، آپ بس آرام کریں۔
Urdu,Offering Help,ٹیم لیڈر,ٹیم ممبر,Medium,Formal,Polite decline,Neutral,گر تم چاہو تو میں تمہاری مدد کر دوں، اس سے تم پر بوجھ بھی نہیں پڑے گا۔,دفتر میں ٹیم لیڈر دیکھتے ہیں کہ آپ ایک اہم رپورٹ مقررہ وقت پر مکمل کرنے کی کوشش کر رہا ہے اور کام کے دباؤ میں ہے۔ آپ کی مدد کرنا چاہتے ہیں۔,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل کر لوں گا
Urdu,Offering Help,کزن,کزن,Low,Informal,Grateful acknowledgment,Positive,آؤ، ہم دونوں مل کر یہ کام کر لیتے ہیں۔,شادی کی تقریب کی تیاریوں کے دوران آپ ایک ساتھ کئی ذمہ داریاں نبھا رہے ہیں۔ آپ کا کام آسان کرنے کے لیے آپ کا کزن آپ کی مدد کرنا چاہتا ہے۔,یار، بس کام مکمل ہو گیا، تمہارا بہت شکریہ۔
Urdu,Paying for a Meal,ماموں,بھانجا,High,Formal,Respectful reciprocity,Positive,آج کے کھانے کا بل میں ہی ادا کروں گا۔,آپ اپنے ماموں کے ساتھ دوپہر کا کھانا کھا رہے ہیں۔ کھانا ختم ہونے کے بعد آپ کے ماموں چاہتے ہیں کہ بل وہی ادا کریں۔,ماموں جان، آپ کی محبت کا بے حد شکریہ، مگر آج کا کھانا میری طرف سے رہنے دیجیے۔
Urdu,Paying for a Meal,سینئر ساتھی,جونیئر ساتھی,Medium,Formal,Reciprocal insistence,Positive,کامیابی کی خوشی میں آج کا کھانا میری طرف سے ہے۔,کامیاب منصوبہ مکمل ہونے پر آپ اپنے سینئر ساتھی کے ساتھ کھانا کھانے آئے ہیں۔ کھانے کے بعد آپ کے سینئر چاہتے ہیں کہ اس بار بل وہی ادا کریں۔,سر، آپ کی مہربانی اپنی جگہ، مگر آج مجھے یہ موقع دیجیے۔ آج کی کامیابی کی خوشی میں کھانے کا بل میں ہی ادا کروں گا۔
Urdu,Paying for a Meal,قریبی دوست,قریبی دوست,Low,Informal,Reciprocal offer,Positive,یار، آج کی کافی میری طرف سے ہے۔,آپ اپنے قریبی دوست کے ساتھ کافی پینے آئے ہیں۔ بل آنے پر آپ کا قریبی دوست اصرار کرتا ہے کہ آج کی ادائیگی وہ کرے گا۔,یار، اس بار میری طرف سے رہنے دو، پھر کبھی تم پلا دینا۔
Urdu,Respect for Elders,دادا,پوتا,High,Formal,Deferential reassurance,Positive,بیٹا، سامان مجھے پکڑا دو، تم تھک گئے ہوگے۔,آپ بھاری سامان اٹھانے کی کوشش کر رہے ہیں۔ آپ کے دادا چاہتے ہیں کہ آپ آرام کریں اور وہ خود سامان اٹھا لیں۔,دادا جان، میں بالکل ٹھیک ہوں، آپ فکر نہ کریں۔ یہ سامان میں خود ہی اٹھا لوں گا۔
Urdu,Respect for Elders,سینئر پروفیسر,لیکچرار,Medium,Formal,Respectful compliance,Positive,آپ کافی دیر سے کام کر رہے ہیں، کچھ دیر آرام کر لیجیے، باقی کام بعد میں ہو جائے گا۔,آپ کافی دیر سے مسلسل کام میں مصروف ہیں۔ آپ کے شعبے کے سینئر پروفیسر چاہتے ہیں کہ آپ کچھ دیر آرام کر لیں اور کام بعد میں جاری رکھیں۔,بہت شکریہ سر، بس یہ کام مکمل کر لوں، پھر کچھ دیر آرام کر لیتا ہوں۔
Urdu,Respect for Elders,قریبی دوست,قریبی دوست,Low,Informal,Reciprocal cooperation,Positive,یار، بس اب کافی ہو گیا، کچھ دیر آرام کر لے۔ باقی سامان میں اٹھا لیتا ہوں۔,آپ اپنے قریبی دوست کے ساتھ سفر کر رہے ہیں اور کافی دیر سے سامان اٹھائے ہوئے ہیں۔ آپ کا دوست چاہتا ہے کہ آپ کچھ دیر آرام کریں اور باقی سامان وہ خود اٹھا لے۔,شکریہ یار، تمہاری بہت مہربانی۔ چلو، تھوڑی دیر تم اٹھا لو، پھر آگے میں سنبھال لوں گا۔
Urdu,Family Obligations & Requests,والدہ,بیٹی,High,Formal,Cooperative compliance,Positive,بیٹی، ذرا آ جاؤ، مہمانوں کی آمد سے پہلے کچھ کام باقی ہیں، میرے ساتھ ہاتھ بٹا دو۔,آپ کے گھر میں مہمان آنے والے ہیں اور ابھی کچھ تیاری باقی ہے۔ آپ کی والدہ چاہتی ہیں کہ آپ گھر کے کاموں میں ان کا ہاتھ بٹائیں تاکہ تمام تیاریاں وقت پر مکمل ہو جائیں۔,جی امی، ابھی آئی۔ آپ فکر نہ کریں، ہم مل کر سب کام جلدی مکمل کر لیتے ہیں۔
Urdu,Family Obligations & Requests,بڑی بہن,چھوٹا بھائی,Medium,Informal,Cooperative compliance,Positive,ذرا بازار سے یہ ضروری سامان لے آؤ۔,آپ کی فیملی میں ایک خاندانی تقریب ہونے والی ہے اور کچھ ضروری سامان ابھی لانا باقی ہے۔ آپ کی بڑی بہن چاہتی ہیں کہ آپ بازار سے یہ سامان لے آئیں تاکہ تیاریاں وقت پر مکمل ہو جائیں۔,ٹھیک ہے باجی، ابھی لے آتا ہوں۔ اگر اور بھی کچھ چاہیے ہو تو بتا دیجیے گا۔
Urdu,Family Obligations & Requests,کزن,کزن,Low,Informal,Cooperative compliance,Positive,ذرا یہ کام تم سنبھال لو۔,آپ اپنے کزن کے ساتھ ایک خاندانی تقریب کی تیاریوں میں مصروف ہیں اور ابھی کچھ کام باقی ہیں۔ آپ کا کزن چاہتا ہے کہ آپ ایک کام سنبھال لیں تاکہ تمام انتظامات وقت پر مکمل ہو جائیں۔,ٹھیک ہے، یہ کام میں سنبھال لیتا ہوں۔ تم باقی تیاری دیکھ لو، ہم مل کر سب وقت پر مکمل کر لیں گے۔
Urdu,Handling Criticism & Disagreements,استاد,طالب علم,High,Formal,Accepting criticism,Positive,آپ کی اسائنمنٹ مجموعی طور پر اچھی ہے، لیکن اس میں چند اہم نکات شامل نہیں کیے گئے۔,آپ کی اسائنمنٹ چیک ہونے کے بعد معلوم ہوا ہے کہ اس میں چند اہم نکات شامل نہیں ہیں۔ آپ کے استاد چاہتے ہیں کہ وہ اس بارے میں آپ سے بات کریں تاکہ آپ اپنی غلطیوں کو بہتر طور پر سمجھ سکیں۔,جی سر، یہ میری کوتاہی تھی۔ آپ کی نشاندہی کا شکریہ، میں ان نکات کو شامل کر کے اسائنمنٹ بہتر کر دوں گا۔
Urdu,Handling Criticism & Disagreements,سینئر ساتھی,جونیئر ساتھی,Medium,Formal,Constructive acceptance,Positive,اس رپورٹ کے کچھ حصے ہمارے معیار کے مطابق نہیں ہیں۔,آپ کی تیار کردہ رپورٹ کا جائزہ لیا جا رہا ہے۔ آپ کے سینئر ساتھی نے رپورٹ میں چند اہم خامیوں کی نشاندہی کی ہے۔,آپ کی نشاندہی کا شکریہ۔ میں آپ کی تجاویز کے مطابق ان حصوں پر دوبارہ کام کرتا ہوں تاکہ حتمی رپورٹ بہتر معیار کی ہو۔
Urdu,Handling Criticism & Disagreements,قریبی دوست,قریبی دوست,Low,Informal,Constructive agreement,Positive,یار، مجھے لگتا ہے کہ تمہارے حصے میں چند تبدیلیوں کی ضرورت ہے۔,آپ اور آپ کا قریبی دوست ایک مشترکہ منصوبے پر کام کر رہے ہیں۔ منصوبے پر نظرِ ثانی کرتے ہوئے آپ کو محسوس ہوتا ہے کہ اس کے تیار کیے گئے حصے میں کچھ ایسی تبدیلیوں کی ضرورت ہے جن پر آپ دونوں کی رائے مختلف ہے۔,ضرور، اگر تمہیں لگتا ہے کہ اس سے کام بہتر ہوگا تو آؤ مل کر جائزہ لیتے ہیں۔
Urdu,Invitation to Celebrations,چچا,بھتیجا,High,Formal,Respectful acceptance,Positive,بیٹا، مجھے خوشی ہوگی اگر تم ضرور آؤ اور سب کے ساتھ کچھ وقت گزارو۔,آپ کے چچا نے گھر پر ایک خاندانی ملاقات کا اہتمام کیا ہے جس میں تمام قریبی رشتہ داروں کو مدعو کیا گیا ہے۔ اس لیے وہ آپ کو دعوت دینا چاہتے ہیں۔,جی چچا جان، ان شاء اللہ میں ضرور آؤں گا۔ آپ کی دعوت کا بہت شکریہ۔
Urdu,Invitation to Celebrations,ٹیم لیڈر,ٹیم ممبر,Medium,Formal,Respectful acceptance,Positive,آپ بھی ضرور تشریف لائیے گا۔,آپ کے ٹیم لیڈر نے ٹیم کی حالیہ کامیابی کی خوشی میں تمام اراکین کے لیے ایک غیر رسمی ملاقات کا اہتمام کیا ہے۔ اس لیے وہ آپ کو دعوت دینا چاہتے ہیں۔,بہت شکریہ! ان شاء اللہ میں ضرور تشریف لاؤں گا۔
Urdu,Invitation to Celebrations,قریبی دوست,قریبی دوست,Low,Informal,Warm acceptance,Positive,یار، میں نے ایک چھوٹی سی دعوت رکھی ہے۔ تم ضرور آنا۔,آپ کے قریبی دوست نے اپنے نئے گھر میں منتقل ہونے کی خوشی میں ایک مختصر دعوت کا اہتمام کیا ہے۔ وہ چاہتے ہیں کہ آپ بھی اس خوشی میں ضرور شریک ہوں، اس لیے وہ آپ کو دعوت دینا چاہتے ہیں۔,بہت مبارک ہو۔ ان شاء اللہ میں ضرور آؤں گا۔
Urdu,Asking for Permission,طالب علم,استاد,High,Formal,Respectful request,Positive,سر، اگر اجازت ہو تو کیا میں چند منٹ پہلے کلاس سے جا سکتا ہوں؟,آپ کو یونیورسٹی کی انتظامیہ کے دفتر میں ایک ضروری دستاویز جمع کروانی ہے، جس کا وقت آپ کی کلاس کے دوران ختم ہو جائے گا۔ اس لیے آپ اپنے استاد سے چند منٹ کے لیے کلاس سے باہر جانے کی اجازت لینا چاہتے ہیں۔,جی، اگر معاملہ واقعی ضروری ہے تو آپ جا سکتے ہیں۔ آئندہ کوشش کیجیے گا کہ ایسے کام کلاس کے اوقات سے پہلے یا بعد میں نمٹا لیے جائیں۔
Urdu,Asking for Permission,جونیئر ساتھی,سینئر ساتھی,Medium,Formal,Respectful request,Positive,سر، اگر اجازت ہو تو مجھے آج ایک گھنٹہ پہلے دفتر سے نکلنا ہوگا۔,آپ کو بینک میں ایک ضروری دستاویز جمع کروانی ہے، جس کا مقررہ وقت دفتر کے اوقات ختم ہونے سے پہلے ہے۔ اس لیے آپ اپنے سینئر ساتھی سے اجازت لینا چاہتے ہیں۔,ٹھیک ہے، اگر آپ نے اپنا ضروری کام مکمل کر لیا ہے تو آپ جا سکتے ہیں۔
Urdu,Asking for Permission,کزن,کزن,Low,Informal,Polite request,Positive,اگر تمہیں کوئی مسئلہ نہ ہو تو کیا میں کچھ دیر کے لیے تمہارا لیپ ٹاپ استعمال کر سکتا ہوں؟,آپ کو ایک ضروری رپورٹ میں ترمیم کر کے آج ہی جمع کروانی ہے، لیکن آپ کا اپنا لیپ ٹاپ خراب ہو گیا ہے۔ اس لیے آپ اپنے کزن سے کچھ دیر کے لیے اس کا لیپ ٹاپ استعمال کرنے کی اجازت لینا چاہتے ہیں۔,ضرور یار، کام ہو جائے تو واپس کر دینا، امید ہے تمہاری رپورٹ وقت پر مکمل ہو جائے گی۔
Urdu,Accepting & Rejecting Compliments,استاد,طالب علم,High,Formal,Humble acceptance,Positive,آپ کی کارکردگی واقعی قابلِ تعریف ہے، اسی لگن کو آئندہ بھی برقرار رکھیے۔,آپ نے حال ہی میں ایک تحقیقی منصوبہ کامیابی سے مکمل کیا ہے، جس میں آپ نے بھرپور محنت اور ذمہ داری کا مظاہرہ کیا۔,بہت شکریہ سر، یہ آپ کی حوصلہ افزائی اور رہنمائی کا نتیجہ ہے۔ میں آئندہ بھی پوری محنت کے ساتھ بہتر کارکردگی دکھانے کی کوشش کروں گا۔
Urdu,Accepting & Rejecting Compliments,سینئر ساتھی,جونیئر ساتھی,Medium,Formal,Grateful acceptance,Positive,آپ کی تیاری اور محنت واضح نظر آ رہی تھی، واقعی بہت اچھا کام کیا۔,آپ نے حال ہی میں ایک اہم پریزنٹیشن کامیابی سے پیش کی ہے، جسے دفتر میں سب نے پسند کیا۔ آپ کے سینئر ساتھی آپ کی کارکردگی کو سراہتے ہوئے آپ کی حوصلہ افزائی کرنا چاہتے ہیں۔,بہت شکریہ! آپ کی حوصلہ افزائی میرے لیے بہت اہم ہے۔
Urdu,Accepting & Rejecting Compliments,قریبی دوست,قریبی دوست,Low,Informal,Humorous acceptance,Positive,یار، یہ تصویر تم نے کھینچی ہے یا کسی پروفیشنل فوٹوگرافر کو چھپ کر نوکری پر رکھا ہوا ہے؟,آپ نے حال ہی میں ایک خوبصورت تصویر کھینچی ہے، جسے دیکھ کر آپ کا قریبی دوست بہت متاثر ہوا ہے۔ وہ آپ کی صلاحیت کی تعریف کرنا چاہتا ہے۔,ہاہا، شکریہ! اب تو لگ رہا ہے مفت کا فوٹوگرافر بننا پڑے گا۔
Urdu,Apologies for Mistakes,افسر,ملازم,Medium,Formal,Sincere apology,Neutral,رپورٹ وقت پر مکمل نہ ہونے سے ہماری پیشہ ورانہ ساکھ متاثر ہوئی ہے۔ مجھے امید ہے آپ اس تاخیر کی وجہ واضح کریں گے۔,آپ کو ایک اہم کلائنٹ کے لیے رپورٹ مقررہ وقت تک مکمل کرنی تھی، لیکن وہ وقت پر جمع نہیں ہو سکی۔,سر، اس غلطی پر میں دل سے معذرت خواہ ہوں۔ یہ میری کوتاہی تھی، اور آئندہ میں ایسی غلطی دوبارہ نہیں ہونے دوں گا۔
Urdu,Apologies for Mistakes,والد,بیٹا,High,Formal,Sincere apology,Negative,بیٹا، میں نے تم سے کہا تھا کہ بل آخری تاریخ سے پہلے جمع کرا دینا۔,آپ کو گھر کے ایک ضروری بل کی آخری تاریخ سے پہلے ادائیگی کرنے کی ذمہ داری دی گئی تھی، لیکن آپ یہ کام وقت پر نہیں کر سکے۔,ابو، معذرت چاہتا ہوں، میرا دھیان نہیں رہا۔ آئندہ میں ضرور اس بات کا خیال رکھوں گا۔
Urdu,Apologies for Mistakes,بڑی بہن,چھوٹی بہن,Low,Informal,Sincere apology,Negative,مجھے میری وہ چیز نہیں مل رہی جو میں نے تمہیں سنبھال کر رکھنے کے لیے دی تھی۔,آپ کو آپ کی بڑی بہن نے ایک ضروری چیز سنبھال کر رکھنے کے لیے دی تھی، لیکن وہ غلطی سے آپ سے گم ہو گئی۔,آپی، سوری! مجھ سے واقعی غلطی ہو گئی۔ شاید میں نے کہیں رکھ کر بھول گئی، ابھی ڈھونڈتی ہوں۔
Urdu,Health Enquiry,دادی,پوتی,High,Formal,Caring reassurance,Positive,بیٹا، سنا ہے تمہاری طبیعت ٹھیک نہیں تھی۔ اب کیسی ہو؟,آپ گزشتہ چند دنوں سے طبیعت کی خرابی کی وجہ سے آرام کر رہی ہیں۔,جی دادی، اب پہلے سے بہتر ہوں۔ میری فکر کرنے کا بہت شکریہ۔
Urdu,Health Enquiry,خالہ,بھانجی,Medium,Formal,Caring response,Positive,اور سناؤ بیٹا، اب طبیعت بہتر ہوئی یا نہیں؟,"آپ کی طبیعت گزشتہ چند دنوں سے ٹھیک نہیں ہے۔ آپ کی خالہ آپ کی خیریت دریافت کرنا چاہتی ہیں۔
",الحمدللہ خالہ، اب کافی بہتر ہوں۔
Urdu,Health Enquiry,دوست,دوست,Low,Informal,Caring reassurance,Positive,یار، کئی دنوں سے تم نظر نہیں آئے۔ اب طبیعت کیسی ہے؟,آپ گزشتہ چند دنوں سے طبیعت کی خرابی کی وجہ سے یونیورسٹی نہیں آ سکے۔ آپ کا دوست آپ کی خیریت دریافت کرنے کے لیے آپ سے رابطہ کرنا چاہتا ہے۔,اب کافی بہتر ہوں یار، بس تھوڑا آرام کر رہا ہوں۔ ان شاء اللہ جلد یونیورسٹی آ جاؤں گا۔
Urdu,Giving Orders & Commands,پرنسپل,استاد,High,Formal,Respectful compliance,Neutral,کل کی تقریب کے تمام انتظامات آپ سنبھالیں گے۔,آپ کے سکول میں کل ایک اہم تقریب منعقد ہونے والی ہے۔ پرنسپل چاہتے ہیں کہ آپ تقریب کے تمام انتظامات کی نگرانی کی ذمہ داری سنبھالیں۔,جی سر، ان شاء اللہ میں تمام انتظامات بخوبی سنبھال لوں گا۔
