Scenario_ID,Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,CAS_A,FTV_A,CAS_B,FTV_B,CAS_C,FTV_C,Gold_Candidate,Gold_Response
1,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Gratitude + indirect refusal,Positive,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,1.0,0.0,0.3438,0.25,0.5,0.125,A,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔
2,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Polite refusal,Negative,اور چائے بنوا دوں؟,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,0.9375,0.0,0.375,0.1875,0.375,0.1875,A,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔
3,Urdu,Refusing Offers,ساس,بہو,High,Formal,Deferential refusal,Positive,بیٹا، اور روٹی لے لو۔,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,1.0,0.0,0.1875,0.3125,0.25,0.25,A,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔
4,Urdu,Refusing Offers,محلے کے بزرگ,پڑوسی,High,Formal,Respectful refusal,Neutral,بیٹا آؤ، میں تمہیں چھوڑ دیتا ہوں۔,محلے کے بزرگ آپ کو بازار جاتے ہوئے اپنی گاڑی میں ساتھ چلنے کی پیشکش کرتے ہیں، لیکن آپ نے پہلے ہی دوسری سواری کا انتظام کر لیا ہے۔,1.0,0.0,0.1875,0.25,0.375,0.1875,A,آپ کو زحمت ہوگی، میں نے ٹیکسی بک کر لی ہے، وہ بس آنے ہی والی ہے۔
5,Urdu,Refusing Offers,پروجیکٹ کوآرڈینیٹر,ملازم,Medium,Formal,Grateful refusal,Neutral,اگر تمہاری رپورٹ مکمل نہیں ہوئی تو میں تمہاری مدد کر دیتا ہوں۔,دفتر میں پروجیکٹ کوآرڈینیٹر آپ کے حصے کی رپورٹ خود مکمل کرنے کی پیشکش کرتے ہیں، لیکن آپ رپورٹ تقریباً مکمل کر چکے ہیں اور اسے خود جمع کروانا چاہتے ہیں۔,1.0,0.0,0.25,0.375,0.25,0.25,A,سر، میری رپورٹ مکمل ہونے والی ہے۔ آپ کی مدد کا بہت شکریہ۔
6,Urdu,Refusing Offers,بڑے بھائی کا دوست,چھوٹا بھائی,Low,Informal,Polite refusal,Neutral,اگر کہو تو میں تمہیں گھر چھوڑ دیتا ہوں۔,آپ کے بڑے بھائی کا دوست آپ کو موٹر سائیکل پر گھر چھوڑنے کی پیشکش کرتا ہے، لیکن آپ نے پہلے ہی اپنے دوست کے ساتھ واپس جانے کا پروگرام بنا لیا ہے۔,0.9062,0.0,0.25,0.125,0.25,0.125,A,بھائی، میں اپنے دوست کے ساتھ چلا جاؤں گا، آپ فکر نہ کریں۔
7,Urdu,Refusing Offers,بزرگ,نوجوان,High,Formal,Respectful hesitation,Positive,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,0.9688,0.0,0.1875,0.5,0.25,0.25,A,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔
8,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Face-saving refusal,Negative,اور میٹھا لے لیجیے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,1.0,0.0,0.25,0.25,0.25,0.25,A,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔
9,Urdu,Refusing Offers,استاد,طالب علم,Medium,Formal,Careful refusal,Neutral,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,0.9062,0.0,0.25,0.25,0.25,0.25,A,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔
10,Urdu,Refusing Offers,خالہ,بھانجا,High,Formal,Respectful refusal,Negative,رات یہیں رک جاؤ، صبح چلے جانا۔,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,1.0,0.0,0.25,0.25,0.5,0.125,A,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔
