ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,بہت معذرت چاہتی ہوں، مجھے یہی کافی ہے۔ اس سے,,,,,,,ارے یار، تم اور لے لو، ابھی تازہ ہے۔,,,,,,,شکریہ ڈжئے، ابھی گرم ہے تھوڑی بہت نہیں۔,,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,جی، ڈوسٹ، میں آپ کے لیے چلو چائے بنao گا۔,,,,,,,جی، اباری۔ آپ کی مہربانی اپنی جگہ، مگر میں یہی مکمل ہوں۔ اس,,,,,,,جی، تم بناووں۔,,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,جی ساسی، ابھی میں لے لوں گی۔,,,,,,,سسر، ابھی میں کافی کھا چکی ہوں، اس لیے مزید روٹی نہیں چا,,,,,,,سر، بیٹا یار، تمہاری میں نے دیجی، یار یار کافی ہے۔,,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,سر، میں واقعی آپ کی بہت مہربانی قبول نہیں کر سکتا۔ آپ کی کتابیں مجھ�,,,,,,,جی، ابھی تکملہ کر لو، پھر میرا فکر کام آؤٹ ہو گا۔,,,,,,,سر، آپ کی بہت مہربانی، مگر میں رکھ لوں گا، پڑھ لوں گا، پھ,,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,بہت شکریہ! میں سنترے کا میٹھا زیادہ نہیں لے سکتا، آپ کی,,,,,,,شکریہ ڈжئے، آپ کی بہت مہربانی۔,,,,,,,بہت مبارک ہو۔ آج رات تمہاری میزبانی بہت مقبولیت رہی۔,,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,ارے، اگر آپ کی بہت ہو تو بھول گئے، میری بہت شکریہ۔ آپ ک,,,,,,,جی، اگر آپ سوچتے ہیں کہ میںی سبق میں کسی حصے میں مشکلات محسوس کر ر,,,,,,,سر، آپ کی بہت مہربانی! آج تک سبق مکمل ہو گیا ہے؟ اگر ہاں,,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,جی، میں رات یہیں رہوں گا۔ آپ کی مہربانی قبول، اگلی صبح می�,,,,,,,خالہ جان، تم آئندہ ضرور رات رہ کر چلوں گا، آج تھوڑی جلدی چلا ج,,,,,,,جی ٹیئی، تمہاری ڈھونڈتے ہیں۔ رہنمائی ڈال لو، آئندہ بھ,,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,ارے یار، آپ زحمت نہ کریں، میں سنبھال لوں گا، اگر ضرورت ہو تو آگ,,,,,,,بہت شکریہ! ابھی کوشش نہ کریں، میرے لیے کام کر لوں گا۔,,,,,,,بہت شکریہ یار، آپ کی بہت مہربانی۔ آئندہ ضرورت پڑی تو ضرور آپ س,,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,بس یار، آئے، میں بھی اپنی مہربانی کر لوں گا۔,,,,,,,"شکریہ یار، تماری تجویز قبول۔ چلو، آگے میں سنبھال لوں گا۔

سر،",,,,,,,بہت مبارک ہو۔ آج تک تم جیت گئے، اب میں جیتتا ہوں گا۔,,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,مامو جان، آپ کی بہت مہربانی، مگر آپ زحمت نہ کریں۔ میں سنبھال لوں,,,,,,,آنے کے لیے شکریہ! تمہاری رقم میرے لیے بھی اہم ہے۔,,,,,,,مامو جان، میں سارا پیسہ آپ پر یقین دیلتا ہوں، واقعی ضرورت پڑی تو مدد کر,,,,,,
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,,,,,,,بہت شکریہ! یہی یOUGH. آپ کی مہربانی اپنی جگہ، مگر معذرت چاہتی,,,,,,,جی، اگر ڈونرس کی ضرورت ہو تو میں بھی اپنی خدمات پیش کروں گا,,,,,,,بہت مبارک ہو۔ آپ کی رہنمائی، میزبان کی پیش کش اپنی جگہ، میرے لیے,,,,,,
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,,,,,,,بہت شکریہ یار، تمہاری بہت مہربانی۔,,,,,,,شکریہ یار، تمہاری بہت مہربانی۔ آئندہ وقت دیکھیے، شاید میں ت,,,,,,,بہت مبارک ہو۔ آج رات جم کی فکر نہ کریں، آئندہ کوشش کیجیے گا,,,,,,
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,,,,,,,جی امی، ابھی کھل گaya ہوں گی، تھوڑی دیر میں کھا لوں گا�,,,,,,,جی چاہनی، بس تھوڑا۔ آپ کی بہت مہربانی، میں ضرور کھا لو,,,,,,,جی امی، اب یہی enough ہے، میں زیادہ نہیں کھاؤں گا۔ آپ کی,,,,,,
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,,,,,,,جی، میزبان صاحب، آج رات تک پیتا ہوں گا، اگر ضرورت پڑی تو ڈال لوں گ,,,,,,,بس، یار! چلو، من دوبارہ ڈال لوں گا۔,,,,,,,جی، ابھی یہی کافی ہے۔ آپ کی مہربانی اپنی جگہ، مگر آئندہ می,,,,,,
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,چچا جان، آپ کی بہت مہربانی، مگر میں معذرت چاہتا ہوں، میں,,,,,,,چچا جان، میں بہت ضرورत کی وجہ سے یار۔,,,,,,,چچا جان، میں آپ کی مہربانی قبول کر لوں گا، مگر آپ فکر نہ کریں۔ میں ص,,,,,,
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,,,,,,,بہت مبارک ہو۔ آج رات میں ضرور کھا لوں گا۔,,,,,,,بہت شکریہ یار، تمہاری مہربانی اپنی جگہ، مگر آج مجھے کچھ کام ا,,,,,,,جی، میں ہیں، آج رات بھول کے سنبھال لوں گا۔,,,,,,
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,بہت مبارک ہو۔ یار، ان شاء اللہ میں آؤں گا۔,,,,,,,بہت شکریہ! میں کل شام آپ کی مہربانی قبول کر لوں گا۔ آپ کی میزبانی سے,,,,,,,بہت مبارک ہو۔ ان شاء اللہ میں آؤں گا۔,,,,,,
18,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,چچا جان، معذرت چاہتی ہوں، میں اتوار کے دن بس کام کرنے کے ل,,,,,,,چچا جان، میں آؤں گا۔,,,,,,,چچا جان، میں واقعی سنڗھی نہیں پاؤں گا۔ آپ کی بہت مہربانی,,,,,,
19,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,,,,,,,بہت شکریہ یار، تمہاری مہربانی اپنی جگہ، مگر آج مجھے کچھ کام ا,,,,,,,شکریہ یار! تمہاری بہت مبارک تھی۔,,,,,,,بہت مبارک ہو۔ ان شاء اللہ میں آ سکوں گا۔,,,,,,
20,ساس,داماد,High,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,جی ساس، میں آپ کی بہت شکر گزار ہوں۔ آج رات مجھے یہ موقع دیجی�,,,,,,,بہت مبارک ہو۔ ان شاء اللہ میں آؤں گا۔,,,,,,,جی ساری، آپ کی بہت ہے۔ میں ہمیشہ آپ کے ساتھ ضرور کھاؤ,,,,,,
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,ارے یار، تم آ گئے، میرے لیے یہ سب بہت مبارک ہے۔ آج کل,,,,,,,بہت شکریہ یار، آپ کی مہربانی اپنی جگہ، مگر کل مجھے کچھ کام میں مص,,,,,,,بس، ڈنر کر لو، آپ کے ساتھ ہو، پہلے میرے لیے۔,,,,,,
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,بہت مبارک ہو! آئی  جی، چلو چai اور کھانے کا میرا۔,,,,,,,بہت شکریہ! میں آپ کی مہربانی قبول کر تا ہوں۔ آج شام ضرور آؤ�,,,,,,,بہت مبارک ہو۔ انشا اللہ آج شام پہلے آئیے گا۔,,,,,,
23,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,,,,,,,بہت مبارک ہو۔ آئندہ آؤں گا۔,,,,,,,بہت شکریہ یار، تمہاری مہربانی اپنی جگہ، مگر آج مجھے کچھ کام می,,,,,,,جی یار، میں آؤں گا، پھر ہم سنبھال کر کھا لوں گا۔,,,,,,
24,استاد,طالب علم,Medium,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,,,,,,,سر، معذرت چاہتی ہوں، آپ کی بہت مہربانی، مگر میں زحمت، اب می,,,,,,,بہت شکریہ! میں معاملہ وقت کی وجہ سے نہیں بلکہ دیگر کاموں می,,,,,,,بہت مبارک ہو، اگر میں کام کی وجہ سے نہیں پہل لوٹ سکوں، آپ,,,,,,
25,ماموں,بھانجی,High,آپ اپنے ماموں سے گفتگو کر رہی ہیں۔ بات چیت کے دوران وہ آپ کو ہفتے کے دن اپنے گھر آنے کی دعوت دیتے ہیں۔,ہفتے کو ہمارے گھر ضرور آنا، سب تمہارا انتظار کریں گے۔,جی ماموں جان، آپ نے یاد کیا، ان شاء اللہ ضرور آؤں گی۔,,,,,,,جی مامو، ہمیشہ آئیے گا، صبح یا شام کی بہت مبارک ہو۔,,,,,,,مامو جان، معذرت چاہتی ہوں، میں یار نہیں آ سکوں گی، ابھی,,,,,,,مامو جان، میں واقعی ہفتے کو آؤں گی، سب کی فکر نہ کریں۔ آپ کی دعوت سن کر ب�,,,,,,
26,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو ساتھ ڈنر کرنے کی دعوت دیتا ہے۔,ڈنر پر چلیں؟,معذرت کے ساتھ میں آج تھوڑا مصروف ہوں، کسی اور دن کا پلان بناتے ہیں۔,,,,,,,جی، میں چلاوں گا۔,,,,,,,جی، میں چلوں گا۔ آج رات کا یہ موقع نہ چھوڑ سکوں گا۔,,,,,,,بہت شکریہ یار، آپ کی دعوت قبول ہے۔ آئندہ میٹنگ کے بعد ڈن,,,,,,
27,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر آ جائیے، سب مل کر کھانا کھائیں گے۔,ماشاء اللہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کروں گا۔,,,,,,,بہت شکریہ! میں آپ کی دعوت قبول کرنے کا بہت شکر گزار ہوں۔,,,,,,,شکریہ ڈیوٹو! آج شام میں گھر آ لوں گا، سب مل کر کھانے,,,,,,,بہت مبارک ہو۔ ان شاء اللہ میں آؤں گا۔,,,,,,
