ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation,
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,"""سالن لے لیا، ابھی گرم ہے۔""
""سالن لے لیا، ابھی گرم ہے�",2,2,2,1,0,0,"""جی، ابھی لینا چاہیے نہیں، وہ ٹمپرٹ ہوجائے گا",2,2,2,1,0,0,"""جی، میں لے لیا گیا، آپ کی طاقت کو آرام دینے کے لیے بہت شک",2,1,2,1,0,0,"""شکریہ، میں تھوڑا سا اور لے لیتا ہوں۔""",2,2,2,2,0,0,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,"""جی، بس ابھی بنوائیں۔""",0,0,0,0,2,0,"""جی، چلو چائے بناتی ہوں۔""",0,0,0,0,1,1,"""نہیں، آپ فکر نہ کریں، میں خود بنا لوں گا۔""",2,2,2,1,0,0,"""جی، میں آپ کی لیئے چائے بنانے کے لیے آ آئیں گی۔""",2,2,2,1,0,0,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""شکریہ امی، میں نے ابھی کافی کھا لی ہے، مگر آپ کی محبت کا بہت شکریہ۔""",3,3,3,3,0,0,"""جی، میں روٹی لے جاؤں گا۔""",1,1,1,0,0,1,"""جی، امی، ابھی لاتی ہوں۔""",2,2,2,1,0,0,"""جی دادی، میں لیا گا۔ آپ کی مہربانی کو بہت شکریہ۔""",2,2,2,2,0,1,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,3,3,4,4,0,0,"""جی، یقیناً رکھ لوں گا۔""",2,2,2,1,0,0,"""جی سر، میں کتاب اپنے پاس رکھ لوں گا۔""",2,2,2,1,0,0,"""شکریہ، یہ واقعی میرے لیے بہت مفید ہوگی۔""",2,2,2,2,0,0,"""جی، میں اس کتاب رکھ لیا گا۔ آئے گے وقت میں کام کر لیں گ",1,1,1,1,0,0,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,"""جی، لے لیجا۔""",2,2,2,2,1,0,"""شکر ہے، ابھی ملی۔""",1,1,1,1,0,0,"""شکریہ، مگر میں نے پہلے ہی کافی میٹھا لے لیا ہے۔""",3,3,3,3,0,0,"""جی، میں لے لیا گیا۔ شکریہ چاہتی ہوں۔""",2,2,2,2,0,1,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,3,3,3,4,0,0,"""جی، مزید وضاحت کی مہربانی شکریہ۔ میں کہلاتا ہوں کہ حالیں م",3,3,3,3,0,0,"""شکریہ سر، میں آپ کی وضاحت کا انتظار کروں گا، اگر ضرورت محسوس ہوئی تو آپ سے رابطہ کروں گا۔""",3,3,3,3,0,0,"""جی، اگر ضروری ہو تو وضاحت کیجیے، میں سمجھنے کی کوشش کروں گا۔",3,3,3,3,0,0,"""میں سمجھتا ہوں سر، بس ابھی تک کوئی خاص مسئلہ پیش نہیں آیا۔""",1,1,1,1,0,0,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""شکریہ، مگر مجھے آج ہی جانا ہے۔ آپ کی مہمان نوازی کا بہت شکریہ!""",3,3,3,3,1,0,"""جی، یقیناً چلو، رات کو یہیں ہی رہوں گا، صبح کا وقت آجان",1,1,1,0,0,0,"""جی، میں رات یہیں رک جاؤں گا، صبح چلے جانا۔""",1,1,1,1,1,0,"""جی، میں رات یہیں رک جाऊں گی، صبح کیلئے آرام حاصل کر لی",1,1,1,1,1,0,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,3,3,3,4,0,0,"""جی، بہت محسوس ہے۔ اگر آپ کہوں تو میں اس کے لیے بہت شکر",2,2,2,1,0,0,"""بہت مہربانی، مگر مجھے کچھ نہیں چاہیے، آپ آرام کریں۔""",3,3,3,3,0,0,"""کیا ضرورت ہے، آپ کی بہت مہربانی۔ بس ضرورت پڑی تو خود جاؤں گا",3,3,3,3,0,0,"""شکریہ، بس آپ کی مہربانی کافی ہے۔
میں بازار سے خریداری کرنے کے",2,2,2,2,0,0,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,"""چلو، کیوں نہیں! یہ تو مزے کا ہوگا۔""",3,3,3,3,0,0,"""جی، میں بھی کھیلنے کے لیے تیار ہوں۔""",3,3,3,3,0,0,"""کیا بات ہے، یار! میں بھی تیار ہوں، چلو کھیلتے ہی",2,2,2,2,0,0,"""جی یار، آگے بڑھیا ہوں۔ میں بھی ایک اور گیم کھیلنے",1,1,1,1,0,0,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,3,3,3,4,0,0,"""جی، میں اس کے لیے کافی رقم رکھ لیتا ہوں۔ آپ کی مہربانی کو",1,1,1,0,0,0,"""بہت شکریہ! آپ کی مہربانی ہمیشہ میرے ساتھ رہی ہے، مگر میں یہ رقم نہیں لے سکتا۔""",3,3,3,3,0,0,"""جی، یقیناً رکھ لوں گا، آپ کی بہت مہربانی۔""",2,2,2,0,1,0,"""جی سر، میں نے پیسے رکھ لیے ہیں۔""",1,1,1,0,1,1,
