ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational _Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,"""میزبانی، بہت شکری۔""",2,2,2,2,0,0,"""جی، مزید سالن بہت مہربانی ہے، مگر میں اسے نہیں لیاں",2,2,2,2,0,0,"""جی، کھانا بہت اچھا لگ رہا ہے، یہ سالن ضرور لیتا ہو",2,2,2,2,0,0,"""شکریہ، مگر میں نے کافی کھا لیا ہے۔ آپ کا بہت شکریہ!""",3,3,3,3,0,0
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,"""بھائی، میں اسے پیں گا۔ مزید چائے کی ضرورت نہیں۔""",2,2,2,2,0,0,"""نہیں یار، شکریہ! میں نے کافی پی لی ہے، بس تمہارے ساتھ بیٹھ کر باتیں کرنے کا مزہ آ رہا ہے۔""",2,2,2,1,0,0,"""جی، بس اب کافی ہو گیا، کچھ دیر آرام کر لے۔""

---",4,4,4,4,0,0,"""جی، آج چائے بنوانا بہت اچھا ہے۔""",2,2,2,2,0,0
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""جی داسی، مزید روٹی نہیں پڑی، میری فکر کرنے کا شکریہ۔""",3,3,3,3,0,0,"""ساسی، آپ کی بہت مہربانی، مگر میں نے پہلے ہی کافی روٹی ک",3,3,3,3,0,1,"""جی ساسی، آپ کی بہت مہربانی، لیکن مجھے ابھی کافی ہو گیا ہے�",2,2,2,2,0,1,"""شکریہ ساس جی، مگر میں نے کافی کھا لیا ہے۔""",2,2,2,2,0,1
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,4,4,4,4,0,0,"""بہت شکریہ، آپ کی مہربانی ہے، مگر میں آپ کی کتاب واپس کر دوں گا۔""",3,3,3,3,0,0,"""جی بزرگ جان، آپ کی بہت مہربانی، لیکن میں یہاں کچھ دن رہوں گا",2,2,2,2,0,0,"""بزرگ، بہت شکری۔ مگر مجھے افسوس ہے، میرے پاس کتاب رکھنے",3,3,3,3,0,0,"""جی بزرگ جان، میں اس کتاب کو ملک میں لے جاں گا۔ آپ کی پیش",1,1,1,1,0,0
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,"""میزبانی، بہت شکری۔ میٹھا کھانے کے بعد مجھے بھی مزید کھلانے",2,2,2,2,0,0,"""بہت شکریہ! مگر میں نے ابھی کافی کھایا ہے، آپ کی مہربانی ہے۔""",3,3,3,3,0,0,"""جی، بہت احسن!""",3,3,3,3,0,0,"""جی، مزید میٹھا لیکر ممنون ہوں۔ آپ کی مہربانی کو بہت شک",2,2,2,2,0,0
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,4,4,4,4,0,0,"""جی سر، اگر ضرورت ہو تو کچھ مزید وضاحت کیجیے گا۔""",3,3,3,3,0,0,"""سر، آپ کی مہربانی، مگر میں نے سب سمجھ لیا ہے۔ شکریہ!""",3,3,3,3,0,0,"""جی، مزید وضاحت کے لیے بہت شکریہ۔ آپ کی مہربانی میں کوئی",2,2,2,2,0,0,"""آپ کی بہت مہربانی، سر، مگر میں سبق کے بعد بھی کچھ سمجھ نہی",2,2,2,2,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""خالہ جان، میں اپنے بیٹے سے ملاقات کر رہا ہوں، اس لیے میں",4,4,4,4,0,0,"""خالہ جان، بہت مہربانی، مگر مجھے آج ہی واپس جانا ہے۔ ان شاء اللہ جلد دوبارہ آؤں گا۔""",4,4,4,4,0,0,"""خالہ جان، آپ کی بہت مہربانی، لیکن میں واپس جانا چاہتا ہوں",2,2,2,2,0,0,"""خالہ جان، آپ کی بہت مہربانی، مگر میں اپنی منزل پر رات گزارنا چاہتا �",1,1,1,1,0,0
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,4,3,4,4,0,0,"""بہت شکریہ، مگر میں خود ہی جا کر لے آؤں گا۔""",2,2,2,2,0,1,"""شکر ہوگا، آپ کی بہت مہربانی، لیکن مجھے یہ ضرورت نہیں",3,3,3,3,0,0,"""بہت ممنون، جیسے ہوا۔ اگر آپ کی پیشکش کو لانے کی ضرورت",3,3,3,3,0,0,"""پڑوسی جان، آپ کی بہت مہربانی، مگر آپ زحمت نہ کریں۔ میں یہ کام",2,2,2,2,0,0
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,"""کیوں نہیں! یہ تو زبردست آئیڈیا ہے، چلو شروع کرتے ہیں!""",3,3,3,3,0,0,"""آرے یار، یہ تو آج تک کافی ہوا، کھیلنے کے لیے بہت خوش",3,3,3,3,0,0,"""بہت مبارک ہو، چلیں یار!""",3,3,3,3,0,0,"""جی، یار، ایک اور گیم کھیلیں گے!"" (Answer in English)
""جی، یار، ایک اور گیم کھ",1,1,1,1,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,4,4,4,4,0,0,"""ماموں جان، آپ کی بہت مہربانی، مگر مجھے یہ رقم نہیں چاہی",2,2,2,2,0,0,"""جی ماموں، آپ کی بہت مہربانی، لیکن ضرورت نہیں ہے۔""",3,3,3,3,0,0,"""مамوں جان، اس رقم کو میں بھی رکھ رہی ہوں، آپ کی بہت مہرب",3,3,3,3,0,0,"""ماموں، آپ کی مہربانی کا بہت شکریہ، مگر مجھے واقعی ضرورت نہیں ہے۔""",3,3,3,3,0,0
