Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qalb-1.0-8B-Instruct,,Medium,,اگر کسی چیز کی ضرورت ہو تو بے تکلف بتا دیجیے گا۔,آپ کی مہربانی، فی الحال تو سب ٹھیک ہے، لیکن ضرورت پڑی تو ضرور بتاؤں گا۔,"""کیا آپ کو مدد کی ضرورت ہے؟""
'''
Answer: ""اگر کسی چیز کی ضرورت ہو تو بے تکلف بتا دی",0.0,0.75,1.0
Qalb-1.0-8B-Instruct,,Low,,میں تمہارے ساتھ ہوں، فکر مت کرو۔,یار، تمہارا ساتھ ہونا ہی حوصلہ دیتا ہے۔,"""تمہاری مدد کرنے کے لئے میں یہاں ہوں۔""
'''
### 2",0.0938,0.75,0.9062
Qalb-1.0-8B-Instruct,,Low,,یار، کل ایک فنکشن ہے، تم بھی ساتھ چلو۔,ہاں یار، اگر کوئی ضروری کام نہ نکلا تو میں ضرور چلوں گا۔,"""کل کو ایک فنکشن ہے، تم بھی آؤ گے؟""
'''
Answer: ""جی ہاں، مجھ�",0.0,0.75,1.0
Qwen2.5-7B-Instruct,,High,,چھوڑو، میں کر دیتی ہوں، تم کافی تھک گئے ہو۔,امی، آپ زحمت نہ کریں، میں کر لوں گا، بس تھوڑا سا کام باقی ہے۔,میری والدہ، تم نے مجھ سے کتنا آرام دینا چاہا تھا، میں صرف کچھ کام,0.0312,0.75,0.9688
Qwen2.5-7B-Instruct,,High,,ابا جی، اگر آپ مصروف نہ ہوں تو آپ سے ایک بات کرنی تھی۔,جی بیٹا، کہو میں سن رہا ہوں۔,ابا جی، میری خواہش یہ ہے کہ آپ مجھ سے پہلے بات کرتے ہوں۔,0.0,0.75,1.0
GPT-4o-mini,,Medium,,مجھے خوشی ہے کہ میں وقت پر آپ کی مدد کر سکا۔,آپ کا بہت شکریہ، آپ کی بروقت مدد میرے بہت کام آئی۔,"""آپ کی مدد کرنا میرے لیے خوشی کی بات ہے۔ ہم سب کو ایک دوسرے کا ساتھ دینا چاہیے۔""",0.0625,0.75,0.9375
Meta-Llama-3.1-8B-Instruct,,Low,,یار، یہ ایک چھوٹی سی چیز تمہارے لیے لایا ہوں، رکھ لو۔,ارے یار! تم خود ملنے آ گئے میرے لیے یہی بہت تھا، اس تکلف کی کیا ضرورت تھی۔,"""نہیں نہیں، بھلا کر دو، میں نے تو بس تھوڑا سا کچن ل",0.0312,0.625,0.9688
Meta-Llama-3.1-8B-Instruct,,Medium,,آج آپ میرے مہمان ہیں، بل کی فکر نہ کریں۔,سر، آپ کی عنایت ہے، لیکن آپ نے پہلے ہی بہت وقت دیا، مجھے بھی کچھ خدمت کا موقع دیجیے۔,استاد صاحب، آپ کو بہت معاف کیا جاتا ہے لیکن مجھے یقین ہے کہ آپ,0.0,0.625,1.0
Meta-Llama-3.1-8B-Instruct,,High,,بل مجھے دے دو، میں ادا کر دیتا ہوں۔,ابو، آپ کا خیال اپنی جگہ، لیکن اس بار مجھے موقع دیجیے۔,"""نہیں نانا، یہ تو میرا پیسہ ہے، تم کو کیا لاجشگت ہ�",0.0,0.625,1.0
Qwen2.5-7B-Instruct,,High,,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,میں بھی آئے گا، مامو سان।,0.0312,0.625,0.9688
GPT-4o-mini,,Medium,,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,"""بہت شکریہ، یہ واقعی بہت مہربانی ہے۔""",0.0,0.5,1.0
GPT-4o-mini,,Medium,,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,"""بہت مہربانی، اگر آپ کچھ پھل لے آئیں تو بہت اچھا ہوگا۔""",0.125,0.375,0.875
