Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response
Urdu,Refusing Offers,بڑے بھائی کا دوست,چھوٹا بھائی,Low,Informal,Polite refusal,Neutral,اگر کہو تو میں تمہیں گھر چھوڑ دیتا ہوں۔,آپ کے بڑے بھائی کا دوست آپ کو موٹر سائیکل پر گھر چھوڑنے کی پیشکش کرتا ہے، لیکن آپ نے پہلے ہی اپنے دوست کے ساتھ واپس جانے کا پروگرام بنا لیا ہے۔,بھائی، میں اپنے دوست کے ساتھ چلا جاؤں گا، آپ فکر نہ کریں۔
Urdu,Invitation to a Meal,محلے کی آنٹی,پڑوس کی لڑکی,High,Formal,Apologetic refusal,Negative,بیٹا، آج شام کھانے پر ضرور آنا۔,محلے کی آنٹی شام کو اپنے گھر کھانے کی دعوت دیتی ہیں۔ آپ کی پہلے سے ایک خاندانی مصروفیت ہے۔,آنٹی، معذرت چاہتی ہوں، میں مصروفیت کی وجہ سے نہیں آ سکوں گی۔
Urdu,Declining Gifts,سینئر ساتھی,جونیئر ساتھی,Medium,Formal,Deferential refusal,Neutral,اس کامیابی کے موقع پر میری طرف سے تمہارے لیے ایک تحفہ بنتا ہے۔,کامیاب منصوبہ مکمل ہونے پر آپ کے سینئر ساتھی خوشی کے اظہار کے طور پر آپ کو ایک قیمتی تحفہ دینا چاہتے ہیں۔,سر، اس سب کی ضرورت نہیں، بس آپ کی رہنمائی ہی میرے لیے کافی ہے۔
Urdu,Receiving Gifts,قریبی دوست,قریبی دوست,Low,Informal,Humble gratitude,Positive,یہ میری طرف سے تمہارے لیے سالگرہ کا تحفہ ہے۔,آپ کی سالگرہ پر آپ کا قریبی دوست آپ کے لیے ایک تحفہ لے کر آیا ہے۔,ارے یار، تم آ گئے، میرے لیے یہی یہی کافی تھا۔
Urdu,Offering Help,پھوپھی,بھتیجی,High,Formal,Respectful refusal,Neutral,لاؤ بیٹا، میں تمہاری کچھ مدد کر دیتی ہوں۔,عید کی تیاریوں میں مصروف آپ مختلف کام ایک ساتھ سنبھال رہی ہے۔ اس بوجھ  کو کم کرنے کے لیےآپ کی پھوپھو مدد کرنا چاہتی ہیں۔,پھوپھو جان، میں سارا کام سنبھال لوں گی، آپ بس آرام کریں۔
Urdu,Paying for a Meal,سینئر ساتھی,جونیئر ساتھی,Medium,Formal,Reciprocal insistence,Positive,کامیابی کی خوشی میں آج کا کھانا میری طرف سے ہے۔,کامیاب منصوبہ مکمل ہونے پر آپ اپنے سینئر ساتھی کے ساتھ کھانا کھانے آئے ہیں۔ کھانے کے بعد آپ کے سینئر چاہتے ہیں کہ اس بار بل وہی ادا کریں۔,سر، آپ کی مہربانی اپنی جگہ، مگر آج مجھے یہ موقع دیجیے۔ آج کی کامیابی کی خوشی میں کھانے کا بل میں ہی ادا کروں گا۔
Urdu,Respect for Elders,قریبی دوست,قریبی دوست,Low,Informal,Reciprocal cooperation,Positive,یار، بس اب کافی ہو گیا، کچھ دیر آرام کر لے۔ باقی سامان میں اٹھا لیتا ہوں۔,آپ اپنے قریبی دوست کے ساتھ سفر کر رہے ہیں اور کافی دیر سے سامان اٹھائے ہوئے ہیں۔ آپ کا دوست چاہتا ہے کہ آپ کچھ دیر آرام کریں اور باقی سامان وہ خود اٹھا لے۔,شکریہ یار، تمہاری بہت مہربانی۔ چلو، تھوڑی دیر تم اٹھا لو، پھر آگے میں سنبھال لوں گا۔
Urdu,Family Obligations & Requests,والدہ,بیٹی,High,Formal,Cooperative compliance,Positive,بیٹی، ذرا آ جاؤ، مہمانوں کی آمد سے پہلے کچھ کام باقی ہیں، میرے ساتھ ہاتھ بٹا دو۔,آپ کے گھر میں مہمان آنے والے ہیں اور ابھی کچھ تیاری باقی ہے۔ آپ کی والدہ چاہتی ہیں کہ آپ گھر کے کاموں میں ان کا ہاتھ بٹائیں تاکہ تمام تیاریاں وقت پر مکمل ہو جائیں۔,جی امی، ابھی آئی۔ آپ فکر نہ کریں، ہم مل کر سب کام جلدی مکمل کر لیتے ہیں۔
Urdu,Handling Criticism & Disagreements,سینئر ساتھی,جونیئر ساتھی,Medium,Formal,Constructive acceptance,Positive,اس رپورٹ کے کچھ حصے ہمارے معیار کے مطابق نہیں ہیں۔,آپ کی تیار کردہ رپورٹ کا جائزہ لیا جا رہا ہے۔ آپ کے سینئر ساتھی نے رپورٹ میں چند اہم خامیوں کی نشاندہی کی ہے۔,آپ کی نشاندہی کا شکریہ۔ میں آپ کی تجاویز کے مطابق ان حصوں پر دوبارہ کام کرتا ہوں تاکہ حتمی رپورٹ بہتر معیار کی ہو۔
Urdu,Invitation to Celebrations,قریبی دوست,قریبی دوست,Low,Informal,Warm acceptance,Positive,یار، میں نے ایک چھوٹی سی دعوت رکھی ہے۔ تم ضرور آنا۔,آپ کے قریبی دوست نے اپنے نئے گھر میں منتقل ہونے کی خوشی میں ایک مختصر دعوت کا اہتمام کیا ہے۔ وہ چاہتے ہیں کہ آپ بھی اس خوشی میں ضرور شریک ہوں، اس لیے وہ آپ کو دعوت دینا چاہتے ہیں۔,بہت مبارک ہو۔ ان شاء اللہ میں ضرور آؤں گا۔
