ID,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,"'''
You are a guest at a dinner party. The host offers you more salt during the meal.

""May I bring you some more salt? It's still quite warm.""
'''",,,,,,,"""شکر ہوگا، بہت اچھا ہوا۔ کیا یہ پاپادوم کا ساگ ہ",,,,,,,لطفی ہے، بھائی صرف نظر رکھیں۔,,,,,,,"""بہت شکریہ، یہ تو بہت مزیدار لگ رہا ہے!""",,,,,,
2,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,"'''
Answer: ""جی ہاں، براہ مہربانی."" (Yes, please.)
'''
Answer: ""جی ہاں، بر",,,,,,,"""جی، بہت اچھا، میں نے اسے پیٹر کیا ہے، لطف کراؤ!""",,,,,,,"""جی، ضرور! مزید چائے بہت اچھی رہے گی، شکریہ!""",,,,,,,میری طرف سے بس شکریہ، لیکن آپ نے بھی صحت سے پینے کیلئے جا,,,,,,
3,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,"""نہیں، شکریہ امی، میں نے کافی کھا لیا ہے۔""",,,,,,,"'''
You are sitting at the dinner table in your home. During meal time, your aunt offers you more bread.",,,,,,,"""ساسی جان، پانی پی جائے تو بہت اچھا ہوگا۔""",,,,,,,میری ساس نے میں نے دو روٹیں بھی پیچھی لیں۔,,,,,,
4,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,"""شکر ہوگا، لیکن مجھے یقین نہیں ہے کہ میں اسے پ",,,,,,,"'''
'''
'''",,,,,,,"""بہت شکریہ، آپ کی مہربانی ہے۔ میں اس کتاب کو بہت اہمیت دوں گا۔""",,,,,,,میں نے کتاب کو لی چکی ہے، میری کہانی آئے گی۔,,,,,,
5,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,"""شکر ہوگا، بہت اچھا تھا۔""",,,,,,,"'''
You are a guest at a dinner party. After the meal, the host offers you more sweets.

""Please take some more sweets.""
'''
'''
''",,,,,,,"""بہت شکریہ! میں ضرور لوں گا۔""",,,,,,,میں نے بھی تیری سماجاتری کیا جانتا ہوا۔ لے جائے گا۔,,,,,,
6,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,میری بھی تیاری کیلئے اضافی وقت کی نیاز ہوتی ہے، آپ کی مدد کرت,,,,,,,"""شکریہ استاد، مجھے کچھ سوالات ہیں جن پر میں مزید وضاحت چاہوں گا۔""",,,,,,,کچھ حصے بہت اچھے ہیں، لیکن اگر آپ کو کسی خاص حصے میں difficulty ہو,,,,,,,"'''
The teacher is offering supplementary guidance after completing the lesson.",,,,,,
7,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""خالہ، آپ کی پیشکش کا شکریہ، لیکن مجھے آج ہی واپس جانا ہے۔""",,,,,,,"""نہیں خالہ جان، مجھے ابھی بہت کام ہے، میں جلد چلا جا�",,,,,,,,,,,,,,میری محبوب خالہ نے میں کہا ہے رات یہیں رک جائیں، صبح چلے,,,,,,
8,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,میں بس اسے بات کر رہا ہوں، آپ کیا کہنا چاہتا ہے؟,,,,,,,بہت شکریہ! اگر آپ جا رہے ہیں تو مجھے کچھ دودھ اور روٹی لے آئیں گے۔,,,,,,,"""نہیں، آپ کو ضرورت نہیں ہے، میرے پاس بکھرے ہوئ�",,,,,,,"'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''",,,,,,
9,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,"""ہاں، کیوں نہیں! کون سی گیم کھیلیں؟""",,,,,,,"'''
# generate a natural Urdu response
import random

def generate_utterance(situation):
    # define situations and corresponding responses
    situations = {
        ""You are spending time with your",,,,,,,"""بہت اچھا! میں بھی تیار ہوں، کون سی گیم ہے؟""",,,,,,,چل یار، ایک اور گیم کھیل لیتے ہیں۔,,,,,,
10,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,میں نے اسے بھی رکھ لیا ہے، کیونکہ میں بھی کئی زمانے تک,,,,,,,"""نہیں ماموں، آپ کی محبت ہی کافی ہے، مجھے اس کی ضرورت نہیں ہے۔""",,,,,,,"""جی، ابھی تو میں نے کچھ کام کر لیا ہے اور ایک چھوٹا سا احاطہ",,,,,,,"'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''
'''",,,,,,
