Scenario_ID,Candidate,Candidates,Mean_Relational_Alignment,Mean_Indirectness,Mean_Facesaving,Mean_Cultural_Appropriateness,Mean_Directness_Threat,Mean_Hierarchy_Violation,CAS,FTV,Gold_Candidate,Is_Gold
1,A,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
1,B,نہیں، مجھے اور نہیں چاہیے۔ میں پہلے ہی کافی کھا چکا ہوں۔,1.5,1.5,1.5,1.0,2.0,0.0,0.3438,0.25,A,False
1,C,سالن مزیدار ہے، لیکن اب میں مزید نہیں لے سکتا۔,2.0,2.0,2.0,2.0,1.0,0.0,0.5,0.125,A,False
2,A,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3.0,4.0,4.0,4.0,0.0,0.0,0.9375,0.0,A,True
2,B,نہیں یار، بس بہت ہو گئی، اب چھوڑو۔,1.5,1.5,1.5,1.5,1.5,0.0,0.375,0.1875,A,False
2,C,نہیں یار، مت بناؤ، میں مزید چائے نہیں پیوں گا۔,1.5,1.5,1.5,1.5,1.5,0.0,0.375,0.1875,A,False
3,A,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
3,B,نہیں امی، مجھے نہیں چاہیے، آپ بار بار کیوں کہہ رہی ہیں؟,1.0,1.0,1.0,0.0,2.0,0.5,0.1875,0.3125,A,False
3,C,نہیں امی جان، اب مزید روٹی نہیں چاہیے۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
4,A,آپ کو زحمت ہوگی، میں نے ٹیکسی بک کر لی ہے، وہ بس آنے ہی والی ہے۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
4,B,نہیں، مجھے آپ کے ساتھ نہیں جانا، میں اپنی گاڑی سے چلا جاؤں گا۔,1.0,1.0,1.0,0.0,2.0,0.0,0.1875,0.25,A,False
4,C,جی، شکریہ، مگر میں نے اپنی سواری کا انتظام کر لیا ہے۔,1.5,1.5,1.5,1.5,1.5,0.0,0.375,0.1875,A,False
5,A,سر، میری رپورٹ مکمل ہونے والی ہے۔ آپ کی مدد کا بہت شکریہ۔,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,A,True
5,B,نہیں سر، میں خود کر لوں گا۔ آپ کو یہ کرنے کی ضرورت نہیں ہے۔,1.0,1.0,1.0,1.0,2.0,1.0,0.25,0.375,A,False
5,C,نہیں سر، شکریہ، میں اپنی رپورٹ خود مکمل کر لوں گا۔,1.0,1.0,1.0,1.0,2.0,0.0,0.25,0.25,A,False
6,A,بھائی، میں اپنے دوست کے ساتھ چلا جاؤں گا، آپ فکر نہ کریں۔,3.5,3.0,4.0,4.0,0.0,0.0,0.9062,0.0,A,True
6,B,نہیں بھائی، میں آپ کے ساتھ نہیں جاؤں گا۔ میرا دوست مجھے لے جائے گا۔,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.125,A,False
6,C,نہیں بھائی، میں نے دوست کے ساتھ جانے کا پروگرام بنایا ہوا ہے۔,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.125,A,False
7,A,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,4.0,3.5,4.0,4.0,0.0,0.0,0.9688,0.0,A,True
7,B,نہیں، مجھے اس کتاب کی ضرورت نہیں، آپ اپنے پاس ہی رکھیں۔,1.0,1.0,1.0,0.0,2.0,2.0,0.1875,0.5,A,False
