ID,Model,Topic,Power_Distance,Register,Sensitivity,CAS,FTV,Bias,model_Relational_Alignment,model_Indirectness,model_Facesaving,model_Cultural_Appropriateness,model_Directness_Threat,model_Hierarchy_Violation,gold_Relational_Alignment,gold_Indirectness,gold_Facesaving,gold_Cultural_Appropriateness,gold_Directness_Threat,gold_Hierarchy_Violation
1.0,Qalb-1.0-8B-Instruct,,Medium,,,0.5,0.125,0.5,2.0,2.0,2.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0
1.0,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
1.0,Qwen2.5-7B-Instruct,,Medium,,,0.4375,0.0,0.5625,2.0,2.0,2.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
2.0,Qwen2.5-7B-Instruct,,Low,,,0.5,0.0,0.5,2.0,2.0,2.0,1.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
2.0,Qalb-1.0-8B-Instruct,,Low,,,0.5,0.0,0.5,2.0,2.0,2.0,1.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
2.0,Meta-Llama-3.1-8B-Instruct,,Low,,,0.4375,0.0,0.5625,2.0,1.0,2.0,1.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
3.0,Meta-Llama-3.1-8B-Instruct,,High,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
3.0,Qalb-1.0-8B-Instruct,,High,,,0.5,0.125,0.5,2.0,2.0,2.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0
3.0,Qwen2.5-7B-Instruct,,High,,,0.1875,0.125,0.8125,1.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0
4.0,Qalb-1.0-8B-Instruct,,High,,,0.7188,0.125,0.2812,2.0,3.0,3.0,2.0,0.0,1.0,3.0,3.5,4.0,4.0,0.0,0.0
4.0,Qwen2.5-7B-Instruct,,High,,,0.5938,0.0,0.4062,2.0,2.0,2.0,2.0,0.0,0.0,3.0,3.5,4.0,4.0,0.0,0.0
4.0,Meta-Llama-3.1-8B-Instruct,,High,,,0.5938,0.125,0.4062,2.0,2.0,2.0,2.0,0.0,1.0,3.0,3.5,4.0,4.0,0.0,0.0
5.0,Qalb-1.0-8B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
5.0,Qwen2.5-7B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
5.0,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.6875,0.0,0.3125,3.0,3.0,3.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
6.0,Qwen2.5-7B-Instruct,,Medium,,,0.625,0.0,0.375,2.0,2.0,2.0,2.0,0.0,0.0,3.0,3.5,3.5,4.0,0.0,0.0
6.0,Qalb-1.0-8B-Instruct,,Medium,,,0.875,0.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.5,3.5,4.0,0.0,0.0
6.0,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.875,0.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.5,3.5,4.0,0.0,0.0
7.0,Qalb-1.0-8B-Instruct,,High,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
7.0,Meta-Llama-3.1-8B-Instruct,,High,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
7.0,Qwen2.5-7B-Instruct,,High,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
8.0,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.9062,0.0,0.0938,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.5,4.0,0.0,0.0
8.0,Qwen2.5-7B-Instruct,,Medium,,,0.6562,0.125,0.3438,2.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0,3.5,4.0,0.0,0.0
8.0,Qalb-1.0-8B-Instruct,,Medium,,,0.8438,0.0,0.1562,3.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,3.5,4.0,0.0,0.0
9.0,Qwen2.5-7B-Instruct,,Low,,,0.5625,0.0,0.4375,2.0,2.0,2.0,2.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
9.0,Qalb-1.0-8B-Instruct,,Low,,,0.8125,0.0,0.1875,3.0,3.0,3.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
9.0,Meta-Llama-3.1-8B-Instruct,,Low,,,0.8125,0.0,0.1875,3.0,3.0,3.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
10.0,Meta-Llama-3.1-8B-Instruct,,High,,,0.875,0.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.5,3.5,4.0,0.0,0.0
10.0,Qwen2.5-7B-Instruct,,High,,,0.625,0.0,0.375,2.0,2.0,2.0,2.0,0.0,0.0,3.0,3.5,3.5,4.0,0.0,0.0
10.0,Qalb-1.0-8B-Instruct,,High,,,0.875,0.0,0.125,4.0,4.0,4.0,4.0,0.0,0.0,3.0,3.5,3.5,4.0,0.0,0.0
11.0,Qalb-1.0-8B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
11.0,Qwen2.5-7B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
11.0,Meta-Llama-3.1-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
12.0,Qwen2.5-7B-Instruct,,Low,,,0.5938,0.0,0.4062,2.0,2.0,2.0,2.0,0.0,0.0,3.0,3.5,4.0,4.0,0.0,0.0
12.0,Qalb-1.0-8B-Instruct,,Low,,,0.8438,0.0,0.1562,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.5,4.0,4.0,0.0,0.0
12.0,Meta-Llama-3.1-8B-Instruct,,Low,,,0.7812,0.0,0.2188,3.0,3.0,3.0,2.0,0.0,0.0,3.0,3.5,4.0,4.0,0.0,0.0
13.0,Meta-Llama-3.1-8B-Instruct,,High,,,0.75,0.125,0.25,3.0,3.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0
13.0,Qwen2.5-7B-Instruct,,High,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
