Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qalb-1.0-8B-Instruct,,,,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,"'''
You are sitting at the dinner table in your home. During meal time, your aunt offers you more br",0.0,0.75,1.0
Qalb-1.0-8B-Instruct,,,,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,"'''
You are a guest at a dinner party. After the meal, the host offers you more sweets.

""Please tak",0.0,0.75,1.0
Qalb-1.0-8B-Instruct,,,,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,"'''
The teacher is offering supplementary guidance after completing the lesson.",0.0938,0.75,0.9062
Meta-Llama-3.1-8B-Instruct,,,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""جی، بہت اچھا، میں نے اسے پیٹر کیا ہے، لطف کراؤ!""",0.0625,0.75,0.9375
Meta-Llama-3.1-8B-Instruct,,,,بیٹی، ذرا یہ سامان اندر رکھ دو۔,جی اماں جی، ابھی اندر رکھ دیتی ہوں۔,"""جی امما، آج کیا کر رہی ہو؟ کتنے سامان لائے ہو?""",0.0312,0.75,0.9688
Meta-Llama-3.1-8B-Instruct,,,,میں ہمیشہ تمہاری کامیابی اور بھلائی کے لیے دعا کرتا ہوں۔,اللہ آپ کو جزائے خیر دے، آپ کی دعائیں میرے لیے بہت قیمتی ہیں۔,"""شکر ہوے، میرے بھائی! میں بھی تم پر دعائیاں کرتا ہوں",0.0,0.75,1.0
Qwen2.5-7B-Instruct,,,,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,میری ساس نے میں نے دو روٹیں بھی پیچھی لیں۔,0.0,0.75,1.0
Qwen2.5-7B-Instruct,,,,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,میں نے کتاب کو لی چکی ہے، میری کہانی آئے گی۔,0.0625,0.75,0.9375
Qwen2.5-7B-Instruct,,,,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,میں نے بھی تیری سماجاتری کیا جانتا ہوا۔ لے جائے گا۔,0.0,0.75,1.0
GPT-4o-mini,,,,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,بہت شکریہ! اگر آپ جا رہے ہیں تو مجھے کچھ دودھ اور روٹی لے آئیں گے۔,0.3125,0.5,0.6875
GPT-4o-mini,,,,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,"""جی، براہ کرم، تھوڑی اور چائے دے دیں۔""",0.1875,0.5,0.8125
GPT-4o-mini,,,,بھابھی، یہ شال آپ کے لیے لائی ہوں۔,تم نے میرے لیے سوچا، یہی میرے لیے خوشی کی بات ہے، اتنا تکلف نہ کرتی۔,"""واہ، بہت شکریہ بھابھی! یہ بہت خوبصورت ہے۔""",0.4062,0.5,0.5938
