ID,Model,Topic,Power_Distance,Register,Sensitivity,CAS,FTV,Bias,model_Relational_Alignment,model_Indirectness,model_Facesaving,model_Cultural_Appropriateness,model_Directness_Threat,model_Hierarchy_Violation,gold_Relational_Alignment,gold_Indirectness,gold_Facesaving,gold_Cultural_Appropriateness,gold_Directness_Threat,gold_Hierarchy_Violation
2,Qalb-1.0-8B-Instruct,,Low,,,0.75,0.0,0.25,3.0,2.0,3.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
2,Meta-Llama-3.1-8B-Instruct,,Low,,,0.8125,0.0,0.1875,3.0,3.0,3.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
2,Qwen2.5-7B-Instruct,,Low,,,0.875,0.0,0.125,2.0,4.0,4.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
9,Qwen2.5-7B-Instruct,,Low,,,0.625,0.0,0.375,3.0,2.0,2.0,2.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
9,Qalb-1.0-8B-Instruct,,Low,,,0.9375,0.0,0.0625,4.0,4.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
9,Meta-Llama-3.1-8B-Instruct,,Low,,,0.75,0.0,0.25,3.0,2.0,3.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
14,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.9375,0.0,0.0625,4.0,4.0,4.0,4.0,0.0,0.0,4.0,3.5,3.5,4.0,0.0,0.0
14,Qalb-1.0-8B-Instruct,,Medium,,,0.9375,0.0,0.0625,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.5,3.5,4.0,0.0,0.0
14,Qwen2.5-7B-Instruct,,Medium,,,0.4375,0.0,0.5625,2.0,1.0,2.0,1.0,0.0,0.0,4.0,3.5,3.5,4.0,0.0,0.0
15,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
15,Qwen2.5-7B-Instruct,,High,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
15,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
21,Qalb-1.0-8B-Instruct,,Low,,,0.8125,0.0,0.1875,4.0,4.0,4.0,4.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,0.0
21,Qwen2.5-7B-Instruct,,Low,,,0.9375,0.0,0.0625,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,0.0
21,Meta-Llama-3.1-8B-Instruct,,Low,,,0.8125,0.0,0.1875,4.0,4.0,4.0,4.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,0.0
22,Qwen2.5-7B-Instruct,,Medium,,,0.6875,0.0,0.3125,3.0,2.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
22,Qalb-1.0-8B-Instruct,,Medium,,,0.75,0.0,0.25,3.0,3.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
22,Meta-Llama-3.1-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
24,Qalb-1.0-8B-Instruct,,Medium,,,0.9375,0.0,0.0625,4.0,4.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
24,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.9375,0.0,0.0625,4.0,4.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
24,Qwen2.5-7B-Instruct,,Medium,,,0.6875,0.0,0.3125,3.0,2.0,3.0,2.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
35,Meta-Llama-3.1-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
35,Qwen2.5-7B-Instruct,,Medium,,,0.5,0.125,0.5,2.0,2.0,2.0,2.0,0.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0
35,Qalb-1.0-8B-Instruct,,Medium,,,0.9375,0.0,0.0625,4.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
40,Qwen2.5-7B-Instruct,,High,,,0.4375,0.0,0.5625,2.0,1.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
40,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
40,Meta-Llama-3.1-8B-Instruct,,High,,,0.6875,0.0,0.3125,3.0,2.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
41,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.875,0.0,0.125,4.0,4.0,4.0,4.0,0.0,0.0,4.0,3.0,3.0,4.0,0.0,0.0
41,Qwen2.5-7B-Instruct,,Medium,,,0.5625,0.125,0.4375,2.0,1.0,2.0,2.0,0.0,1.0,4.0,3.0,3.0,4.0,0.0,0.0
41,Qalb-1.0-8B-Instruct,,Medium,,,0.9375,0.0,0.0625,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,3.0,4.0,0.0,0.0
44,Qalb-1.0-8B-Instruct,,High,,,0.9375,0.0,0.0625,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,3.0,4.0,0.0,0.0
44,Qwen2.5-7B-Instruct,,High,,,0.9375,0.0,0.0625,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,3.0,4.0,0.0,0.0
44,Meta-Llama-3.1-8B-Instruct,,High,,,0.9375,0.0,0.0625,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,3.0,4.0,0.0,0.0
45,Qwen2.5-7B-Instruct,,High,,,0.75,0.125,0.25,3.0,3.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0
45,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
45,Meta-Llama-3.1-8B-Instruct,,High,,,0.9375,0.125,0.0625,4.0,3.0,4.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0
48,Meta-Llama-3.1-8B-Instruct,,High,,,0.875,0.0,0.125,3.0,3.0,3.0,3.0,0.0,0.0,4.0,3.0,3.0,4.0,0.0,0.0
48,Qwen2.5-7B-Instruct,,High,,,0.9375,0.0,0.0625,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,3.0,4.0,0.0,0.0
48,Qalb-1.0-8B-Instruct,,High,,,0.9375,0.0,0.0625,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,3.0,4.0,0.0,0.0
49,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
49,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
49,Qalb-1.0-8B-Instruct,,High,,,0.8125,0.0,0.1875,3.0,3.0,3.0,3.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
50,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.875,0.0,0.125,4.0,3.0,4.0,4.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,0.0
50,Qwen2.5-7B-Instruct,,Medium,,,0.4375,0.0,0.5625,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,0.0
50,Qalb-1.0-8B-Instruct,,Medium,,,0.875,0.0,0.125,4.0,3.0,4.0,4.0,0.0,0.0,3.0,3.0,3.0,4.0,0.0,0.0
51,Meta-Llama-3.1-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
51,Qalb-1.0-8B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
51,Qwen2.5-7B-Instruct,,Medium,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
53,Qwen2.5-7B-Instruct,,High,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
53,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
53,Meta-Llama-3.1-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
54,Qwen2.5-7B-Instruct,,Low,,,0.9375,0.0,0.0625,4.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
54,Meta-Llama-3.1-8B-Instruct,,Low,,,0.9375,0.0,0.0625,4.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
54,Qalb-1.0-8B-Instruct,,Low,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
55,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0,0.0,0.0
