ID,Model,Topic,Power_Distance,Register,Sensitivity,CAS,FTV,Bias,model_Relational_Alignment,model_Indirectness,model_Facesaving,model_Cultural_Appropriateness,model_Directness_Threat,model_Hierarchy_Violation,gold_Relational_Alignment,gold_Indirectness,gold_Facesaving,gold_Cultural_Appropriateness,gold_Directness_Threat,gold_Hierarchy_Violation
2.0,Qalb-1.0-8B-Instruct,,Low,,,1.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
2.0,Meta-Llama-3.1-8B-Instruct,,Low,,,1.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
2.0,Qwen2.5-7B-Instruct,,Low,,,0.3125,0.0,0.6875,1.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
9.0,Qwen2.5-7B-Instruct,,Low,,,0.8125,0.0,0.1875,3.0,3.0,3.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
9.0,Qalb-1.0-8B-Instruct,,Low,,,0.8125,0.0,0.1875,3.0,3.0,3.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
9.0,Meta-Llama-3.1-8B-Instruct,,Low,,,0.3125,0.0,0.6875,1.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0
14.0,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.9375,0.0,0.0625,4.0,4.0,4.0,4.0,0.0,0.0,4.0,3.5,3.5,4.0,0.0,0.0
14.0,Qalb-1.0-8B-Instruct,,Medium,,,0.9375,0.0,0.0625,4.0,4.0,4.0,4.0,0.0,0.0,4.0,3.5,3.5,4.0,0.0,0.0
14.0,Qwen2.5-7B-Instruct,,Medium,,,0.9375,0.0,0.0625,4.0,3.0,4.0,4.0,0.0,0.0,4.0,3.5,3.5,4.0,0.0,0.0
15.0,Qalb-1.0-8B-Instruct,,High,,,1.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0
