ID,Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Gold Response,Qwen_Response,LLaMA_Response,Qalb_Response
1,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Gratitude + indirect refusal,Positive,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,دعوت میں آپ نے بسٹ ریسٹوران میں زحمت کر لی جانے والی سالن پیش ک,جی میزبان جان، ابھی اتنا زیادہ نہیں پلا دینا پڑے گا۔,سر، بہت شکریہ، مگر ابھی اتنا گرم نہیں ہے، میں اپنا کھانا مک
2,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Polite refusal,Negative,اور چائے بنوا دوں؟,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,ٹھیک ہے، آؤ مل کر چائے بناوں گا۔,ٹھیک ہے، پھر ایک کップ بھی بنوا دیتا ہوں۔,ضرور، آؤ مل کر چائے بنلاتے ہیں۔ اس سے تمہیں ٹھیک ہ
3,Urdu,Refusing Offers,ساس,بہو,High,Formal,Deferential refusal,Positive,بیٹا، اور روٹی لے لو۔,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,ساجی، یہ بہت چاہیے ہے، یہ بیٹے کی لائی جانے والی ہے,جی ساس جان، ان شاء اللہ اب کافی ہوں گی۔ آپ کی بہت مہربانی، پھر اس سب,سسر، اس بارے میں فکر نہ کریں، میں بالکل اچھا ہوں۔ روٹی ل�
4,Urdu,Refusing Offers,بزرگ,نوجوان,High,Formal,Respectful hesitation,Positive,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,"جی ]={
آپ کی بہت پیش کر liar، یہ کتاب میرے لیے اہم ہوگی۔",سر، آپ کی بہت مہربانی، لیکن اس کتاب کا بہت قیمتی ہوں گا، اسے می,سر، بہت شکریہ، لیکن میرے لیے ابھی اتنا کام باقی نہیں ہے،
5,Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Face-saving refusal,Negative,اور میٹھا لے لیجیے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,دعوت کی بہت شکریہ، مگر ابھی تک بیٹھ لوں گا، آنے والے کچھ,جی میزبان، آپ کی بہت مہربانی، یہ تو اتنا ہی لے لوں گا۔,ضرور، شکریہ! اب تو لگ رہا ہے مفت کا آنا جا رہا ہوں۔
6,Urdu,Refusing Offers,استاد,طالب علم,Medium,Formal,Careful refusal,Neutral,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,سر، بہت شکریہ، لیکن ابھی صرف اتنا مفت کا وضاحت میں دست چلانا,جی سر، آپ کی بہت مہربانی، اب تک ٹھیک ہے، آپ کی رہنمائی پر بہت شک,سر، بہت شکریہ، مگر ابھی اتنا سامنہ نہیں ہوا۔ میں مزید تلاش
7,Urdu,Refusing Offers,خالہ,بھانجا,High,Formal,Respectful refusal,Negative,رات یہیں رک جاؤ، صبح چلے جانا۔,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,الحمدللہ بخالہ، ابھی صبح ہے، یہ دل کا سفر زحمت ہوگی۔,خالہ جان، آپ کی بہت مہربانی، لیکن ابھی اتنا समय باقی نہیں ہے�,خالہ، شکریہ، لیکن میں بالکل ٹھیک ہوں، آپ فکر نہ کریں۔ ابھ
8,Urdu,Refusing Offers,پڑوسی,پڑوسی,Medium,Formal,Indirect refusal,Neutral,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,جی سر، بہت شکریہ۔ ابھی صبح تھی پر میں ابھی خرجی رہنے د,جی، شکریہ، مگر ابھی اتنا کام نہیں ہوں گا۔,ضرور، شکریہ! اگر اور بھی آپ چاہیں گے تو میں لے آتا ہوں
9,Urdu,Refusing Offers,دوست,دوست,Low,Informal,Light refusal,Neutral,چل یار، ایک اور گیم کھیل لیتے ہیں۔,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,ٹھیک ہے یار، ابھی تک خوشی میں رہاہے، ایک بار ا�ٹے کھ,ٹھیک ہے، اس سے پہلے آؤٹ لگ جائیے گا۔,"ٹھیک ہے yar, آؤ ایک اور گیم کھیل لیتے ہیں۔ اس بار تو میں ج"
10,Urdu,Refusing Offers,ماموں,بھانجی,High,Formal,Deference,Negative,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,ٹھیک ہے مامہ، ابھی صرف رقم رکھ لوں گا۔ کبھی ضرورت پڑ سکتا,جی ماما جان، ان شاء اللہ ضرورت پڑنے پر رکھ لوں گا۔ آپ کی دعائیں کا ب�,ماموں جان، شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔ میں بالکل ٹھیک
