Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qalb-1.0-8B-Instruct,,High,,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,"""ساسی جان، بہت شکریہ، مگر مجھے اس کی تکلیف نہیں کرنی چاہی۔",0.7812,0.125,0.2188
Qalb-1.0-8B-Instruct,,High,,یہ کپڑے تمہارے لیے لائی ہوں۔,امی جان، آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,"""ساسی، بہت شکریہ، لیکن مجھے اس کے علاوہ کچھ نہیں چا�",0.8438,0.125,0.1562
Qalb-1.0-8B-Instruct,,High,,یہ تمہارے لیے تحفہ ہے۔,ماموں جان، آپ نے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,"""ابو جان، آپ کی دعائیں ہی میرے لیے کافی ہیں، مجھے اس کے ع",0.8125,0.125,0.1875
Meta-Llama-3.1-8B-Instruct,,High,,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,"""جی ساسی، آپ کی محبت کا بہت شکریہ، لیکن میں کافی کھا چکا ہوں۔",1.0,0.125,0.0
Meta-Llama-3.1-8B-Instruct,,High,,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,"""جی ساسی، آپ کی محبت کا بہت شکریہ، لیکن یہ چوڑیاں میرے لیے ک",0.7812,0.125,0.2188
Meta-Llama-3.1-8B-Instruct,,Medium,,بھابھی، یہ شال آپ کے لیے لائی ہوں۔,تم نے میرے لیے سوچا، یہی میرے لیے خوشی کی بات ہے، اتنا تکلف نہ کرتی۔,"""جی بھابھی جان، آپ کی محبت کا بہت شکریہ، یہ شال بہت خوبصورت ہ�",0.7812,0.125,0.2188
Qwen2.5-7B-Instruct,,Low,,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,"""ٹھیک ہے، بیٹا! کیا آپ کو کوئی میچ نہیں چاہا؟""",0.5625,0.125,0.4375
Qwen2.5-7B-Instruct,,High,,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,"""جی دیوی، میں ضرور آں گا، بہت شکریہ۔""",0.7812,0.125,0.2188
Qwen2.5-7B-Instruct,,High,,بیٹا، آج ہمارے ساتھ کھانا کھا لو۔,آپ کی محبت کا شکریہ آپ نے فرمایا ہے تو ضرور شامل ہوں گا۔,"""جی بھائی، بہت شکریہ، آپ کی محبت کا بے حد شکریہ، مگر میں",0.5,0.125,0.5
GPT-4o-mini,,High,,ابا جی، اگر آپ مصروف نہ ہوں تو آپ سے ایک بات کرنی تھی۔,جی بیٹا، کہو میں سن رہا ہوں۔,"""جی ابا جی، آپ کی اجازت ہو تو میں بات کر لیتا ہوں۔""",0.375,0.125,0.625
GPT-4o-mini,,Medium,,سر، کیا میں یہ فائل لے آؤں؟,فی الحال نہیں، میں آپ کو بتا دوں گا کب لانی ہے۔,"""جی سر، میں ابھی لے آتا ہوں۔""",0.8125,0.125,0.1875
GPT-4o-mini,,Medium,,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,"""بہت شکریہ، مگر میں نے کافی کھا لیا ہے۔""",0.75,0.0,0.25
