ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,سر، بہت شکریہ، مگر ابھی تک یہی کافی ہے۔ آپ کی محبت کرنا، میں,,,,,,,بہت شکریہ، ابھی کھانے سے پہلے ہوں گا، اس کے بعد,,,,,,,جی سر، بس یہی چاہتا ہوں، ابھی گرم ہے تو اس کی ضرورت,,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,ٹھیک ہے، میں چائے بنوا رہا ہوں۔,,,,,,,یار، اس سب کی ضرورت نہیں، بس یہی کافی ہے۔ تمہاری مہربانی کا,,,,,,,بہت شکریہ، براہِ کرم رک دیجیے، پھر میں بنوں گا۔,,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,جی ساسی، شکریہ، لیکن ابھی کھا رہا ہوں۔,,,,,,,ساسی، شکریہ، مگر ابھی میں زحمت نہیں کرنا چاہتا تھا۔ آپ کی مح,,,,,,,سر، میرے لیے بس اس کی دو چکاوک۔,,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,جی سر، میں اس کی بہت ضرورت رہنے دوں گا، اگر آپ اجازت دیجیے گا۔ ی,,,,,,,جی سر، میرے لیے یہ وقت ہے، میں اسے رکھ لوں گا۔,,,,,,,باجی، بہت شکریہ، لیکن ابھی بس مکالمہ ختم کر لیتا ہوں، پھر ر,,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,بہت شکریہ، میں نے کافی لے لیا ہے۔ آپ کی محبت کرنے کا ب,,,,,,,بہت شکریہ سر، بس اس بارے میں نہیں چاہتا۔ میری تھیکانہ,,,,,,,بہت شکریہ، براہِ کرم دیکھ لوں۔,,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,نہیں یار، بہت شکریہ۔ ان شاء اللہ میری کوتاہی ہوگی۔,,,,,,,جی سر، بہت شکریہ! اگر اگلی کلاس میں مزید سمجھنے کی ضرورت پڑی تو میں آ,,,,,,,جی سر، اگر آپ کو کچھ سمجھ نہیں آیا تو میں دوبارہ اس بات کا بہتر طریقے س�,,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,خالہ جان، میں معذرت چاہتی ہوں، میں نے ٹرین بک کر لی �,,,,,,,خالہ جان، بہت شکریہ، لیکن ابھی اتنا زحمت نہ کریں۔ آئندہ ضرور,,,,,,,بہت شکریہ خالہ، میرا دھیان ہے۔ آپ کی بہت مہربانی، مگر م,,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,ارے یار، بہت شکریہ، لیکن ابھی اتنا نہیں خریدنا تھا۔,,,,,,,بہت شکریہ، مگر امید ہے میرے دھیان کے لیے کوتاہی نہ نکل,,,,,,,نہیں یار، شکریہ! تمہاری بہت مہربانی۔ اگر ضرورت پڑی تو میں,,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,ٹھیک ہے یار، پہلے ٹیسٹ کر لوں، اگر دوبارہ میرا فکر ہ,,,,,,,شکریہ یار، ابھی کھیلتے ہیں۔ تمہاری تجویز کا بہت شکری�,,,,,,,جی یار، یہ ٹائپنگ گیم دیکھو، کھیل لیتے ہیں؟,,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,ماموں جان، شکریہ، لیکن آپ زحمت نہ کریں۔ یہ رقم بس رکھ دیجیے گا،,,,,,,,ماموں جان، میری روانگی ہے، آپ فکر نہ کریں۔ یہ رقم براہِ کرم ق,,,,,,,ماموں جان، آپ کی دعائیں ہی میرے لیے کافی ہیں، مجھے اس کے,,,,,,
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,,,,,,,نہیں یار، شکریہ! ابھی بس کام مکمل ہو گیا ہے، تمہاری بہ,,,,,,,بہت شکریہ! ان شاء اللہ میں نے کچھ چاہیے ہو تو بتاییں گا۔,,,,,,,بہت شکریہ! بس کام ہو گیا، ابھیھیھو جاؤں گا۔,,,,,,
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,,,,,,,جی یار، معذرت چاہتا ہوں، میں میٹنگ کا تھوڑا زحمत ہو,,,,,,,شکریہ یار، مگر آج مجھے کچھ اور کام باقی ہیں، شاید اگلے ہفت�,,,,,,,یار، تمہاری نشاندہی کا بہت شکریہ، لیکن ابھی بس کام مکمل نہیں �,,,,,,
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,,,,,,,جی امی، ابھی کھا لوں، پھر نہیں کھان پائga.,,,,,,,جی جانی، میرے لیے یہ سب کافی ہے، میں بالکل نہیں چاہتا۔,,,,,,,جی امی، ابھی مکمل کر لوں گا، پھر مزید کھا لوں گا۔ آپ کی فکر کا بہت,,,,,,
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,,,,,,,جی، شکریہ! چائے پilia رہا، ابھی ڈال دیتا ہوں۔,,,,,,,بہت شکریہ سر، بس دوبارہ ڈال لوں گا۔,,,,,,,بہت شکریہ، لیکن ابھی تک یہی کافی ہے۔ آپ کی مہربانی کا بہ,,,,,,
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,سر، بہت شکریہ، مگر ابھی بس تھوڑا سا کام باقی ہے، پورے کر لو,,,,,,,جی چچا جان، میں ضرور رات یہیں رک کر چلا جاؤں گا، آپ ف,,,,,,,چچا جان، آپ کی مہربانی کا بہت شکریہ، مگر میں صبح چلا جاؤں گا�,,,,,,
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,,,,,,,جی، ان شاء اللہ میں آؤں گا۔ تمہاری بہت مہربانی۔,,,,,,,"بہت شکریہ! آج رات میں ضرور تمہاری company کروں گا۔
جی، بالکل ٹھیک",,,,,,,بہت مبارک ہو۔ ان شاء اللہ میں ضرور آؤں گا۔,,,,,,
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,,,,,,,بہت مبارک ہو۔ میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ,,,,,,,"بہت شکریہ! ان شاء اللہ میں کل شام تمہاری دعوت میں شرکت کروں گا۔""",,,,,,,جی پڑوسی، بہت شکریہ، لیکن ابھی ٹھیک ہو نہیں سکا ہ�,,,,,,
