Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qalb-1.0-8B-Instruct,,High,,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,"""میں نے یہ رقم قبول کر لی ہے، ماما جان!"" (Answer in the same tone as the question)
""شکریہ",0.3125,0.125,0.6875
Qalb-1.0-8B-Instruct,,High,,کل کھانے پر آنا۔,خالہ جان، آپ نے یاد کیا، یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آؤں گی۔,"""جی خالہ جان، کل کھانے پر ضرور آؤں گا۔""",0.7812,0.125,0.2188
Qalb-1.0-8B-Instruct,,High,,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,"""ساسی جان، بہت شکریہ، مگر مجھے اس کے علاوہ کچھ نہیں چا",0.7812,0.125,0.2188
Meta-Llama-3.1-8B-Instruct,,High,,یہ چوڑیاں تمہارے لیے رکھی تھیں، لے لو۔,امی جان، آپ کی محبت ہی میرے لیے کافی ہے  شکریہ۔,"""جی ساسی، آپ کی محبت کا بہت شکریہ، لیکن مجھے کچھ نہیں چاہی",0.7812,0.125,0.2188
Meta-Llama-3.1-8B-Instruct,,Medium,,بھابھی، یہ شال آپ کے لیے لائی ہوں۔,تم نے میرے لیے سوچا، یہی میرے لیے خوشی کی بات ہے، اتنا تکلف نہ کرتی۔,"""جی بھابھی جان، یہ آپ کی محبت کا بے مثال تحفہ ہے، مجھے اس کا ب",0.7812,0.125,0.2188
Meta-Llama-3.1-8B-Instruct,,High,,یہ کپڑے تمہارے لیے لائی ہوں۔,امی جان، آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,"""جی ساسی، آپ کی محبت کا بہت شکریہ، یہ کپڑے بہت پیارے ہ",0.8438,0.125,0.1562
Qwen2.5-7B-Instruct,,High,,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,"""جی خالہ، میں رات یہیں رک جاں گا، صبح کے لیے بھی بہت ش",0.4375,0.125,0.5625
Qwen2.5-7B-Instruct,,Low,,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,"""ٹھیک ہے، بیٹا، میرے ساتھ جم چلیں۔""",0.8438,0.125,0.1562
Qwen2.5-7B-Instruct,,High,,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,"""ماما، میں بہت کم کھایا ہے، لیکن میں کچھ زائد نہیں کھانا",0.5,0.125,0.5
GPT-4o-mini,,High,,ابو، کیا میں دوستوں کے ساتھ باہر جا سکتا ہوں؟,ہاں، جا سکتے ہو، مگر وقت کا خیال رکھنا۔,"""جی ابو، میں جلدی واپس آ جاؤں گا، بس تھوڑی دیر کے لیے جانا ہے۔""",0.375,0.125,0.625
GPT-4o-mini,,Medium,,سر، ایک ضروری کام ہے، کیا میں آج تھوڑا جلدی جا سکتا ہوں؟,ٹھیک ہے، لیکن ضروری کام نمٹا کر جائیے گا۔,"""جی سر، میں آپ کی اجازت کا منتظر ہوں، یہ کام واقعی ضروری ہے۔""",0.4375,0.125,0.5625
GPT-4o-mini,,High,,ابا جی، اگر آپ مصروف نہ ہوں تو آپ سے ایک بات کرنی تھی۔,جی بیٹا، کہو میں سن رہا ہوں۔,"""جی ابا جی، بالکل! آپ کی بات سننے کے لیے میں تیار ہوں۔""",1.0,0.125,0.0
