ID,Topic,Power_Distance,Sensitivity,Register,User_Role,Model_Role,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational _Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational _Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational _Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational _Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,Refusing Offers,Medium,Positive,Formal,میزبان,مہمان,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,"""شکریہ، میزبان۔ یہ بہت مزیدار لگ رہا ہے."" (اسٹرکچر",1,0,1,1,1,0,شکر ہوگا، مجھے بھی لینا چاہیے!,0,0,0,0,0,0,بس تھانی بچائیں جسے لینے کی ضرورت نہ ہو۔,1,1,1,0,1,0,"""بہت شکریہ، یہ تو بہت مزیدار لگ رہا ہے!""",2,1,2,2,0,0
2,Refusing Offers,Low,Negative,Informal,دوست,دوست,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,"""جی ہاں، بہت اچھا لگتا ہے!"" (Answer)
'''
Answer: ""جی ہاں",0,0,0,0,0,0,"""جی، بہت ہی خوشی ہوئی! آج تو خاص طور پر چائے پی کر رہنا تھا!""",1,0,1,1,0,0,"""ہاں، کیوں نہیں! چائے تو ہمیشہ خوشگوار ہوتی ہے۔""",0,0,0,0,0,0,میری طرف سے بنا لیں، تیری چائے بہت خوبصورت ہوتی ہے۔,1,1,1,1,0,1
3,Refusing Offers,High,Positive,Formal,ساس,بہو,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""نہیں، امی، میں نے کافی کھا لیا ہے۔ آپ خود بھی کھائیں، آپ کو بھی ضرورت ہے۔""",2,1,2,2,1,0,"""ساسی، مجھے اب مزید نہیں چاہئے۔""
'''
Answer: 'مجھے اب مزید ن�",1,0,1,1,0,3,"""ساسی، ابھی تو میں نے پانی پی لیا ہی نہیں!""",0,0,0,0,0,4,میں نے قسمت دکھائی چاہیے جس میں مزاج اور محبت کا نشان ہو س,0,0,0,0,0,0
4,Refusing Offers,High,Positive,Formal,بزرگ,نوجوان,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,3,3,4,4,0,0,"""شکر ہو۔ لیکن مجھے یقین نہیں ہوتا کہ میں اسے پ�",1,1,1,1,2,0,"""شکریہ، میں اسے پڑھنا چاہتا تھا لیکن مجھے یقین نہیں",2,1,2,2,1,0,"""بہت شکریہ، آپ کی مہربانی ہے! میں اس کتاب کو ضرور پڑھوں گا۔""",2,0,2,3,0,0,میں نے کتاب لی ہے، شاید میں اسے میلنے کی ضرورت نہیں ہے۔,0,0,0,0,1,0
5,Refusing Offers,Medium,Negative,Formal,میزبان,مہمان,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,شکر ہوگا، بہت اچھا ہوا۔ کیا یہ گول گجرا ہے؟,0,0,0,0,4,0,"""شکر گزار ہوں، میزبان۔ مجھے یقین ہے کہ یہ مزید خوشگوار",2,1,2,2,0,0,"""بہت شکریہ! یہ تو بہت مزیدار لگ رہا ہے۔""",2,0,2,3,0,0,میٹھا لیں جسے لے جائے گا۔,0,0,0,0,1,0
6,Refusing Offers,Medium,Neutral,Formal,استاد,طالب علم,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,3,3,3,4,0,0,میری شکایت نہیں، لیکن بہت شکریہ کہ آپ مجھ سے کئی بار سوال ک,1,1,2,1,1,0,"""جی استاد، مجھے کچھ حصے میں وضاحت کی ضرورت ہے۔ خاص طور پر اس موضوع پر جو آپ نے آج پڑھایا۔""",3,1,3,3,0,0,صرف یہ سمجھ آ گیا ہے کہ ابھی بہت کچھ نہیں سمجھا،,1,0,1,1,0,0,"""شکریہ، استاد، لیکن مجھے اب تک سبق سمجھ آئے ہیں."" (Answer)
'''
'''
'''
'''
'''",1,1,1,1,0,0
7,Refusing Offers,High,Negative,Formal,خالہ,بھانجا,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""خالہ، آپ کی پیشکش بہت اچھی ہے، لیکن مجھے گھر جانا ہے۔ اگلی بار ضرور رکوں گا۔""",4,4,4,4,0,0,"""خالہ جی، مجھے واپس آنا ہے، والدین کو بتانا ہے کہ میں آ گی",2,1,2,2,0,0,"""خوش آمدید، خالہ!"" (اسلام) ""مجھے واقعی خوشی ہوگی اگر میں رات یہیں",1,1,1,1,0,0,میری کتنا شادی ہے، لیکن میں نہیں رک सکتا، صبح تک کام چاہت,0,0,0,0,0,0
8,Refusing Offers,Medium,Neutral,Formal,پڑوسی,پڑوسی,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,3,3,3,4,0,0,میں اس لئے بہت سبزیوں اور فاكٹریوں لے آتا ہوں جسے آپ ک,0,0,0,0,0,0,"""بہت شکریہ! اگر آپ جا رہے ہیں تو براہ کرم کچھ دودھ اور روٹی لے آئیں گے؟""",0,0,0,0,3,0,"""کیا ضرورت ہے؟ میں کیا لاؤں?""",0,0,0,0,3,0,"""جی ہاں، مجھے یقین ہے کہ آپ کے پاس ایک ٹوکری تیل اور چند",0,0,0,0,0,0
9,Refusing Offers,Low,Neutral,Informal,دوست,دوست,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,"""ہاں، کیوں نہیں! کون سی گیم کھیلنی ہے؟""",0,0,0,0,0,0,"""ہاں، یقیناً!"" (Answer)",0,0,0,0,0,0,"""کیا کیا؟ میں بھی جانتا تھا کہ آپ کو کھیلوں میں دلچسپی ہوتی",0,0,0,0,2,2,چل یار، میں بھی آسانی سے پڑھائیں گے۔,0,0,0,0,0,0
10,Refusing Offers,High,Negative,Formal,ماموں,بھانجی,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,3,3,3,4,0,0,مамوں نے مجھے رقم دینے کی پیشکش کی تو میری کتنا شادی ہے، لیکن آ,0,0,0,0,0,0,"""نہیں ماموں، آپ کی محبت ہی کافی ہے۔ مجھے رقم کی ضرورت نہیں ہے۔""",4,1,4,4,1,0,"""دیکھیئے ماموں جان، میں نے کچھ کام کر لیا ہے، اب مجھے خود",1,0,1,1,0,0,"""شکریہ، ماما!"" (گوشت کے پیالے میں ایک چھوٹا سا پیالہ رکھ کر",0,0,0,0,0,1
