ID,Model,Topic,Power_Distance,Register,Sensitivity,CAS,FTV,Bias,model_Relational_Alignment,model_Indirectness,model_Facesaving,model_Cultural_Appropriateness,model_Directness_Threat,model_Hierarchy_Violation,gold_Relational_Alignment,gold_Indirectness,gold_Facesaving,gold_Cultural_Appropriateness,gold_Directness_Threat,gold_Hierarchy_Violation
1,Qalb-1.0-8B-Instruct,,Medium,,,0.5,0.125,0.5,2.0,2.0,2.0,2.0,0.0,1.0,4,4.0,4.0,4.0,0.0,0.0
1,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
1,Qwen2.5-7B-Instruct,,Medium,,,0.25,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
2,Qwen2.5-7B-Instruct,,Low,,,0.5625,0.0,0.4375,2.0,2.0,2.0,2.0,0.0,0.0,3,4.0,4.0,4.0,0.0,0.0
2,Qalb-1.0-8B-Instruct,,Low,,,0.3125,0.125,0.6875,1.0,1.0,1.0,1.0,0.0,1.0,3,4.0,4.0,4.0,0.0,0.0
2,Meta-Llama-3.1-8B-Instruct,,Low,,,0.5,0.125,0.5,2.0,1.0,2.0,2.0,0.0,1.0,3,4.0,4.0,4.0,0.0,0.0
3,Meta-Llama-3.1-8B-Instruct,,High,,,0.625,0.125,0.375,2.0,3.0,3.0,2.0,0.0,1.0,4,4.0,4.0,4.0,0.0,0.0
3,Qalb-1.0-8B-Instruct,,High,,,0.25,0.125,0.75,1.0,1.0,1.0,1.0,0.0,1.0,4,4.0,4.0,4.0,0.0,0.0
3,Qwen2.5-7B-Instruct,,High,,,0.375,0.125,0.625,1.0,2.0,2.0,1.0,0.0,1.0,4,4.0,4.0,4.0,0.0,0.0
4,Qalb-1.0-8B-Instruct,,High,,,0.7188,0.0,0.2812,2.0,3.0,3.0,2.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
4,Qwen2.5-7B-Instruct,,High,,,0.5312,0.0,0.4688,2.0,2.0,2.0,1.0,0.0,0.0,3,3.5,4.0,4.0,0.0,0.0
4,Meta-Llama-3.1-8B-Instruct,,High,,,0.5938,0.125,0.4062,2.0,2.0,2.0,2.0,0.0,1.0,3,3.5,4.0,4.0,0.0,0.0
5,Qalb-1.0-8B-Instruct,,Medium,,,0.4375,0.0,0.5625,2.0,1.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
5,Qwen2.5-7B-Instruct,,Medium,,,0.5,0.0,0.5,2.0,2.0,2.0,2.0,0.0,0.0,4,4.0,4.0,4.0,0.0,0.0
5,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.25,0.125,0.75,1.0,1.0,1.0,1.0,0.0,1.0,4,4.0,4.0,4.0,0.0,0.0
6,Qwen2.5-7B-Instruct,,Medium,,,0.375,0.0,0.625,1.0,1.0,1.0,1.0,0.0,0.0,3,3.5,3.5,4.0,0.0,0.0
6,Qalb-1.0-8B-Instruct,,Medium,,,0.875,0.125,0.125,3.0,3.0,3.0,3.0,0.0,1.0,3,3.5,3.5,4.0,0.0,0.0
6,Meta-Llama-3.1-8B-Instruct,,Medium,,,0.625,0.125,0.375,2.0,2.0,2.0,2.0,0.0,1.0,3,3.5,3.5,4.0,0.0,0.0
7,Qalb-1.0-8B-Instruct,,High,,,0.4375,0.125,0.5625,2.0,2.0,2.0,1.0,0.0,1.0,4,4.0,4.0,4.0,0.0,0.0
7,Meta-Llama-3.1-8B-Instruct,,High,,,0.75,0.125,0.25,3.0,3.0,3.0,3.0,0.0,1.0,4,4.0,4.0,4.0,0.0,0.0
7,Qwen2.5-7B-Instruct,,High,,,0.25,0.125,0.75,1.0,1.0,1.0,1.0,0.0,1.0,4,4.0,4.0,4.0,0.0,0.0
