ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,سر، بہت شکریہ، لیکن ابھی اتنا گرم نہیں ہے۔ میں صرف تھو�,,,,,,,سر، شکریہ، ابھی اتنا پانی ہوگا۔,,,,,,,دعوت میں گرم سالن پیش کرنا خوبصورت ہے، میزبانی کا بہت شکریہ,,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,ٹھیک ہے، اب تھیموں پر چائے بناوں گا۔,,,,,,,سر، بہت شکریہ، مگر ابھی اتنا نہیں ہوگا۔ میں آدھا ک,,,,,,,جی، شکریہ! ابھی بنوں گا۔,,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,جی ساس جان، شکریہ۔ ابھی کافی ہوں، مزید نہیں پلا دینا پڑے,,,,,,,سر، بہت شکریہ، لیکن ابھی اتنا کام باقی نہیں ہے، میں خود لے,,,,,,,جی چاہیے، بس لوں گا۔,,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,سر، آپ کی بہت مہربانی، لیکن ابھی اتنا کام باقی نہیں ہے۔ میں,,,,,,,سر، شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔ آپ کا بہت شکر,,,,,,,جی سر، شکریہ۔ یہ کتاب میں رکھ لوں گا۔,,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,سر، بہت شکریہ، لیکن ابھی اتنا میٹھا لے لوں گا تو میری صحت خراب ہ,,,,,,,دعوت سے زحمت نہ کریں، میٹھا لیجیے۔,,,,,,,ضرور، شکریہ!,,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,ستاد جان، بہت شکریہ، لیکن ابھی صرف تھوڑا سا کام باقی ہے۔,,,,,,,سر، بہت شکریہ، مگر ابھی اتنا سامح نہیں ہے۔ میں خود اس سبق,,,,,,,ضرور، اگر آپ نے میری باتیں مکمل طور پر سمجھ لی ہوں گا تو آپ فکر نہ کریں�,,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,سر، شکریہ، لیکن ابھی اتنا وقت باقی نہیں ہے، میں بالکل ٹھیک �,,,,,,,جی خالہ، ان شاء اللہ میں رات رھونے کا بہت شکریہ۔,,,,,,,خالہ جان، بہت شکریہ، لیکن میں ابھی صبح چلنا پڑتا ہے۔,,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,جی پڑوسی، شکریہ! اگر اور بھی کچھ چاہیے ہو تو بتا دیجیے گا,,,,,,,سر، بہت شکریہ، ابھی اتنا لہج نہیں ہے۔,,,,,,,سر، بہت شکریہ، مگر ابھی اتنا کام باقی نہیں ہے، میں خود ہ,,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,ٹھیک ہے یار، ابھی تکھا رہ لوگیں گا۔ ایک اور گیم کھ,,,,,,,ٹھیک ہے، آؤ ایک اور گیم کھیل لیتے ہیں۔ ان شاء اللہ، می,,,,,,,ٹھیک ہے، یار، میں تھوڑا سا ٹھیک نہیں ہوں،,,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,سر، شکریہ، مگر ابھی اتنی ضرورت نہیں ہے۔,,,,,,,جی ٹھیک ہے ماموں سے بہت زحمت نہیں ہوگی، ابھی تک رہ,,,,,,,مامو جان، شکریہ، لیکن اس سب کی ضرورت نہیں ہے۔ میں بالکل اچھا �,,,,,,
