ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,"ارے نہیں یار، اب مزید نہیں کھا سکوں گا، شکریہ۔
ب�",,,,,,,بہت شکریہ یار، اچھا لگ رہا ہے، اب مزید نہیں پilia sakta,,,,,,,بہت شکریہ، آپ کی بہت مہربانی، میں ابھی چلوں گا۔,,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,یار، آج کا بہت ٹریفک تھی، اب کوشش کروں گا۔,,,,,,,"یار، آج تو کافی ہو گیا ہے، لیکن کسی دن کوشش کروں گے۔
بہ",,,,,,,یار، ابھی کوشش کیا؟ پہلے کیٹ گیا تھا، اس بار مجھے موقع دو۔,,,,,,
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,,,,,,,آپ کی بہت مہربانی، میں نے ابھی زیادہ چائے پیت ہے، شکری�,,,,,,,آپ کی بہت مہربانی، але واقعی مزید چائے کی ضرورت نہیں اب اجازت دیجیے۔,,,,,,,آپ کی بہت مہربانی، میں ضرور پی لیتا ہوں۔,,,,,,
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,چچا جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہ�,,,,,,,چچا جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو ر,,,,,,,جی چچا جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہ,,,,,,
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,بہت شکریہ، یہ تمہاری محبت ہے، ان شاء اللہ ضرور آنے کی کوشش ک,,,,,,,بہت شکریہ یار، ابھی میری رہنمائی کوشش کروں گا۔,,,,,,,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا,,,,,,
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,,,,,,,بہت شکریہ، اچھا لگے گا، ان شاء اللہ شریک ہونے کی کوشش کرو,,,,,,,ماشاء اللہ، آپ کی محبت ہے، ان شاء اللہ شریک ہونے کی کوشش کروں گ,,,,,,,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آؤں گا۔,,,,,,
24,استاد,طالب علم,Medium,آپ اپنے استاد سے تعلیمی سرگرمی کے بعد گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو دوپہر کے کھانے کی دعوت دیتے ہیں۔,اگر وقت ہو تو آج ہمارے ساتھ دوپہر کا کھانا کھا لینا۔,سر، آپ نے یاد کیا یہی میرے لیے کافی ہے، لیکن آج پہلے سے ایک مصروفیت ہے۔,,,,,,,سر، بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور,,,,,,,سر، یہ میرے لیے اعزاز ہے، ان شاء اللہ ضرور آنے کی کوشش کروں,,,,,,,بہت شکریہ سر، یہ آپ کی بہت مہربانی ہے، ان شاء اللہ ضرور آن,,,,,,
35,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی محبت سر آنکھوں پر، مگر آپ کی نیک نیتی ہی میرے لیے کافی ہے۔,,,,,,,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,,,,,,,بہت شکریہ، آپ نے بہت محبت سے دیا ہے، اس کی واقعی ضرورت ن,,,,,,,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔ آپ,,,,,,
40,سسر,داماد,High,آپ کے سسرملاقات کے اختتام پر آپ کو کچھ رقم دینا چاہتے ہیں۔,یہ کچھ رقم رکھ لیجیے، بعد میں کام آئے گی,ابا جان، فی الحال ضرورت نہیں، آپ کا خیال ہی میرے لیے کافی ہے۔,,,,,,,ابو جان، ابھی نہیں، میں کام کر رہا ہوں، پھر دے دینا۔,,,,,,,ابو، آپ کی دعائیں اور شفقت ہی میرے لیے کافی ہیں۔ فی الحال اس کی,,,,,,,ابا جان، آپ کی دعائیں اور شفقت ہی میرے لیے  کافی ہیں بہت شک,,,,,,
41,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی نیک نیتی ہی میرے لیے کافی ہے، اتنا تکلف نہ کرتے۔,,,,,,,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,,,,,,,بہت شکریہ، آپ نے بہت محبت سے دیا ہے، اس کی کیا ضرورت تھ,,,,,,,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔ آپ,,,,,,
