ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational _Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,بہت شکریہ، ابھی تک بہت مزہ آ رہا ہے۔ آپ کی محبتِ آمریت,2,2,2,2,0,0,بہت شکریہ، ابھی کافی ہے۔,2,2,2,1,0,0,سر، بہت شکریہ، مگر ابھی صرف تھوڑا گرم ہے۔,2,2,2,1,0,0
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,ٹھیک ہے، یہی چائے بنوں گا۔,2,2,2,1,0,0,ضرور یار، ابھی اتنی چائے نہیں رہ گئی۔ تمہاری مہربانی کا ب,4,4,4,4,0,0,ضرور، شکریہ!,2,2,2,2,0,0
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,ساسی، روٹی پہلے ہی مکمل ہو گئی ہے، ابھی آئندہ ک,2,3,3,2,0,1,سری آؤں، اس بار میں نہیں خواہش ہے۔ یہی کافی ہے۔,3,3,3,2,0,1,ساسی، میں نے روٹی لی ہے، آپ زحمت نہ کریں۔,1,2,2,1,0,1
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,4,4,4,4,0,0,سر، آپ کی بہت پیشکش، مگر میرے کام کا لیڈ ہی رکھ لو۔,2,3,3,2,0,0,جی سر، بہت شکریہ۔ یہ میرے لیے بہت معاملہ ہے۔,2,2,2,2,0,0,سر، بہت شکریہ، مگر ابھی اتنا کام باقی نہیں ہے۔ میں کتاب رک,2,2,2,2,0,0
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,بہت شکریہ، یہ بہت مزے دار تھا۔ آپ کی محبت کا بہت شکریہ�,4,4,4,4,0,0,سر، بہت شکریہ، مگر ابھی کافی تھا۔,2,2,2,2,0,0,بہت شکریہ، یہ بہت معذرت چاہتا ہوں، میرے لیے کافی,2,2,2,1,0,0
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,4,4,4,4,0,0,جی سر، بہت شکریہ! اگر میری طرف سے کچھ نہیں سمحہ گیا تو آپ کی رہ,3,3,3,3,0,0,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے جسے می,4,4,4,4,0,0,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل,3,3,3,3,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,الحمدللہ خالہ، ان شاء اللہ میں ضرور رہ لوں گا۔ آپ کی بہت مہربانی،,3,3,3,3,0,0,خالہ جان، بہت شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، پھ,3,3,3,3,0,0,خالہ، بہت شکریہ، مگر میں ابھی چلا جاؤں گا۔ آپ کی اچھی فکر,3,3,3,3,0,0
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,4,3,4,4,0,0,نہیں یار، شکریہ! آپ کی بہت مہربانی۔ اگر ضرورت پڑی تو میں خود,4,4,4,4,0,0,سر، بہت شکریہ، مگر ابھی اتنا نہیں چاہیں۔,2,2,2,2,0,0,بہت شکریہ، مگر ابھی کام ہو رہا ہے، آپ زحمت نہ کریں�,4,4,4,4,0,1
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,ہاہا، ٹھیک ہے یار، آؤ کھेलتے ہیں۔,3,3,3,3,0,0,ٹھیک یار، ابھی ٹھیک ہوں۔ کبھی اس سے بھول نہ یہیں,3,3,3,3,0,0,شکریہ یار، یہ تو پہلی بار ہوگا کہ ہم نے اتنی جلدی تین گیم,3,3,3,3,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,4,4,4,4,0,0,ماموں جان، آپ کی دعائیں ہی میرے لیے کافی ہیں، مجھے اس کے,4,4,4,4,0,0,ماموں جان، آپ کی محبت کا بے حد شکریہ، مگر آپ فکر نہ کریں۔ میں ضرور اس رقم,3,3,3,3,0,0,ماموں جان، آپ کی دعائیں ہی میرے لیے کافی ہیں، اس کے علاوہ,3,3,3,3,0,0
