ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,بہت شکریہ، ابھی تک بہت مزہ آیا ہے۔ آپ کی اچھی خدمت کا بہ,,,,,,,بہت شکریہ، ابھی کوشش کر رہا ہوں۔,,,,,,,بہت شکریہ! آپ کی بہت مہربانی، مگر ابھی تک گرم ہے میرے,,,,,,
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,ٹھیک ہے، یہی چائے ہے جسے تم باج لو۔,,,,,,,ناام، یہ تمہاری مہربانی، مگر ابھی صرف تھوڑی دیر ہوگی۔ چلو،,,,,,,,جی، ضرور بنوا دوں گا۔,,,,,,
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,ساسی، شکریہ، لیکن ابھی اتنا خرچ نہیں ہونا چاہئے۔ آپ کی فکر کر,,,,,,,جی ساری، تمہاری یہی رہنمائی چاہیے تھی۔,,,,,,,جی ساس، شکریہ۔,,,,,,
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,الحمدللہ، میں ضرور رکھ لوں گا، پھر آپ کام چلا دینے دو۔,,,,,,,جی سر، بہت شکریہ۔ یہ واقعی میرے لیے بہت اہم ہے۔,,,,,,,جی سر، بہت شکریہ، مگر ابھی اتنا وقت نہیں گزرا۔ اگر آپ چاہیں,,,,,,
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,بہت شکریہ، بس یہی چاہیے تھا۔ براہِ کرم، اب میں مزید,,,,,,,بہت شکریہ سر، بس واقعی حوصلہ افزائی ہے۔ آپ کی مبارکہ دعوت ک,,,,,,,بہت شکریہ، یہ بہت معذرت چاہتا ہوں اگر میں نے آپ کی م,,,,,,
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,جی سر، بہت شکریہ! اگر آپ کا کھڑا ہونا ہے یا میری نشاندہی چا,,,,,,,بہت شکریہ سر، بس تھوڑا سا وقت صرف کرتا ہوں۔,,,,,,,جی سر، بہت شکریہ! اگر ممکن ہو تو براہِ کرم مزید وضاحت کریں۔ یہ مع,,,,,,
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,الحمدللہ خالہ، تمہاری بہت مہربانی۔ شاید میں نے کہیں دھون دی۔,,,,,,,خالہ جان، بہت شکریہ، مگر ابھی اتنا زحمت نہیں ہے۔ می�,,,,,,,خالہ جان، بہت شکریہ، مگر میں چھوڑنے والا بس ابھی آ رہا,,,,,,
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,بہت شکریہ، اگر کوئی خاص چیز چاہیے ہو تو بتا دیجیے گا۔ وہ,,,,,,,نہیں یار، بس رہنمائی ڈال لو، میں خود لے آتا ہوں۔,,,,,,,بہت شکریہ! اگر آپ چاہیں تو میں ابھی لے آتا ہوں۔,,,,,,
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,بہت مبارک ہو۔ آؤ یہ گیم ختم کر لیں پھر کچھ اور کھانے کا,,,,,,,ٹھیک یار، ابھی تھوڑا سا کام باقی نہیں، پھر کھیلنے جاؤ,,,,,,,بہت معقول بات ہے، آؤ ایک اور گیم کھیل لیتے ہیں۔ تمہاری,,,,,,
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,مامو جان، آپ کی بہت مہربانی، مگر ابھی زحمت نہ کریں۔ میں ضرور اس رقم ک,,,,,,,ماموں جان، آپ کی بہت مہربانی، مگر اس سب کی ضرورت نہیں ہے۔ آپ کی,,,,,,,ماموں جان، تمہاری رقم میرے لیے ہی مکمل ہے، مجھے کوتا نہیں ہو,,,,,,
