ID,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,"Now that you have taken the salt, it is still warm. (Urdu)",,,,,,,"""کیا کروں؟ وہ تو پانی میں ڈوب جائیں گے۔""",,,,,,,اس وقت کافی دماغت سے پلے جا رہے ہیں۔,,,,,,,"""شکریہ، بہت مہربانی۔""",,,,,,
2,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,I will make tea.,,,,,,,"""جی، بہت اچھا، میں چائے بناؤں!""",,,,,,,"""جی، ضرور، چائے بنا دیں۔""",,,,,,,آپ کیا میں نے آپ کی تعاون سے چایہ بنانے کے لئے تمام مقامی مطابق ف,,,,,,
3,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,"""جی، اب لے لیتا ہوں۔""",,,,,,,"Son, bring some bread too.",,,,,,,"""ابھی کبھی نہیں، والدہ جی، مجھے پانی پی کر آوں گا.""",,,,,,,اب تیر کی روٹی لے کر آئے گے۔,,,,,,
4,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,"""جی، میں اسے اپنی پوری زندگی کے لیے محفوظ کر دوں گا۔ یہ ایک بہت",,,,,,,"""Keep this book with you; it will come in handy.""",,,,,,,"""شکریہ! میں اسے ضرور رکھوں گا۔""",,,,,,,ایسی کتاب بنائیں جس نے توانائی کا استعمال کرتی ہوئی اپنے مالک کو مدد,,,,,,
5,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,"""کیا آپ کا مطلب ہے؟""",,,,,,,I have already taken the sweets.,,,,,,,"""شکریہ، بہت مہربانی!""",,,,,,,میں آپ کیلئے چاکنے والی سمندر کرکت رہوںگے۔,,,,,,
6,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,میری خدمतوں میں کوئی مشکلیت ہو جانے پر آپ کو اہمیت دینا,,,,,,,"""جی ہاں، براہ کرم مزید وضاحت کریں۔""",,,,,,,یقینا، اگر آپ کو کچھ سمجھ نہ آئے تو مجھے خوشی ہوگی۔ میں اس مسئ,,,,,,,I can provide more details if there is difficulty in any part.,,,,,,
7,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""ٹھیک ہے، میں یہاں رک جاؤں گا۔""",,,,,,,"""نہیں، میں نے اپنی زندگی کا مقصد پورا کرنا ہے۔""",,,,,,,"""Stay here tonight, leave in the morning.""",,,,,,,ایک دن کے بعد ملتے جاو۔,,,,,,
8,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,میں نے ایک کٹا پتھر بھی لینے جانے کی تیاری کی۔,,,,,,,"""جی، یہ بہت مہربانی ہوگی۔ شکریہ!""",,,,,,,"""نہیں، نہیں، بس تھوڑا سا ٹائم لینے دو۔ مجھے خود ج",,,,,,,"(If you wish, I can bring something from the market for you.)
'''
# generate a natural Urdu response
import random

# list of possible responses
responses = [""میں ن�",,,,,,
9,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,"""ہاں، کیوں نہیں! کون سا گیم کھیلیں؟""",,,,,,,"Let's go, let's play another game.",,,,,,,"""آپ کیا کہتے ہیں؟ کیا ہمارا پہلا گیم تھا؟""",,,,,,,چلیں، میرا بھی نیا ٹریک پڑھا رہا تھا۔,,,,,,
10,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,یہ رقم محفوظ رہیں، کسی وقت کمپیوٹر کا فاتح بن جائیںگے۔,,,,,,,"""شکریہ، یہ بہت مہربانی ہے۔""",,,,,,,"""نہیں، ابھی تو میرا کچھ نہیں ہے جو میں اپنی ضروریات کو پ",,,,,,,"'''
# Generate a natural English response
import random

responses = ['Keep this money too, you never know when it might come in handy.']

# Select a random response
random_response = random",,,,,,
