ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,"""سالن لینے کے بعد بھی گرم ہے؟!"" (اسلام)",2,2,2,1,0,0,"""جی ماموں، ابھی میں لینے جا رہا ہوں، آپ بھی آئیے ا",2,2,2,1,0,1,"""ٹھیک ہے، میں لے لیا گیا، بہت سے بہت سے باریک ہوں",2,1,2,1,0,0,"""بہت شکریہ! سالن تو واقعی بہت مزیدار لگ رہا ہے۔""",2,2,2,2,0,0
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,"""جی سر، بس چائے بنوا دوں گا۔""",0,0,0,0,2,2,"""جی، چائے بنوانا چلوں!""",0,0,0,0,1,1,"""جی، بہت مہربانی، چائے بنا دیں۔""",2,2,2,2,0,0,"""ٹھیک ہے، چائے بنایا گا۔ آپ کی مہربانی کا بہت شکریyah۔",2,2,2,2,0,0
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""جی ابا، میں لے لیتا ہوں، شکریہ!""",3,3,3,3,0,1,"""جی ابو جان، بس روٹی لے آؤں گا۔""",1,1,1,0,0,1,"""جی ابو جان، میں ضرور لے آؤں گا۔""",2,2,2,2,0,1,"""ابّا جان، آپ کی محبت کا بے حد شکریہ، مگر میں اس کے علاوہ کچ",2,2,2,2,0,1
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,3,3,4,4,0,0,"""جی، یقیناً یہ کتاب میرے پاس رکھی ہوئی ہے، اور یقیناً م",2,2,2,1,0,0,"""جی سر، بس یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔""",2,2,2,1,0,1,بہت شکریہ، یہ واقعی میرے لیے مددگار ثابت ہوگی۔,2,2,2,2,0,0,"""جی سر، میں اس کتاب کو رکھ لیا گا۔ آئے چکاوٹ کریں۔""",1,1,1,1,0,0
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,"""جی ماموں، میٹھا لینے جا رہا ہوں۔""",2,2,2,2,0,1,"""شکریہ جناب، بس یہی کافی ہے۔""",3,3,3,3,0,0,"""بہت شکریہ! میٹھا تو ضرور لوں گا، آپ کی محبت کا خاص خیال رکھوں گا۔""",3,3,3,3,0,0,"""جی سار، میں اسے لیا گا۔ میں آپ کی محبت کا بے حد شکریہ۔""",2,2,2,2,0,1
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,3,3,3,4,0,0,"""ٹھیک ہے، بہت شکریہ۔ حالتوں میں کوئی مشکل نہیں ہے۔""",3,3,3,3,0,0,بہت شکریہ سر، میں آپ سے وضاحت لے لوں گا اگر ضرورت پیش آئی۔,3,3,3,3,0,0,"""جی، اگر ضرورت ہو تو میں وضاحت کر سکتا ہوں، آپ کی مدد کا بہت شکری",1,1,1,1,0,0,"""جی سر، بس واضح کریں کہ کس حصے میں مشکل ہو رہی ہے۔""",1,1,1,1,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""جی، میں رک جاؤں گا۔ آپ کی مہمان نوازی کا شکریہ!""",3,3,3,3,1,0,"""جی، بہت شکریہ، میں ضرور رات یہیں رہوں گا۔""",1,1,1,0,0,0,"""جی ماما، بس رات یہیں رک جاؤں گا، صبح چلے جانا۔""",0,0,0,0,0,1,"""ٹھیک ہے، ماموں جان، رات یہیں رک جاں گے، صبح چلے جان",1,1,1,1,0,0
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,3,3,3,4,0,0,"""جیسے ہوا، میں اس کے لیے بہت شکریہ ہوں، لیکن حالیے ک",2,2,2,1,0,1,بہت شکریہ! اگر آپ کو وقت ملے تو ایک دو چیزیں لے آئیں، میں آپ کا منتظر رہوں گا۔,3,3,3,0,0,0,"""جی ماموں، یہ ضرورت نہیں ہے، بس آپ کی محبت کا بہت شکریہ",3,3,3,3,0,1,"""شکریہ، بس یہ کہنا چاہتا تھا کہ آپ کی بہت مددگار ہوتی �",2,2,2,2,0,0
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,"""جی بالکل، چلیں، مزید مزہ آ جائے گا!""",3,3,3,3,0,0,"""جی، بس گیم کھیلیں گے، اور پھر دوبارہ شروع کریں گے۔""",3,3,3,3,0,0,"""جی یار، بس اب کافی ہوا، کھیلنا ہے تو کیسے نہیں؟""",2,2,2,2,0,0,"""ٹھیک ہے یار، آئیں گے ایک اور گیم کھیلنے کے لیے۔""",1,1,1,1,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,3,3,3,4,0,0,"""ٹھیک ہے، میں اس رقم کو ذہن میں رکھتا ہوں، اگر کوئی ب",1,1,1,0,1,0,"""بہت شکریہ، یہ آپ کی مہربانی ہے، مگر میں اسے لینے میں ہچکچاہٹ محسوس کر رہا ہوں۔""",3,3,3,3,0,0,"""جی، یقیناً رکھ لوں گا، یہ رقم ضرور ضرورت پڑنے پر کام آسکتی ہ�",2,2,2,0,1,0,"""جی سر، شکریہ! بس یہ رقم بھی رکھ لوں گا، اگر ضرورت پڑے تو استعمال کریں",1,1,1,0,0,1
