ID,Judge,A,B,C,D
1,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini
2,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
3,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
4,Judge1,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
5,Judge1,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
6,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
7,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
8,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
9,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
10,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
11,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct
12,Judge1,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
13,Judge1,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini
14,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
15,Judge1,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
16,Judge1,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct,GPT-4o-mini
17,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
18,Judge1,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini
19,Judge1,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct
20,Judge1,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct,Qalb-1.0-8B-Instruct
21,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
22,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct
23,Judge1,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct
24,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini
25,Judge1,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
26,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
27,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
28,Judge1,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini
29,Judge1,Qalb-1.0-8B-Instruct,GPT-4o-mini,Qwen2.5-7B-Instruct,Meta-Llama-3.1-8B-Instruct
30,Judge1,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,GPT-4o-mini
31,Judge1,GPT-4o-mini,Qalb-1.0-8B-Instruct,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct
32,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
33,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
34,Judge1,GPT-4o-mini,Meta-Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,Qalb-1.0-8B-Instruct
35,Judge1,Meta-Llama-3.1-8B-Instruct,GPT-4o-mini,Qalb-1.0-8B-Instruct,Qwen2.5-7B-Instruct
