ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,سر، بہت شکریہ، مگر مجھے کافی کام کرنا دھیان میں رہتا ہے۔ آپ,2,2,2,2,0,0,جی سر، براہِ کرم رہنی دیتا ہوں۔ یہ تو بہت شکریہ۔,2,2,2,2,0,0,ابھی گرم ہے، پر یہ سالن مکمل کر لوں۔,2,2,2,2,0,1
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,جی سر، یہ آپ کی ضرورت کے حسب چند چاے بنا دوں ہوں تھا۔,2,2,2,2,0,1,جی یار، بس کام مکمل کر لوں، پھر چائے بنواتا ہوں۔ تمہارا بہت شک,1,1,1,1,0,0,جی یار، چلو، پانی والا رختا دیکھ لو، چائے تیار ہو گیا ہے۔,2,1,2,2,0,0
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,ابّا جان، بس تقریباً ختم ہی ہو گیا ہے۔ شکریہ۔,3,3,3,2,0,1,ابّا جان، میری طرف دیکھو، میں نے کافی کھا لیا ہے۔ آپ کی محبت کا ب�,3,3,3,3,0,1,ابّا جان، یار، تمہارا خیال تھا یہ کافی ہے، بس اس کی کم رہ,2,2,2,2,0,1
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,3,3,4,4,0,0,جی سر، بہت شکریہ! یہ آپ کی اچھی طرح کی حوصلہ افزائی کا نتیجہ ہ�,2,3,3,2,0,1,ابّا جان، ان شاء اللہ میری ضروری آؤٹسٹ مکمل हو جائے گی، پھر تمہ,2,2,2,2,0,0,جی سر، بہت شکریہ۔ یہ نہیں رکھ سکتا، بس تھوڑا پڑھ,3,3,3,3,0,1
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,بہت شکریہ! یہ آپ کی اچھی خدمت کے لیے ایک چھوٹی سی ٹپ ہ�,2,2,2,2,0,0,بہت شکریہ! ان شاء اللہ میں ضرور میٹھا لاؤں گا۔,3,3,3,3,0,0,بہت شکریہ، بس تقریباً ختم ہو گیا ہے۔,3,3,3,3,0,0
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,3,3,3,4,0,0,بہت شکریہ! ان شاء اللہ میری ضرور تھی، بس تقریباً تھیم مکمل ہ,2,2,2,2,0,0,جی سر، بس کام مکمل ہو گیا، آپ کی اچھی رہنمائی کا شکریہ۔ اگر کوئی حصہ,3,3,3,3,0,0,سر، بس تقریباً ہر چيز سمجھ گيا ہوں۔ شکریہ برای اضافی رہنمائی۔,4,4,4,4,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,سر، میری طرف سے بہت شکریہ، مگر میں آج کل کام مکمل کر لیتا ہوں۔,3,3,3,2,0,0,خالہ جان، بہت شکریہ، لیکن میں ضرور چلا جاؤں گا، بس کچھ وقت رہ,3,3,3,3,0,0,بہت شکریہ، بہت سی ٹھیک ہو گیا، مگر میری طرف سے رات ر,2,2,2,2,0,1
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,3,3,3,4,0,0,جی یار، براہِ کرم آنا دیکھ لو، اگر ضروری ہے تو لیتا ہوں۔,3,3,3,3,0,0,نہیں یار، شکریہ! بس تھوڑا سا چیٹ لوں، ان شاء اللہ میں اس,2,2,2,2,0,0,جی یار، بس کام مکمل کر لوں، پھر کچھ لیتا ہوں۔ تمہارا بہت شکری,3,3,3,3,0,0
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,بہت شکریہ یار، بس کام ہو گیا، ان شاء اللہ ضرور کھیلنے دیتا,3,3,3,3,0,0,بہت شکریہ یار، بس یہ گیم ختم کر لوں، پھر ایک اور کھیلتے ہ,3,3,3,3,0,0,یار، بس تقریباً ختم ہو گیا ہے نہیں؟ ان شاء اللہ اکیلے ایک,3,3,3,3,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,3,3,3,4,0,0,مامو جان، آپ کی محبت کا بے حد شکریہ، مگر بس رہنے دیجیے یار۔,3,3,3,3,0,1,ابو، مамوں کی محبت کا شکریہ، مگر آئندہ میری روانگی کا بہتہ ن,2,2,2,2,0,0,ماموں جان، آپ کی محبت کا بے حد شکریہ، مگر مجھے اس کی تکلیف نہیں کرنی,4,4,4,4,0,0
11,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ ملاقات کے اختتام پر میزبان آپ کی مزید خدمت کی پیشکش کرتا ہے۔,اور کچھ چاہیے ہو تو بتائیے گا۔,بہت شکریہ، آپ نے پہلے ہی بہت عزت اور توجہ دی ہے، مزید کسی چیز کی ضرورت نہیں اب اجازت دیجیے۔,4,4,4,4,0,0,جی سر، بہت شکریہ! یہ آپ کی اچھی تربیت اور اچھے اخلاق کا نتیجہ �,2,2,2,2,0,0,جی سر، بس کچھ نہیں، براہِ کرم آئندہ مہمت کا شکریہ۔,2,2,2,2,0,0,جی بہت شکریہ، بس تقریباً ختم ہی ہو گیا ہے۔ ان شاء اللہ,3,3,3,3,0,0
12,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ جم جانے کی پیشکش کرتا ہے۔,چل یار، میرے ساتھ جم چل۔,یار، آج تو نہیں ہو پائے گا، لیکن کسی دن ضرور چلیں گے۔,3,4,4,4,0,0,جی بالکل، یار، ہم ان شاء اللہ بہت آرام کے ساتھ چلیں گے۔,3,3,3,3,0,0,جی یار، بس کام مکمل کر لوں، پھر تمہارا ساتھ لیتا ہوں۔ یہ تو تھ,3,3,3,3,0,0,یار، بس رہو، بس رہو، بس رہو۔ ان شاء اللہ آئندہ ضرور آنوں گ,3,3,3,3,0,0
13,بزرگ خاتون,نوجوان,High,آپ ایک خاندانی دعوت میں موجود ہیں۔ کھانے کے دوران بزرگ خاتون آپ کو مزید کھانا لینے پر زور دیتی ہیں۔,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,ابّا جان، بس تقریباً ختم ہی ہو گیا ہے یار، پھر کچھ اور نہ,2,2,2,2,0,1,ابّا جان، ان شاء اللہ بہت کچھ نہ کھاأں، میرا کچھ اور رہ گیا,2,2,2,2,0,1,ابّا جان، میری تکلیف ہوائی، بس کافی کھا لیا، امید ہے آپ کی دعائیں رہنم,3,3,3,3,0,1
14,میزبان,مہمان,Medium,آپ ایک ملاقات میں مہمان ہیں۔ گفتگو کے دوران میزبان آپ کو مزید چائے پیش کرنے کی پیشکش کرتا ہے۔,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,4,4,4,4,0,0,جی، شکریہ! ان شاء اللہ میں اس کا ضرور کام لیتا ہوں۔,2,2,2,2,0,0,بہت شکریہ! بس ایک دھیان دینا ہے۔,2,2,2,1,0,0,"جی سر، بہت شکریہ!"" ان شاء اللہ میں کام مکمل کر لوں گا۔ یہ آپ کی اچھ",2,2,2,2,0,1
15,چچا,بھتیجا,High,آپ اپنے چچا کے گھر آئے ہوئے ہیں۔ واپسی کے وقت وہ آپ کو رات وہیں قیام کرنے کی پیشکش کرتے ہیں۔,رات یہیں رک جاؤ، صبح آرام سے چلے جانا۔,چچا جان، آپ کی بہت مہربانی بہت مزہ آیا، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,جی چچا جان، شکریہ، مگر میں ضرور واپس ضرور جاؤں گا۔,3,3,3,3,0,0,ابّا جان، تمہاری پیشکش شکریہ، مگر میرا بچپنا ہے، صبح آرام س,2,2,2,2,0,1,جی سر، بس کام مکمل کر لوں، پھر رات یہیں رہوں۔ آپ کی اچھی طرح دیک,2,2,2,2,0,0
16,دوست,دوست,Medium,آپ اپنے دوست سے ملاقات کے دوران گفتگو کر رہے ہیں۔ بات چیت کے اختتام پر وہ آپ کو رات کے کھانے کی دعوت دیتا ہے۔,آج رات ہمارے ساتھ کھانا کھاؤ گے؟,بہت شکریہ یار، یہ تمہاری محبت ہے، کوشش کروں گا کہ ضرور آ سکوں۔,4,4,4,4,0,0,جی، ضرور آؤ، اگر کوئی اور ضروری کام نہ نکل آیا۔,2,2,2,2,0,0,جی یار، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ تمہارا بہ,3,3,3,3,0,0,نهیں یار، ضروری نہیں ہے۔ تھوڑا آرام کر لو، مگر میں ان شاء الل,3,3,3,3,0,0
17,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ وہ آپ کو اپنے گھر کھانے کی دعوت دیتے ہیں۔,کل شام ہمارے گھر کھانے پر تشریف لائیے گا۔,بہت شکریہ، آپ کی دعوت میرے لیے باعثِ خوشی ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,ابدا یار، ضرور آؤں گا، بس تقریباً 4 عصراً کی تھیم میں آؤ,1,1,1,1,0,0,بہت شکریہ! مگر کل شام میں کچھ ضروری کام مکمل کر لوں گا، امید ہے ک�,3,3,3,3,0,0,سر، ان شاء اللہ ہم ضرور تشریف لاؤں گے۔,3,3,3,3,0,0
18,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو اتوار کے دن اپنے گھر کھانے کی دعوت دیتے ہیں۔,اتوار کو ہمارے گھر کھانے پر ضرور آنا۔,جی چچا جان، آپ نے یاد کیا یہ میرے لیے خوشی کی بات ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,ابو جان، براہِ کرم میرا آؤس دین نہیں ہو سکتا۔,1,1,1,1,0,1,جی چچا جان، ان شاء اللہ میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا�,2,2,2,2,0,0,جی سر، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ آپ کی محبت کا ب�,3,3,3,3,0,1
19,دوست,دوست,Low,آپ اپنے دوست سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنے ساتھ لنچ کرنے کی دعوت دیتا ہے۔,یار، آج لنچ ہمارے ساتھ ہی کر لو۔,بہت شکریہ یار، اچھا لگے گا، دیکھتا ہوں وقت کیسے بنتا ہے۔,4,3,3,4,0,0,بہت شکریہ! لیکن آج مجھے کچھ اور ضروری کام درکار ہیں، شاید اگلے دن,3,3,3,3,0,0,ابّا، میری پریٹلی کے ساتھ ہی کر لیتا ہوں، ان شاء اللہ.,1,1,1,1,0,0,ابو، بہت شکریہ! ان شاء اللہ میں ضرور آؤں گا۔,3,3,3,3,0,0
20,ساس,داماد,High,آپ اپنی ساس سے ملاقات کے دوران گفتگو کر رہے ہیں۔ وہ آپ کو رات کے کھانے کی دعوت دیتی ہیں۔,آج رات آپ ہمارے ساتھ کھانا ضرور کھائیے گا۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ ضرور آنے کی کوشش کروں گا۔,4,4,4,4,0,0,جی امما، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ آپ کی محبت کا ب,3,3,3,3,0,0,جی سر، ان شاء اللہ میں ضرور آؤں گا۔,4,4,4,4,0,0,بہت شکریہ سر، ان شاء اللہ آج رات کا کھانا ضرور کھاؤں گا۔,3,3,3,3,0,0
21,کزن,کزن,Low,آپ اپنے کزن سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے ساتھ رات کا کھانا کھانے کی دعوت دیتا ہے۔,کل رات ہمارے ساتھ ڈنر کر لو۔,بہت شکریہ، اچھا لگے گا، ان شاء اللہ آنے کی کوشش کروں گا۔,3,3,3,4,0,0,یار، ان شاء اللہ ہو گیا، میٹھا ہو جائے گا۔,3,3,3,3,0,0,بہت شکریہ! مگر کل رات میں کچھ اور ضروری کام مکمل کر لیتا ہوں۔ ا,3,3,3,3,0,0,سر، میرا دعائ์ یہ ہے تھوڑا سا وقت کے لیے آؤں رہنے دیجیے,2,2,2,1,0,1
22,پڑوسی,پڑوسی,Medium,آپ اپنے پڑوسی سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر آنے اور ساتھ کھانا کھانے کی دعوت دیتے ہیں۔,آج شام ہمارے گھر ضرور آئیے، چائے اور کھانے کا انتظام ہے۔,بہت شکریہ، آپ کی محبت ہے، ان شاء اللہ آنے کی کوشش کروں گا۔,4,4,4,4,0,0,ابّا جان، یار! آپ کی دعائیں شکریہ! ضرور آؤں گا، ہم مک,1,1,1,1,0,1,جی سر، میں ضرور آؤں گا، اگر کوئی اور ضروری کام نہ نکل آیا۔ آپ کی اچھی یاد د,3,3,3,3,0,0,ضرور آؤنے دیجیے، امید ہے سب کچھ بخوبی ہو جائے گا۔,3,3,3,3,0,0
23,دوست,دوست,Low,آپ اپنے دوست سے گفتگو کر رہے ہیں۔ بات چیت کے دوران وہ آپ کو اپنے گھر کھانے کی دعوت دیتا ہے۔,یار، گھر آؤ، کھانا ساتھ کھائیں گے۔,یار، اچھا لگے گا، ان شاء اللہ ملتے ہیں۔,3,3,3,4,0,0,ابو، ضرور آؤ، ان شاء اللہ میں کچھ نئی سی چیز بناؤں گی۔,2,2,2,2,0,1,بہت شکریہ! بس کام مکمل کر لوں، پھر آؤں گا۔ ہم مل کر کچھ وقت گ,4,4,4,4,0,0,ابو، میرا پیش نشان نہیں، بس تھوڑا سا وقت آؤ، پھر کھانا ساتھ ک,2,2,2,2,0,1
