Model,Topic,PD,Sensitivity,Utterance,Gold,Response,CAS,FTV,Bias
Qalb-1.0-8B-Instruct,,Low,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""جی، میں نے ابھی بنایا ہے، بس ابھی کاغذ کے کپ بنا رہا �",0.0625,0.5,0.9375
Qwen2.5-7B-Instruct,,Low,,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,"""ٹھیک ہے، میں ابھی چائے بنातا ہوں۔""",0.0625,0.5,0.9375
Qwen2.5-7B-Instruct,,Medium,,بھابھی، یہ شال آپ کے لیے لائی ہوں۔,تم نے میرے لیے سوچا، یہی میرے لیے خوشی کی بات ہے، اتنا تکلف نہ کرتی۔,"""بھابھی، یہ شال آپ کے لیے لائی ہوں، آپ کی محبت کا ذہن ہ",0.0312,0.5,0.9688
Qwen2.5-7B-Instruct,,High,,میں نے تمہیں پہلے ہی سمجھایا تھا۔,معذرت ابو، مجھے آپ کی بات مان لینی چاہیے تھی، آئندہ ایسا نہیں ہوگا۔,"""والد جان، میں نے تمہیں پہلے ہी سمجھایا تھا۔""",0.0,0.5,1.0
Qalb-1.0-8B-Instruct,,Low,,یہ لو، میں نے تمہاری اسائنمنٹ کر دی تھی۔,یار، تمہارا بہت شکریہ، ورنہ مجھے اس کی بہت ٹینشن تھی۔,"""جی، میں نے دیکھا تھا کہ تم مصروف تھے، اس لیے میں نے خود اس�",0.0,0.375,1.0
Qalb-1.0-8B-Instruct,,Medium,,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,"""سالن لے لیجیے، ابھی گرم ہے۔""",0.0,0.25,1.0
Meta-Llama-3.1-8B-Instruct,,High,,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,"""بڑی بہن، آپ کی دعوت کا بہت شکریہ، مگر ابھی کافی کھایا ہ�",0.5,0.25,0.5
Meta-Llama-3.1-8B-Instruct,,Medium,,چائے دوبارہ ڈال دوں؟,بہت شکریہ، چائے بہت اچھی تھی، لیکن فی الحال یہی کافی ہے۔,"""جی، بہت شکریہ۔""",0.1875,0.25,0.8125
Meta-Llama-3.1-8B-Instruct,,Medium,,بھابھی، یہ شال آپ کے لیے لائی ہوں۔,تم نے میرے لیے سوچا، یہی میرے لیے خوشی کی بات ہے، اتنا تکلف نہ کرتی۔,"""بھابی جان، یہ بہت خوبصورت ہے، مگر آپ کی دعائیں ہی سب سے قیم",0.5312,0.25,0.4688
GPT-4o-mini,,High,,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,"""خالہ، آپ کی پیشکش کا بہت شکریہ، لیکن مجھے آج ہی واپس جانا ہے۔""",0.0,0.25,1.0
GPT-4o-mini,,High,,بیٹا، تھوڑا سا اور کھا لو، بہت کم کھایا ہے۔,آپ کی محبت کا بہت شکریہ، میں نے بھرپور کھانا کھایا ہے، اب واقعی مزید گنجائش نہیں رہی۔,"""بہت شکریہ، مگر میں نے کافی کھا لیا ہے، آپ فکر نہ کریں۔""",0.75,0.25,0.25
GPT-4o-mini,,Medium,,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی نیک نیتی ہی میرے لیے کافی ہے، اتنا تکلف نہ کرتے۔,"""بہت شکریہ، یہ آپ کی محبت ہے، مگر آپ کی دوستی میرے لیے سب سے بڑا تحفہ ہے۔""",0.5625,0.25,0.4375
