ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,4,4,4,4,0,0,"""بہت شکریہ!"" (Answer is polite and appreciative.)
""میں نے کھانا کھا لیا ہے، اب",2,2,2,2,0,0,"""جی، بہت شکریہ۔""",2,2,2,1,0,0,"""جیسے جانتے ہیں، مزبان کی محبت کا بہت شکریyah۔""",2,1,2,1,0,0,"""بہت شکریہ، مگر میں نے کافی کھا لیا ہے۔""",3,3,3,3,0,0
2,دوست,دوست,Low,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,3,4,4,4,0,0,"""نہیں یار، بس اتنی ہی ہو گیا ہے۔""",2,2,2,2,0,0,"""جی، چائے بناوا دو، بہت احتیاج ہے۔""",1,1,1,1,0,0,"""نہیں، شکریہ! میں نے کافی پی لی ہے، آپ کو زحمت نہ دیں۔""",3,3,3,3,0,0,"""ٹھیک ہے، میں آؤں گا چائے بنانا۔""",2,2,2,0,1,0
3,ساس,بہو,High,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,4,4,4,4,0,0,"""شکریہ ساس جی، میں نے ابھی کافی کھا لیا ہے۔""",3,3,3,3,0,0,"""جی ماما، بس اتنی روٹی کافی ہے، بس اتنی روٹی کافی ہے۔""",2,2,2,2,0,0,"""جی ساسی، اب کافی ہو گیا، شکر ہو۔""",2,2,2,2,0,1,"""ماموں جان، میں بھی ایک کیسے لیں گے۔""",2,2,2,1,0,1
4,بزرگ,نوجوان,High,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,3,3,4,4,0,0,"""جی، بڑا بھائی جان، آپ کی دعائیں ہی میرے لیے کافی ہیں، مجھ",2,2,2,2,0,1,"""جی، شکریہ!"" (Answer in English, as the question was asked in English.)
'''
Answer: ""جی، شکریہ!"" (Answer in English, as the question",2,2,2,1,0,0,"""بہت شکریہ، یہ آپ کی مہربانی ہے۔ میں اسے ضرور پڑھوں گا۔""",3,3,3,3,0,0,"""جی، بہت شکریہ، مگر آپ کی کتاب کو ملک کرنا چاہتا ہوں۔",1,1,1,1,0,0
5,میزبان,مہمان,Medium,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,4,4,4,4,0,0,"""جی، بہت شکریہ۔""",2,2,2,2,0,0,"""جی، بہت شکری۔ بس ابھی کھانے کے بعد ہی میٹھا لے لیجا۔""",3,3,3,2,0,0,"""بہت شکریہ، مگر میں نے پہلے ہی کافی کھا لیا ہے۔""",3,3,3,3,0,0,"""جیسے جیسے، مزید میٹھا بھی بہت شکریہ۔""",2,2,2,2,0,0
6,استاد,طالب علم,Medium,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,3,3,3,4,0,0,"""جی سر، میں کسی حصے میں مشکل ہوں تھا تو آپ کی مدد کرتا ہو",3,3,3,3,0,0,"""سر، آپ کی مدد کا بہت شکریہ، میں نے سب سمجھ لیا ہے۔""",3,3,3,3,0,0,"""جی سر، ابھی تک ہمارے پاس کوئی خاص سوال نہیں ہے، لیکن اگر ضرورت ہ",2,2,2,2,0,0,"""جی سر، بس سبق ختم ہو گیا ہے، اگر کوئی حصہ مشکل ہے تو مزید وضاحت",2,2,2,2,0,0
7,خالہ,بھانجا,High,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,4,4,4,4,0,0,"""خالہ، آپ کی محبت کا بہت شکریہ، مگر مجھے آج ہی واپس جانا ہے۔""",3,3,3,3,0,0,"""جی خالہ جان، آپ کی دعوت کا بہت شکریہ، لیکن میں ضرورت کے مطابق واپس چل",2,2,2,2,0,0,"""جی خالہ جان، بس صبح چلے جانا۔""",1,1,1,1,0,0,"""جی ہمیں یہیں رک جائیں، صبح کے لیے آمد ہوں گا۔""",1,1,1,1,0,0
8,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,3,3,3,4,0,0,"""جی، بہت شکریہ، آپ کی مدد کا بہت مقدار ہے۔ میں آپ کے لی",2,2,2,2,0,0,"""بہت مہربانی، مگر مجھے کچھ نہیں چاہیے۔""",3,3,3,0,0,0,"""جی پڑوسی، بہت شکریہ، لیکن ابھی کچھ ضرورت نہیں ہے۔""",3,3,3,3,0,0,"""شکریہ، بس یہ کام سنبھال لوں، پھر کچھ دیر آرام کر لیتا ہوں۔",2,2,2,2,0,0
9,دوست,دوست,Low,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,3,4,4,4,0,0,"""جی بالکل، یہ تو مزیدار ہوگا!""",3,3,3,3,0,0,"""جی یار، بس کچھ دیر کھیلیں گے، پھر ایک اور گیم کھیلیں گے۔""",3,3,3,3,0,0,"""جی، یار، بس کچھ دیر کھیلتے ہیں، پھر چلے جائیں گے�",3,3,3,3,0,0,"""ٹھیک ہے، جیسے چلتے ہیں!""",1,1,1,1,0,0
10,ماموں,بھانجی,High,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,3,3,3,4,0,0,"""جی ماموں، بہت شکریہ، لیکن اب تک کچھ نہیں چاہیں۔""",2,2,2,2,0,0,"""ماموں جان، آپ کی محبت کا بہت شکریہ، مگر مجھے اس کی ضرورت نہیں ہے۔""",3,3,3,3,0,0,"""جی ماموں، بہت شکریہ۔ آپ کی محبت اور عنایت کا بہت احترام ہے",2,2,2,2,0,0,"""شکریہ ماما جان، بس یہ رقم میری طرف سے رکھیں، شاید کبھی ضرورت پڑے�",2,2,2,2,0,0
