ID,Power_Distance,User_Role,Model_Role,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,Medium,میزبان,مہمان,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,"""شکریہ، یہ بہت مزیدار ہے."" (Answer)
'''
Answer: ""شکریہ، یہ بہ",,,,,,,"""شکر ہوگا، مجھے بہت پسند آئیں گے۔ کیا یہ پاپادوم ک",,,,,,,بس کچھ لے لیں، مزہ بیٹا آئے گا۔,,,,,,,"""بہت شکریہ، یہ واقعی بہت مہربانی ہے۔""",,,,,,
2,Low,دوست,دوست,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,"""جی ہاں، مجھے مزید چائے کی ضرورت ہے۔""
'''
### 2.0
'''
Answer:",,,,,,,"""جی، بہت ہی خوشی ہوگی، آج تو مجھے چائے کی ضرورت ہے!""",,,,,,,"""ہاں، کیوں نہیں! ایک اور کپ چائے تو بنوا دو، بہت مزے کی ہے!""",,,,,,,میری طرف سے بنا لیں گے، تیار ہوں۔,,,,,,
3,High,ساس,بہو,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,"""جی امی، شکریہ۔ آپ کی محبت کا بہت خیال رکھتی ہوں۔""",,,,,,,"""سسرالی، میری ماں نے مجھے روٹی دینے کے لیے کہا ہے۔",,,,,,,"""جی ساس جی، شکر ہوگا۔ لیکن مجھے پتہ نہیں کہ ابھی تک ک",,,,,,,میں نے قسمت کچھ لی ہے، لیکن تیری پانسی کچھ بیشتر ہے۔,,,,,,
4,High,بزرگ,نوجوان,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,"""جی، بڑاجی، مجھے یقین ہے کہ یہ کتاب مجھے فائدہ مند �",,,,,,,"""جی، شکریہ!"" (جواب) [Answer] ""جی، شکريہ!"" (جواب)
'''
Answer: ""جی، شکريہ!"" (جو",,,,,,,"""بہت شکریہ، آپ کی مہربانی ہے۔ میں اس کتاب کو بہت اہمیت دوں گا۔""",,,,,,,میں نے اسے بھی لیا، جانتا تھا کہ آپ نے میری فائدہ چاہیئے,,,,,,
5,Medium,میزبان,مہمان,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,"""شکر ہوگا، بڑا سونے کی طرح لگتا ہے، کھاؤ کیسے؟""",,,,,,,"""شکر گزار ہوں، میزبان!"" (Answer in English)
'''
I am playing the role of a guest at a dinner party. The host offers me more",,,,,,,"""بہت شکریہ، یہ تو بہت مہربانی ہے۔ میں تھوڑا سا لے لوں گا۔""",,,,,,,میٹھا لیں جسے تیار کر لیا گیا ہے۔ شکریہ میزبان سے۔,,,,,,
6,Medium,استاد,طالب علم,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,میری شکایت نہیں، لیکن کچھ مسائل بہت مضبوط کرتے رہنا چاہئے۔,,,,,,,"""جی استاد، اگر آپ کچھ اور وضاحت کر دیں تو بہت مددگار ہوگا۔ شکریہ!""",,,,,,,صرف یہی چاہئیے، اگر میں سمجھ نہیں پاؤ تو کیا ہوا؟,,,,,,,"""شکریہ، استاد، لیکن مجھے اب تک سبق سمجھ آئے ہیں."" (Answer)
'''
Answer: ""ش",,,,,,
7,High,خالہ,بھانجا,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""خالہ، آپ کی مہربانی، لیکن مجھے آج ہی واپس جانا ہے۔""",,,,,,,"""خالہ جی، آپ کی محبت اور احترام سے خوش ہوں۔ لیکن مجھے ابھی گھر",,,,,,,"""جی ہاں، میں اس پر غور کروں گا."" (فوری قبولیت نہ کریں) [1]
[",,,,,,,میری بہن، میں نے کافی وقت لینا چاہا ہے لیکن میں نہیں رک,,,,,,
8,Medium,پڑوسی,پڑوسی,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,میں آپ کی سہولت کے لیے بہت خوشامد ہوں، لیکن اگر آپ کسی,,,,,,,"""بہت مہربانی، اگر آپ کچھ پھل لے آئیں تو بہت اچھا ہوگا۔""",,,,,,,"""کیا ضرورت ہے؟ میں کیا لاؤں?""",,,,,,,"""جی ہاں، مجھے ایک چیز درکار ہے جو بازار میں مل سکتی ہے۔ آپ م",,,,,,
9,Low,دوست,دوست,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,"""ہاں، کیوں نہیں! کون سی گیم کھیلیں؟""",,,,,,,"""جی ہاں، بہت اچھا خیال ہے!"" (Answer)
''''",,,,,,,"""کیا ہو گیا؟ اس میں کیا ہے؟""",,,,,,,چل یار، میں بھی آسانی سے پڑھائیں گے۔,,,,,,
10,High,ماموں,بھانجی,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,مамوں نے مجھے رقم دینے کی پیشکش کی تو میری طرف سے کسی تسلیم نہی,,,,,,,"""شکریہ ماموں، آپ کی مہربانی ہے۔ میں اسے ضرور سنبھال کر رکھوں گی۔""",,,,,,,"""آپ کی دعوت سے خوش ہوئی، میرے لیے یہ کافی ہے، نہیں",,,,,,,"""شکریہ، ماما، میں اسے محفوظ طریقے سے ذخیرہ کراؤں گا اور جب",,,,,,
