ID,User_Role,Model_Role,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
1,میزبان,مہمان,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔,,,,,,,"""شکریہ، میزبان۔ یہ بہت مزیدار لگ رہا ہے."" (اسٹرکچر",,,,,,,شکر ہوگا، مجھے بھی لینا چاہیے!,,,,,,,بس تھانی بچائیں جسے لینے کی ضرورت نہ ہو۔,,,,,,,"""بہت شکریہ، یہ تو بہت مزیدار لگ رہا ہے!""",,,,,,
2,دوست,دوست,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,اور چائے بنوا دوں؟,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔,,,,,,,"""جی ہاں، بہت اچھا لگتا ہے!"" (Answer)
'''
Answer: ""جی ہاں",,,,,,,"""جی، بہت ہی خوشی ہوئی! آج تو خاص طور پر چائے پی کر رہنا تھا!""",,,,,,,"""ہاں، کیوں نہیں! چائے تو ہمیشہ خوشگوار ہوتی ہے۔""",,,,,,,میری طرف سے بنا لیں، تیری چائے بہت خوبصورت ہوتی ہے۔,,,,,,
3,ساس,بہو,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,بیٹا، اور روٹی لے لو۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔,,,,,,,"""نہیں، امی، میں نے کافی کھا لیا ہے۔ آپ خود بھی کھائیں، آپ کو بھی ضرورت ہے۔""",,,,,,,"""ساسی، مجھے اب مزید نہیں چاہئے۔""
'''
Answer: 'مجھے اب مزید ن�",,,,,,,"""ساسی، ابھی تو میں نے پانی پی لیا ہی نہیں!""",,,,,,,میں نے قسمت دکھائی چاہیے جس میں مزاج اور محبت کا نشان ہو س,,,,,,
4,بزرگ,نوجوان,آپ ایک بزرگ رشتہ دار سے ملاقات کر رہے ہیں۔ گفتگو کے دوران وہ آپ کو اپنی کتاب رکھنے کی پیشکش کرتے ہیں۔,یہ کتاب اپنے پاس رکھ لو، تمہارے کام آئے گی۔,آپ کی بہت مہربانی، مگر فی الحال میرے پاس اس موضوع کی کتاب موجود ہے، پھر بھی آپ کا بہت شکریہ۔,,,,,,,"""شکر ہو۔ لیکن مجھے یقین نہیں ہوتا کہ میں اسے پ�",,,,,,,"""شکریہ، میں اسے پڑھنا چاہتا تھا لیکن مجھے یقین نہیں",,,,,,,"""بہت شکریہ، آپ کی مہربانی ہے! میں اس کتاب کو ضرور پڑھوں گا۔""",,,,,,,میں نے کتاب لی ہے، شاید میں اسے میلنے کی ضرورت نہیں ہے۔,,,,,,
5,میزبان,مہمان,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے بعد میزبان آپ کو مزید میٹھا پیش کرتا ہے۔,اور میٹھا لے لیجیے۔,آپ کی بہت مہربانی، میٹھا بہت اچھا تھا، مگر اب مزید نہیں کھا سکوں گا، شکریہ۔,,,,,,,شکر ہوگا، بہت اچھا ہوا۔ کیا یہ گول گجرا ہے؟,,,,,,,"""شکر گزار ہوں، میزبان۔ مجھے یقین ہے کہ یہ مزید خوشگوار",,,,,,,"""بہت شکریہ! یہ تو بہت مزیدار لگ رہا ہے۔""",,,,,,,میٹھا لیں جسے لے جائے گا۔,,,,,,
6,استاد,طالب علم,آپ کےاستاد سبق ختم ہونے کے بعد اضافی رہنمائی کی پیشکش کر رہے ہیں۔,اگر کسی حصے میں مشکل ہو تو میں مزید وضاحت کر سکتا ہوں۔,بہت شکریہ سر، فی الحال میں خود کوشش کر لیتا ہوں، ضرورت ہوئی تو ضرور رہنمائی لوں گا۔,,,,,,,میری شکایت نہیں، لیکن بہت شکریہ کہ آپ مجھ سے کئی بار سوال ک,,,,,,,"""جی استاد، مجھے کچھ حصے میں وضاحت کی ضرورت ہے۔ خاص طور پر اس موضوع پر جو آپ نے آج پڑھایا۔""",,,,,,,صرف یہ سمجھ آ گیا ہے کہ ابھی بہت کچھ نہیں سمجھا،,,,,,,,"""شکریہ، استاد، لیکن مجھے اب تک سبق سمجھ آئے ہیں."" (Answer)
'''
'''
'''
'''
'''",,,,,,
7,خالہ,بھانجا,آپ اپنی خالہ سے ملاقات کے بعد واپسی کی تیاری کر رہے ہیں۔ روانگی کے وقت وہ آپ کو رات رکنے کی پیشکش کرتی ہیں۔,رات یہیں رک جاؤ، صبح چلے جانا۔,خالہ جان، آپ کی بہت مہربانی، لیکن گھر پر میرا انتظار ہو رہا ہے، ان شاء اللہ پھر کسی دن زیادہ وقت گزاروں گا۔,,,,,,,"""خالہ، آپ کی پیشکش بہت اچھی ہے، لیکن مجھے گھر جانا ہے۔ اگلی بار ضرور رکوں گا۔""",,,,,,,"""خالہ جی، مجھے واپس آنا ہے، والدین کو بتانا ہے کہ میں آ گی",,,,,,,"""خوش آمدید، خالہ!"" (اسلام) ""مجھے واقعی خوشی ہوگی اگر میں رات یہیں",,,,,,,میری کتنا شادی ہے، لیکن میں نہیں رک सکتا، صبح تک کام چاہت,,,,,,
8,پڑوسی,پڑوسی,آپ کے پڑوسی نے آپ کی سہولت کے لیے بازار سے کچھ لانے کی پیشکش کی ہے۔,اگر آپ چاہیں تو میں بازار سے آپ کے لیے کچھ لے آؤں۔,آپ کی بہت مہربانی، لیکن میں خود انتظام کر لوں گا۔,,,,,,,میں اس لئے بہت سبزیوں اور فاكٹریوں لے آتا ہوں جسے آپ ک,,,,,,,"""بہت شکریہ! اگر آپ جا رہے ہیں تو براہ کرم کچھ دودھ اور روٹی لے آئیں گے؟""",,,,,,,"""کیا ضرورت ہے؟ میں کیا لاؤں?""",,,,,,,"""جی ہاں، مجھے یقین ہے کہ آپ کے پاس ایک ٹوکری تیل اور چند",,,,,,
9,دوست,دوست,آپ اپنے دوست کے ساتھ وقت گزار رہے ہیں۔ کچھ دیر کھیلنے کے بعد وہ ایک اور گیم کھیلنے کی تجویز دیتا ہے۔,چل یار، ایک اور گیم کھیل لیتے ہیں۔,یار دل تو ہے، لیکن اب کافی دیر ہو گئی ہے، پھر کبھی آرام سے کھیلیں گے۔,,,,,,,"""ہاں، کیوں نہیں! کون سی گیم کھیلنی ہے؟""",,,,,,,"""ہاں، یقیناً!"" (Answer)",,,,,,,"""کیا کیا؟ میں بھی جانتا تھا کہ آپ کو کھیلوں میں دلچسپی ہوتی",,,,,,,چل یار، میں بھی آسانی سے پڑھائیں گے۔,,,,,,
10,ماموں,بھانجی,آپ اپنے ماموں سے ملاقات کے بعد واپس جا رہی ہیں۔ روانگی کے وقت وہ آپ کو کچھ رقم دینے کی پیشکش کرتے ہیں۔,یہ رقم بھی رکھ لو، کبھی ضرورت پڑ سکتی ہے۔,ماموں جان، آپ کی شفقت میرے لیے کافی ہے۔,,,,,,,مамوں نے مجھے رقم دینے کی پیشکش کی تو میری کتنا شادی ہے، لیکن آ,,,,,,,"""نہیں ماموں، آپ کی محبت ہی کافی ہے۔ مجھے رقم کی ضرورت نہیں ہے۔""",,,,,,,"""دیکھیئے ماموں جان، میں نے کچھ کام کر لیا ہے، اب مجھے خود",,,,,,,"""شکریہ، ماما!"" (گوشت کے پیالے میں ایک چھوٹا سا پیالہ رکھ کر",,,,,,
