Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Candidates
Urdu,Refusing Offers,میزبان,مہمان,Medium,Formal,Gratitude + indirect refusal,Positive,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,آپ کی بڑی مہربانی، واقعی بہت مزیدار تھا، مگر اب بالکل گنجائش نہیں رہی۔
,,,,,,,,اور سالن لے لیجیے، ابھی گرم ہے۔,آپ ایک دعوت میں مہمان ہیں۔ کھانے کے دوران میزبان آپ کو مزید سالن پیش کرتا ہے۔,نہیں، مجھے اور نہیں چاہیے۔ میں پہلے ہی کافی کھا چکا ہوں۔
,,,,,,,,,,سالن مزیدار ہے، لیکن اب میں مزید نہیں لے سکتا۔
Urdu,Refusing Offers,دوست,دوست,Low,Informal,Polite refusal,Negative,اور چائے بنوا دوں؟,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,نہیں یار، تم نے پہلے ہی بہت خاطر داری کر لی ہے، مزید زحمت نہ کرو۔
,,,,,,,,اور چائے بنوا دوں؟,آپ اپنے دوست کے گھر ملاقات کے لیے گئے ہیں۔ گفتگو کے دوران آپ کا دوست آپ کو مزید چائے پیش کرتا ہے۔,نہیں یار، بس بہت ہو گئی، اب چھوڑو۔
,,,,,,,,,,نہیں یار، مت بناؤ، میں مزید چائے نہیں پیوں گا۔
Urdu,Refusing Offers,ساس,بہو,High,Formal,Deferential refusal,Positive,بیٹا، اور روٹی لے لو۔,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,جی امی جان، بہت شکریہ، مگر واقعی اب مزید گنجائش نہیں رہی۔
,,,,,,,,بیٹا، اور روٹی لے لو۔,آپ گھر میں کھانے کی میز پر موجود ہیں۔ کھانے کے دوران آپ کی ساس آپ کو مزید روٹی پیش کرتی ہیں۔,نہیں امی، مجھے نہیں چاہیے، آپ بار بار کیوں کہہ رہی ہیں؟
,,,,,,,,,,نہیں امی جان، اب مزید روٹی نہیں چاہیے۔
Urdu,Refusing Offers,محلے کے بزرگ,پڑوسی,High,Formal,Respectful refusal,Neutral,بیٹا آؤ، میں تمہیں چھوڑ دیتا ہوں۔,محلے کے بزرگ آپ کو بازار جاتے ہوئے اپنی گاڑی میں ساتھ چلنے کی پیشکش کرتے ہیں، لیکن آپ نے پہلے ہی دوسری سواری کا انتظام کر لیا ہے۔,آپ کو زحمت ہوگی، میں نے ٹیکسی بک کر لی ہے، وہ بس آنے ہی والی ہے۔
,,,,,,,,بیٹا آؤ، میں تمہیں چھوڑ دیتا ہوں۔,محلے کے بزرگ آپ کو بازار جاتے ہوئے اپنی گاڑی میں ساتھ چلنے کی پیشکش کرتے ہیں، لیکن آپ نے پہلے ہی دوسری سواری کا انتظام کر لیا ہے۔,نہیں، مجھے آپ کے ساتھ نہیں جانا، میں اپنی گاڑی سے چلا جاؤں گا۔
,,,,,,,,,,جی، شکریہ، مگر میں نے اپنی سواری کا انتظام کر لیا ہے۔
Urdu,Refusing Offers,پروجیکٹ کوآرڈینیٹر,ملازم,Medium,Formal,Grateful refusal,Neutral,اگر تمہاری رپورٹ مکمل نہیں ہوئی تو میں تمہاری مدد کر دیتا ہوں۔,دفتر میں پروجیکٹ کوآرڈینیٹر آپ کے حصے کی رپورٹ خود مکمل کرنے کی پیشکش کرتے ہیں، لیکن آپ رپورٹ تقریباً مکمل کر چکے ہیں اور اسے خود جمع کروانا چاہتے ہیں۔,سر، میری رپورٹ مکمل ہونے والی ہے۔ آپ کی مدد کا بہت شکریہ۔
